Temp,Flow,site_no,datetime,Conductance,Precipitation,GageHeight
11.6,10000,09380000,2018-07-01 00:00,662,0.00,8.65
11.6,10000,09380000,2018-07-01 00:15,666,0.00,8.65
11.5,10000,09380000,2018-07-01 00:30,665,0.00,8.65
11.5,10000,09380000,2018-07-01 00:45,662,0.00,8.65
11.5,10000,09380000,2018-07-01 01:00,665,0.00,8.65
11.4,10000,09380000,2018-07-01 01:15,663,0.00,8.64
11.4,10000,09380000,2018-07-01 01:30,666,0.00,8.65
11.4,10100,09380000,2018-07-01 01:45,666,0.00,8.66
11.3,10200,09380000,2018-07-01 02:00,665,0.00,8.68
11.3,10200,09380000,2018-07-01 02:15,667,0.00,8.69
11.2,10300,09380000,2018-07-01 02:30,668,0.00,8.72
11.2,10400,09380000,2018-07-01 02:45,670,0.00,8.73
11.1,10500,09380000,2018-07-01 03:00,670,0.00,8.77
11.1,10600,09380000,2018-07-01 03:15,668,0.00,8.78
11.0,10700,09380000,2018-07-01 03:30,669,0.00,8.81
11.0,10800,09380000,2018-07-01 03:45,666,0.00,8.83
10.9,10900,09380000,2018-07-01 04:00,664,0.00,8.85
10.9,10900,09380000,2018-07-01 04:15,667,0.00,8.86
10.8,11000,09380000,2018-07-01 04:30,664,0.00,8.89
10.8,11100,09380000,2018-07-01 04:45,665,0.00,8.90
10.7,11100,09380000,2018-07-01 05:00,666,0.00,8.92
10.7,11100,09380000,2018-07-01 05:15,666,0.00,8.92
10.6,11100,09380000,2018-07-01 05:30,668,0.00,8.92
10.6,11200,09380000,2018-07-01 05:45,666,0.00,8.93
10.5,11300,09380000,2018-07-01 06:00,667,0.00,8.96
10.5,11300,09380000,2018-07-01 06:15,666,0.00,8.95
10.5,11300,09380000,2018-07-01 06:30,668,0.00,8.95
10.4,11300,09380000,2018-07-01 06:45,667,0.00,8.95
10.4,11300,09380000,2018-07-01 07:00,668,0.00,8.95
10.4,11400,09380000,2018-07-01 07:15,668,0.00,8.97
10.4,11400,09380000,2018-07-01 07:30,668,0.00,8.97
10.4,11400,09380000,2018-07-01 07:45,668,0.00,8.97
