GageHeight2,Flow,site_no,datetime,Precipitation,GageHeight
1.23,37.8,09396100,2018-07-22 00:00,0.00,1.45
1.23,37.8,09396100,2018-07-22 00:15,0.00,1.45
1.23,37.8,09396100,2018-07-22 00:30,0.00,1.45
1.23,37.8,09396100,2018-07-22 00:45,0.00,1.45
1.23,36.3,09396100,2018-07-22 01:00,0.00,1.44
1.23,34.8,09396100,2018-07-22 01:15,0.00,1.43
1.23,36.3,09396100,2018-07-22 01:30,0.00,1.44
1.23,36.3,09396100,2018-07-22 01:45,0.00,1.44
1.23,36.3,09396100,2018-07-22 02:00,0.00,1.44
1.23,33.3,09396100,2018-07-22 02:15,0.00,1.41
1.23,31.9,09396100,2018-07-22 02:30,0.00,1.40
1.23,33.3,09396100,2018-07-22 02:45,0.00,1.41
1.23,31.9,09396100,2018-07-22 03:00,0.00,1.40
1.23,31.9,09396100,2018-07-22 03:15,0.00,1.40
1.23,29.2,09396100,2018-07-22 03:30,0.00,1.38
1.23,29.2,09396100,2018-07-22 03:45,0.00,1.38
1.23,27.9,09396100,2018-07-22 04:00,0.00,1.36
1.23,25.4,09396100,2018-07-22 04:15,0.00,1.34
1.23,23.1,09396100,2018-07-22 04:30,0.00,1.32
1.23,10.8,09396100,2018-07-22 04:45,0.00,1.15
1.23,12.2,09396100,2018-07-22 05:00,0.00,1.17
1.23,13.7,09396100,2018-07-22 05:15,0.00,1.19
1.23,14.5,09396100,2018-07-22 05:30,0.00,1.21
1.23,15.3,09396100,2018-07-22 05:45,0.00,1.22
1.23,15.3,09396100,2018-07-22 06:00,0.00,1.22
1.23,16.2,09396100,2018-07-22 06:15,0.00,1.23
1.76,24.2,09396100,2018-07-22 06:30,0.00,1.33
1.80,130,09396100,2018-07-22 06:45,0.00,1.89
1.78,194,09396100,2018-07-22 07:00,0.00,2.07
1.75,199,09396100,2018-07-22 07:15,0.00,2.08
1.72,209,09396100,2018-07-22 07:30,0.00,2.11
1.71,199,09396100,2018-07-22 07:45,0.00,2.08
1.71,194,09396100,2018-07-22 08:00,0.00,2.07
1.72,184,09396100,2018-07-22 08:15,0.00,2.05
1.69,166,09396100,2018-07-22 08:30,0.00,2.00
1.66,209,09396100,2018-07-22 08:45,0.00,2.11
1.62,219,09396100,2018-07-22 09:00,0.00,2.13
1.59,189,09396100,2018-07-22 09:15,0.00,2.06
1.58,194,09396100,2018-07-22 09:30,0.00,2.07
1.57,194,09396100,2018-07-22 09:45,0.00,2.07
1.56,204,09396100,2018-07-22 10:00,0.00,2.09
1.57,199,09396100,2018-07-22 10:15,0.00,2.08
1.55,189,09396100,2018-07-22 10:30,0.00,2.06
1.52,194,09396100,2018-07-22 10:45,0.00,2.07
1.51,194,09396100,2018-07-22 11:00,0.00,2.07
1.51,170,09396100,2018-07-22 11:15,0.00,2.01
1.51,199,09396100,2018-07-22 11:30,0.00,2.08
1.51,199,09396100,2018-07-22 11:45,0.00,2.08
1.50,204,09396100,2018-07-22 12:00,0.00,2.09
1.47,194,09396100,2018-07-22 12:15,0.00,2.07
1.44,199,09396100,2018-07-22 12:30,0.00,2.08
1.41,214,09396100,2018-07-22 12:45,0.00,2.12
1.43,214,09396100,2018-07-22 13:00,0.00,2.12
1.47,241,09396100,2018-07-22 13:15,0.00,2.18
1.47,259,09396100,2018-07-22 13:30,0.00,2.22
1.46,277,09396100,2018-07-22 13:45,0.00,2.25
1.44,277,09396100,2018-07-22 14:00,0.00,2.25
1.35,265,09396100,2018-07-22 14:15,0.00,2.23
1.24,247,09396100,2018-07-22 14:30,0.00,2.19
1.41,236,09396100,2018-07-22 14:45,0.00,2.17
1.43,283,09396100,2018-07-22 15:00,0.00,2.26
1.47,316,09396100,2018-07-22 15:15,0.00,2.33
1.48,323,09396100,2018-07-22 15:30,0.00,2.34
1.49,330,09396100,2018-07-22 15:45,0.00,2.35
1.46,330,09396100,2018-07-22 16:00,0.00,2.35
1.41,330,09396100,2018-07-22 16:15,0.00,2.35
1.35,309,09396100,2018-07-22 16:30,0.00,2.31
1.24,290,09396100,2018-07-22 16:45,0.00,2.28
1.24,290,09396100,2018-07-22 17:00,0.00,2.28
1.42,309,09396100,2018-07-22 17:15,0.00,2.31
1.37,330,09396100,2018-07-22 17:30,0.00,2.35
1.25,323,09396100,2018-07-22 17:45,0.00,2.34
1.24,344,09396100,2018-07-22 18:00,0.00,2.37
1.24,303,09396100,2018-07-22 18:15,0.00,2.30
1.39,390,09396100,2018-07-22 18:30,0.00,2.45
1.31,382,09396100,2018-07-22 18:45,0.00,2.43
1.24,382,09396100,2018-07-22 19:00,0.00,2.43
1.24,359,09396100,2018-07-22 19:15,0.00,2.40
1.24,359,09396100,2018-07-22 19:30,0.00,2.40
1.24,337,09396100,2018-07-22 19:45,0.00,2.36
1.24,359,09396100,2018-07-22 20:00,0.00,2.40
1.24,352,09396100,2018-07-22 20:15,0.00,2.39
1.24,359,09396100,2018-07-22 20:30,0.00,2.40
1.24,330,09396100,2018-07-22 20:45,0.00,2.35
1.24,316,09396100,2018-07-22 21:00,0.00,2.33
1.24,316,09396100,2018-07-22 21:15,0.00,2.33
1.24,337,09396100,2018-07-22 21:30,0.00,2.36
1.24,330,09396100,2018-07-22 21:45,0.00,2.35
1.23,352,09396100,2018-07-22 22:00,0.00,2.39
1.23,352,09396100,2018-07-22 22:15,0.00,2.39
1.24,476,09396100,2018-07-22 22:30,0.00,2.57
1.23,439,09396100,2018-07-22 22:45,0.00,2.52
1.24,390,09396100,2018-07-22 23:00,0.00,2.45
1.24,390,09396100,2018-07-22 23:15,0.00,2.45
1.24,422,09396100,2018-07-22 23:30,0.00,2.50
1.23,446,09396100,2018-07-22 23:45,0.00,2.53
