BatteryVoltage,Flow,site_no,datetime,Precipitation,GageHeight
,0.00,09400815,2018-07-13 00:00,0.00,-0.01
12.6,,09400815,2018-07-13 00:07,,
,0.00,09400815,2018-07-13 00:15,0.00,-0.01
,0.00,09400815,2018-07-13 00:30,0.00,-0.01
,0.00,09400815,2018-07-13 00:45,0.00,-0.01
,0.00,09400815,2018-07-13 01:00,0.00,-0.01
12.6,,09400815,2018-07-13 01:07,,
,0.00,09400815,2018-07-13 01:15,0.00,-0.01
,0.00,09400815,2018-07-13 01:30,0.00,-0.01
,0.00,09400815,2018-07-13 01:45,0.00,-0.01
,0.00,09400815,2018-07-13 02:00,0.00,-0.01
12.6,,09400815,2018-07-13 02:07,,
,0.00,09400815,2018-07-13 02:15,0.00,-0.01
,0.00,09400815,2018-07-13 02:30,0.00,-0.01
,0.00,09400815,2018-07-13 02:45,0.00,-0.01
,0.00,09400815,2018-07-13 03:00,0.00,-0.01
12.5,,09400815,2018-07-13 03:07,,
,0.00,09400815,2018-07-13 03:15,0.00,-0.01
,0.00,09400815,2018-07-13 03:30,0.00,-0.01
,0.00,09400815,2018-07-13 03:45,0.00,-0.01
,0.00,09400815,2018-07-13 04:00,0.00,-0.01
12.5,,09400815,2018-07-13 04:07,,
,0.00,09400815,2018-07-13 04:15,0.00,-0.01
,0.00,09400815,2018-07-13 04:30,0.00,-0.01
,0.00,09400815,2018-07-13 04:45,0.00,-0.01
,0.00,09400815,2018-07-13 05:00,0.00,-0.01
12.5,,09400815,2018-07-13 05:07,,
,0.00,09400815,2018-07-13 05:15,0.00,-0.01
,0.00,09400815,2018-07-13 05:30,0.00,-0.01
,0.00,09400815,2018-07-13 05:45,0.00,-0.01
,0.00,09400815,2018-07-13 06:00,0.00,-0.01
12.5,,09400815,2018-07-13 06:07,,
,0.00,09400815,2018-07-13 06:15,0.00,-0.01
,0.00,09400815,2018-07-13 06:30,0.00,-0.01
,0.00,09400815,2018-07-13 06:45,0.00,-0.01
,0.00,09400815,2018-07-13 07:00,0.00,-0.01
12.5,,09400815,2018-07-13 07:07,,
,0.00,09400815,2018-07-13 07:15,0.00,-0.01
,0.00,09400815,2018-07-13 07:30,0.00,-0.01
,0.00,09400815,2018-07-13 07:45,0.00,-0.01
,0.00,09400815,2018-07-13 08:00,0.00,-0.01
12.5,,09400815,2018-07-13 08:07,,
,0.00,09400815,2018-07-13 08:15,0.00,-0.01
,0.00,09400815,2018-07-13 08:30,0.00,-0.01
,0.00,09400815,2018-07-13 08:45,0.00,-0.01
,0.00,09400815,2018-07-13 09:00,0.00,-0.01
12.6,,09400815,2018-07-13 09:07,,
,0.00,09400815,2018-07-13 09:15,0.00,-0.01
,0.00,09400815,2018-07-13 09:30,0.00,-0.01
,0.00,09400815,2018-07-13 09:45,0.00,-0.01
,0.00,09400815,2018-07-13 10:00,0.00,-0.01
13.3,,09400815,2018-07-13 10:07,,
,0.00,09400815,2018-07-13 10:15,0.00,-0.01
,0.00,09400815,2018-07-13 10:30,0.00,-0.01
,0.00,09400815,2018-07-13 10:45,0.00,-0.01
,0.00,09400815,2018-07-13 11:00,0.00,-0.01
13.4,,09400815,2018-07-13 11:07,,
,0.00,09400815,2018-07-13 11:15,0.00,-0.01
,0.00,09400815,2018-07-13 11:30,0.00,-0.01
,0.00,09400815,2018-07-13 11:45,0.00,-0.01
,0.00,09400815,2018-07-13 12:00,0.00,-0.01
13.5,,09400815,2018-07-13 12:07,,
,0.00,09400815,2018-07-13 12:15,0.00,-0.01
,0.00,09400815,2018-07-13 12:30,0.00,-0.01
,0.00,09400815,2018-07-13 12:45,0.00,-0.01
,0.00,09400815,2018-07-13 13:00,0.00,-0.01
13.5,,09400815,2018-07-13 13:07,,
,0.00,09400815,2018-07-13 13:15,0.00,-0.01
,0.00,09400815,2018-07-13 13:30,0.00,-0.01
,0.00,09400815,2018-07-13 13:45,0.00,-0.01
,0.00,09400815,2018-07-13 14:00,0.00,-0.01
13.0,,09400815,2018-07-13 14:07,,
,0.00,09400815,2018-07-13 14:15,0.00,-0.01
,0.00,09400815,2018-07-13 14:30,0.00,-0.01
,0.00,09400815,2018-07-13 14:45,0.06,-0.01
,0.00,09400815,2018-07-13 15:00,0.13,0.02
12.9,,09400815,2018-07-13 15:07,,
,0.00,09400815,2018-07-13 15:15,0.06,0.00
,0.00,09400815,2018-07-13 15:30,0.02,0.00
,0.00,09400815,2018-07-13 15:45,0.00,0.00
,0.00,09400815,2018-07-13 16:00,0.00,-0.01
12.8,,09400815,2018-07-13 16:07,,
,0.00,09400815,2018-07-13 16:15,0.01,-0.01
,0.00,09400815,2018-07-13 16:30,0.00,-0.01
,0.00,09400815,2018-07-13 16:45,0.01,0.00
,0.00,09400815,2018-07-13 17:00,0.01,0.00
12.8,,09400815,2018-07-13 17:07,,
,0.00,09400815,2018-07-13 17:15,0.00,0.01
,0.00,09400815,2018-07-13 17:30,0.01,0.00
,0.00,09400815,2018-07-13 17:45,0.01,0.00
,0.00,09400815,2018-07-13 18:00,0.01,0.00
12.7,,09400815,2018-07-13 18:07,,
,0.00,09400815,2018-07-13 18:15,0.01,-0.01
,0.00,09400815,2018-07-13 18:30,0.00,-0.01
,0.00,09400815,2018-07-13 18:45,0.00,0.00
,0.00,09400815,2018-07-13 19:00,0.00,-0.01
12.7,,09400815,2018-07-13 19:07,,
,0.00,09400815,2018-07-13 19:15,0.00,-0.01
,0.00,09400815,2018-07-13 19:30,0.00,-0.01
,0.00,09400815,2018-07-13 19:45,0.00,-0.01
,0.00,09400815,2018-07-13 20:00,0.00,-0.01
12.7,,09400815,2018-07-13 20:07,,
,0.00,09400815,2018-07-13 20:15,0.00,-0.01
,0.00,09400815,2018-07-13 20:30,0.00,-0.01
,0.00,09400815,2018-07-13 20:45,0.00,-0.01
,0.00,09400815,2018-07-13 21:00,0.00,-0.01
12.6,,09400815,2018-07-13 21:07,,
,0.00,09400815,2018-07-13 21:15,0.00,-0.01
,0.00,09400815,2018-07-13 21:30,0.00,-0.01
,0.00,09400815,2018-07-13 21:45,0.00,-0.01
,0.00,09400815,2018-07-13 22:00,0.00,-0.01
12.6,,09400815,2018-07-13 22:07,,
,0.00,09400815,2018-07-13 22:15,0.00,-0.01
,0.00,09400815,2018-07-13 22:30,0.00,-0.01
,0.00,09400815,2018-07-13 22:45,0.00,-0.01
,0.00,09400815,2018-07-13 23:00,0.00,-0.01
12.6,,09400815,2018-07-13 23:07,,
,0.00,09400815,2018-07-13 23:15,0.00,-0.01
,0.00,09400815,2018-07-13 23:30,0.01,-0.01
,0.00,09400815,2018-07-13 23:45,0.00,-0.01
