WaterVelocity,Temp,Flow,site_no,datetime,GageHeight
1.92,71.7,111,09423560,2018-07-12 00:00,7.87
1.88,71.5,109,09423560,2018-07-12 00:15,7.91
1.92,71.4,113,09423560,2018-07-12 00:30,7.95
1.93,71.2,115,09423560,2018-07-12 00:45,7.97
1.97,71.1,118,09423560,2018-07-12 01:00,7.98
1.95,71.0,117,09423560,2018-07-12 01:15,7.99
1.91,70.9,115,09423560,2018-07-12 01:30,8.00
1.95,70.8,117,09423560,2018-07-12 01:45,8.01
1.88,70.8,113,09423560,2018-07-12 02:00,8.01
1.88,70.7,113,09423560,2018-07-12 02:15,8.00
1.86,70.7,111,09423560,2018-07-12 02:30,7.98
1.85,70.7,110,09423560,2018-07-12 02:45,7.98
1.84,70.7,109,09423560,2018-07-12 03:00,7.95
1.81,70.7,106,09423560,2018-07-12 03:15,7.93
1.79,70.7,104,09423560,2018-07-12 03:30,7.89
1.70,70.8,97.5,09423560,2018-07-12 03:45,7.85
1.70,70.8,96.2,09423560,2018-07-12 04:00,7.81
1.74,70.8,97.2,09423560,2018-07-12 04:15,7.77
1.67,70.8,92.1,09423560,2018-07-12 04:30,7.73
1.65,70.8,89.8,09423560,2018-07-12 04:45,7.69
1.63,70.9,87.2,09423560,2018-07-12 05:00,7.64
1.61,70.9,84.4,09423560,2018-07-12 05:15,7.58
1.57,70.9,80.4,09423560,2018-07-12 05:30,7.53
1.60,70.9,80.1,09423560,2018-07-12 05:45,7.47
1.55,70.9,75.6,09423560,2018-07-12 06:00,7.40
1.50,70.9,71.6,09423560,2018-07-12 06:15,7.34
1.48,71.0,68.7,09423560,2018-07-12 06:30,7.27
1.41,71.0,64.0,09423560,2018-07-12 06:45,7.21
1.42,71.0,62.6,09423560,2018-07-12 07:00,7.14
1.38,71.0,59.3,09423560,2018-07-12 07:15,7.08
1.31,71.0,54.4,09423560,2018-07-12 07:30,7.00
1.29,71.0,52.2,09423560,2018-07-12 07:45,6.93
1.28,71.0,50.4,09423560,2018-07-12 08:00,6.86
1.24,71.1,47.5,09423560,2018-07-12 08:15,6.79
1.20,71.1,44.9,09423560,2018-07-12 08:30,6.73
1.11,71.3,40.4,09423560,2018-07-12 08:45,6.66
1.14,71.3,40.2,09423560,2018-07-12 09:00,6.59
