Temp,Flow,site_no,datetime,Precipitation,GageHeight
92.1,0.00,09424900,2018-07-14 00:00,0.00,-0.13
89.8,0.00,09424900,2018-07-14 00:15,0.00,-0.13
90.2,0.00,09424900,2018-07-14 00:30,0.00,-0.13
88.5,0.00,09424900,2018-07-14 00:45,0.00,-0.13
87.7,0.00,09424900,2018-07-14 01:00,0.00,-0.13
87.4,0.00,09424900,2018-07-14 01:15,0.00,-0.13
87.7,0.00,09424900,2018-07-14 01:30,0.00,-0.13
88.7,0.00,09424900,2018-07-14 01:45,0.00,-0.13
89.1,0.00,09424900,2018-07-14 02:00,0.00,-0.13
88.1,0.00,09424900,2018-07-14 02:15,0.00,-0.13
87.3,0.00,09424900,2018-07-14 02:30,0.00,-0.13
88.6,0.00,09424900,2018-07-14 02:45,0.00,-0.13
87.0,0.00,09424900,2018-07-14 03:00,0.00,-0.13
86.0,0.00,09424900,2018-07-14 03:15,0.00,-0.13
84.4,0.00,09424900,2018-07-14 03:30,0.00,-0.13
85.5,0.00,09424900,2018-07-14 03:45,0.00,-0.13
85.1,0.00,09424900,2018-07-14 04:00,0.00,-0.13
85.6,0.00,09424900,2018-07-14 04:15,0.00,-0.13
85.7,0.00,09424900,2018-07-14 04:30,0.00,-0.13
86.3,0.00,09424900,2018-07-14 04:45,0.00,-0.13
86.7,0.00,09424900,2018-07-14 05:00,0.00,-0.13
86.4,0.00,09424900,2018-07-14 05:15,0.00,-0.13
86.8,0.00,09424900,2018-07-14 05:30,0.00,-0.13
87.4,0.00,09424900,2018-07-14 05:45,0.00,-0.13
87.7,0.00,09424900,2018-07-14 06:00,0.00,-0.13
88.7,0.00,09424900,2018-07-14 06:15,0.00,-0.13
89.9,0.00,09424900,2018-07-14 06:30,0.00,-0.13
90.1,0.00,09424900,2018-07-14 06:45,0.00,-0.13
90.8,0.00,09424900,2018-07-14 07:00,0.00,-0.13
91.8,0.00,09424900,2018-07-14 07:15,0.00,-0.13
90.6,0.00,09424900,2018-07-14 07:30,0.00,-0.13
92.6,0.00,09424900,2018-07-14 07:45,0.00,-0.13
94.0,0.00,09424900,2018-07-14 08:00,0.00,-0.13
94.8,0.00,09424900,2018-07-14 08:15,0.00,-0.12
96.2,0.00,09424900,2018-07-14 08:30,0.00,-0.12
96.7,0.00,09424900,2018-07-14 08:45,0.00,-0.12
98.4,0.00,09424900,2018-07-14 09:00,0.00,-0.12
97.6,0.00,09424900,2018-07-14 09:15,0.00,-0.12
98.8,0.00,09424900,2018-07-14 09:30,0.00,-0.12
100.5,0.00,09424900,2018-07-14 09:45,0.00,-0.12
100.3,0.00,09424900,2018-07-14 10:00,0.00,-0.12
100.2,0.00,09424900,2018-07-14 10:15,0.00,-0.12
102.4,0.00,09424900,2018-07-14 10:30,0.00,-0.12
101.4,0.00,09424900,2018-07-14 10:45,0.00,-0.12
104.1,0.00,09424900,2018-07-14 11:00,0.00,-0.12
103.3,0.00,09424900,2018-07-14 11:15,0.00,-0.12
102.2,0.00,09424900,2018-07-14 11:30,0.00,-0.12
104.1,0.00,09424900,2018-07-14 11:45,0.00,-0.12
103.1,0.00,09424900,2018-07-14 12:00,0.00,-0.12
102.6,0.00,09424900,2018-07-14 12:15,0.00,-0.12
102.2,0.00,09424900,2018-07-14 12:30,0.00,-0.12
102.5,0.00,09424900,2018-07-14 12:45,0.00,-0.12
105.3,0.00,09424900,2018-07-14 13:00,0.00,-0.12
104.6,0.00,09424900,2018-07-14 13:15,0.00,-0.12
104.0,0.00,09424900,2018-07-14 13:30,0.00,-0.12
106.3,0.00,09424900,2018-07-14 13:45,0.00,-0.12
105.7,0.00,09424900,2018-07-14 14:00,0.00,-0.12
106.0,0.00,09424900,2018-07-14 14:15,0.00,-0.12
107.9,0.00,09424900,2018-07-14 14:30,0.00,-0.12
105.7,0.00,09424900,2018-07-14 14:45,0.00,-0.12
94.1,0.00,09424900,2018-07-14 15:00,0.00,-0.12
92.7,0.00,09424900,2018-07-14 15:15,0.00,-0.12
90.4,0.00,09424900,2018-07-14 15:30,0.00,-0.13
91.1,0.00,09424900,2018-07-14 15:45,0.00,-0.13
90.2,0.00,09424900,2018-07-14 16:00,0.00,-0.13
89.5,0.00,09424900,2018-07-14 16:15,0.00,-0.13
88.8,0.00,09424900,2018-07-14 16:30,0.00,-0.13
87.8,0.00,09424900,2018-07-14 16:45,0.00,-0.13
