Temp,Flow,site_no,datetime,Velocity,GageHeight
82.5,126,09429070,2018-07-08 00:00,0.80,4.92
82.4,124,09429070,2018-07-08 00:15,0.78,4.96
82.4,124,09429070,2018-07-08 00:30,0.78,4.98
82.2,132,09429070,2018-07-08 00:45,0.82,5.01
82.0,132,09429070,2018-07-08 01:00,0.82,5.03
81.8,134,09429070,2018-07-08 01:15,0.82,5.05
81.7,132,09429070,2018-07-08 01:30,0.81,5.06
81.6,127,09429070,2018-07-08 01:45,0.78,5.07
81.6,125,09429070,2018-07-08 02:00,0.76,5.07
81.5,121,09429070,2018-07-08 02:15,0.72,5.19
81.4,119,09429070,2018-07-08 02:30,0.70,5.24
81.4,122,09429070,2018-07-08 02:45,0.71,5.29
81.3,131,09429070,2018-07-08 03:00,0.75,5.32
81.3,125,09429070,2018-07-08 03:15,0.72,5.34
81.2,126,09429070,2018-07-08 03:30,0.71,5.41
81.2,116,09429070,2018-07-08 03:45,0.64,5.51
81.1,124,09429070,2018-07-08 04:00,0.68,5.55
81.1,116,09429070,2018-07-08 04:15,0.63,5.60
81.1,118,09429070,2018-07-08 04:30,0.63,5.62
81.0,124,09429070,2018-07-08 04:45,0.66,5.65
81.0,125,09429070,2018-07-08 05:00,0.67,5.67
80.9,123,09429070,2018-07-08 05:15,0.64,5.79
80.8,124,09429070,2018-07-08 05:30,0.63,5.86
80.8,122,09429070,2018-07-08 05:45,0.62,5.90
80.7,110,09429070,2018-07-08 06:00,0.56,5.94
80.7,120,09429070,2018-07-08 06:15,0.60,5.96
80.6,119,09429070,2018-07-08 06:30,0.59,5.98
80.6,118,09429070,2018-07-08 06:45,0.59,5.99
80.5,116,09429070,2018-07-08 07:00,0.57,6.01
80.5,122,09429070,2018-07-08 07:15,0.60,6.01
80.5,123,09429070,2018-07-08 07:30,0.61,6.03
80.5,117,09429070,2018-07-08 07:45,0.58,6.04
80.5,120,09429070,2018-07-08 08:00,0.59,6.05
80.5,118,09429070,2018-07-08 08:15,0.58,6.06
80.5,139,09429070,2018-07-08 08:30,0.70,5.96
80.6,129,09429070,2018-07-08 08:45,0.66,5.87
80.6,132,09429070,2018-07-08 09:00,0.68,5.83
80.6,127,09429070,2018-07-08 09:15,0.66,5.79
80.6,120,09429070,2018-07-08 09:30,0.61,5.86
80.7,123,09429070,2018-07-08 09:45,0.63,5.89
80.7,129,09429070,2018-07-08 10:00,0.65,5.91
80.9,129,09429070,2018-07-08 10:15,0.65,5.93
81.0,142,09429070,2018-07-08 10:30,0.74,5.78
81.2,141,09429070,2018-07-08 10:45,0.74,5.72
81.3,135,09429070,2018-07-08 11:00,0.72,5.67
81.4,139,09429070,2018-07-08 11:15,0.74,5.64
81.5,142,09429070,2018-07-08 11:30,0.76,5.62
81.5,136,09429070,2018-07-08 11:45,0.74,5.60
81.6,137,09429070,2018-07-08 12:00,0.74,5.58
81.7,134,09429070,2018-07-08 12:15,0.73,5.56
81.9,141,09429070,2018-07-08 12:30,0.77,5.55
82.0,138,09429070,2018-07-08 12:45,0.76,5.55
82.1,139,09429070,2018-07-08 13:00,0.76,5.53
82.2,137,09429070,2018-07-08 13:15,0.76,5.47
82.4,142,09429070,2018-07-08 13:30,0.81,5.35
