Temp,Flow,site_no,datetime,Conductance,Precipitation,GageHeight
10.6,15700,09380000,2018-06-29 00:00,684,0.00,9.87
10.6,15300,09380000,2018-06-29 00:15,684,0.00,9.81
10.5,15000,09380000,2018-06-29 00:30,684,0.00,9.75
10.5,14600,09380000,2018-06-29 00:45,685,0.00,9.67
10.4,14200,09380000,2018-06-29 01:00,683,0.00,9.58
10.4,13700,09380000,2018-06-29 01:15,686,0.00,9.49
10.4,13500,09380000,2018-06-29 01:30,685,0.00,9.44
10.4,13100,09380000,2018-06-29 01:45,686,0.00,9.36
10.3,12800,09380000,2018-06-29 02:00,685,0.00,9.28
10.3,12500,09380000,2018-06-29 02:15,682,0.00,9.22
10.2,12200,09380000,2018-06-29 02:30,675,0.00,9.15
10.2,11800,09380000,2018-06-29 02:45,683,0.00,9.08
10.2,11600,09380000,2018-06-29 03:00,683,0.00,9.02
10.2,11300,09380000,2018-06-29 03:15,684,0.00,8.96
10.2,11100,09380000,2018-06-29 03:30,685,0.00,8.90
10.1,10900,09380000,2018-06-29 03:45,682,0.00,8.85
10.1,10700,09380000,2018-06-29 04:00,686,0.00,8.80
10.1,10500,09380000,2018-06-29 04:15,682,0.00,8.76
10.1,10300,09380000,2018-06-29 04:30,686,0.00,8.71
10.1,10100,09380000,2018-06-29 04:45,685,0.00,8.67
10.0,10000,09380000,2018-06-29 05:00,686,0.00,8.64
10.0,9840,09380000,2018-06-29 05:15,681,0.00,8.60
10.0,9720,09380000,2018-06-29 05:30,682,0.00,8.57
10.0,9650,09380000,2018-06-29 05:45,682,0.00,8.55
10.0,9650,09380000,2018-06-29 06:00,682,0.00,8.55
10.0,9650,09380000,2018-06-29 06:15,677,0.00,8.55
10.0,9650,09380000,2018-06-29 06:30,681,0.00,8.55
10.0,9720,09380000,2018-06-29 06:45,683,0.00,8.57
10.0,9800,09380000,2018-06-29 07:00,682,0.00,8.59
10.0,9920,09380000,2018-06-29 07:15,684,0.00,8.62
10.0,10000,09380000,2018-06-29 07:30,679,0.00,8.65
10.1,10300,09380000,2018-06-29 07:45,681,0.00,8.71
10.1,10500,09380000,2018-06-29 08:00,682,0.00,8.77
10.2,10800,09380000,2018-06-29 08:15,677,0.00,8.84
10.2,11100,09380000,2018-06-29 08:30,675,0.00,8.91
10.2,11500,09380000,2018-06-29 08:45,674,0.00,8.99
10.3,11800,09380000,2018-06-29 09:00,675,0.00,9.07
10.3,12100,09380000,2018-06-29 09:15,676,0.00,9.13
10.4,12400,09380000,2018-06-29 09:30,681,0.00,9.21
10.5,12700,09380000,2018-06-29 09:45,675,0.00,9.27
10.5,13000,09380000,2018-06-29 10:00,677,0.00,9.33
10.5,13400,09380000,2018-06-29 10:15,684,0.00,9.41
10.5,13700,09380000,2018-06-29 10:30,684,0.00,9.49
10.5,14100,09380000,2018-06-29 10:45,684,0.00,9.56
10.6,14300,09380000,2018-06-29 11:00,684,0.00,9.61
10.6,14600,09380000,2018-06-29 11:15,684,0.00,9.67
10.6,14900,09380000,2018-06-29 11:30,682,0.00,9.73
10.7,15100,09380000,2018-06-29 11:45,683,0.00,9.77
10.7,15400,09380000,2018-06-29 12:00,679,0.00,9.83
10.8,15500,09380000,2018-06-29 12:15,681,0.00,9.84
10.8,15800,09380000,2018-06-29 12:30,681,0.00,9.89
10.8,15800,09380000,2018-06-29 12:45,681,0.00,9.90
10.8,16000,09380000,2018-06-29 13:00,681,0.00,9.93
10.9,16200,09380000,2018-06-29 13:15,681,0.00,9.97
11.0,16200,09380000,2018-06-29 13:30,681,0.00,9.98
11.0,16300,09380000,2018-06-29 13:45,681,0.00,10.00
11.0,16300,09380000,2018-06-29 14:00,681,0.00,10.00
11.1,16400,09380000,2018-06-29 14:15,681,0.00,10.01
11.2,16500,09380000,2018-06-29 14:30,681,0.00,10.03
11.2,16500,09380000,2018-06-29 14:45,681,0.00,10.03
11.2,16600,09380000,2018-06-29 15:00,681,0.00,10.05
11.3,16600,09380000,2018-06-29 15:15,681,0.00,10.05
11.2,16600,09380000,2018-06-29 15:30,682,0.00,10.05
11.3,16700,09380000,2018-06-29 15:45,682,0.00,10.06
11.3,16800,09380000,2018-06-29 16:00,682,0.00,10.08
11.3,16700,09380000,2018-06-29 16:15,683,0.00,10.07
11.3,16600,09380000,2018-06-29 16:30,682,0.00,10.05
11.3,16700,09380000,2018-06-29 16:45,683,0.00,10.07
11.3,16600,09380000,2018-06-29 17:00,683,0.00,10.05
11.4,16700,09380000,2018-06-29 17:15,682,0.00,10.07
11.4,16700,09380000,2018-06-29 17:30,682,0.00,10.06
11.3,16800,09380000,2018-06-29 17:45,681,0.00,10.08
11.3,16800,09380000,2018-06-29 18:00,681,0.00,10.08
11.3,16800,09380000,2018-06-29 18:15,684,0.00,10.09
11.3,16700,09380000,2018-06-29 18:30,684,0.00,10.07
11.3,16700,09380000,2018-06-29 18:45,684,0.00,10.06
11.2,16800,09380000,2018-06-29 19:00,685,0.00,10.09
11.2,16700,09380000,2018-06-29 19:15,685,0.00,10.07
11.1,16800,09380000,2018-06-29 19:30,685,0.00,10.09
11.1,16800,09380000,2018-06-29 19:45,686,0.00,10.09
11.1,16700,09380000,2018-06-29 20:00,681,0.00,10.07
11.0,16800,09380000,2018-06-29 20:15,680,0.00,10.08
11.0,16700,09380000,2018-06-29 20:30,680,0.00,10.07
11.0,16800,09380000,2018-06-29 20:45,680,0.00,10.09
10.9,16900,09380000,2018-06-29 21:00,683,0.00,10.10
10.9,16800,09380000,2018-06-29 21:15,682,0.00,10.09
10.9,16900,09380000,2018-06-29 21:30,683,0.00,10.10
10.8,16900,09380000,2018-06-29 21:45,682,0.00,10.11
10.8,16900,09380000,2018-06-29 22:00,683,0.00,10.10
10.8,17000,09380000,2018-06-29 22:15,683,0.00,10.12
10.7,16900,09380000,2018-06-29 22:30,680,0.00,10.10
10.7,16800,09380000,2018-06-29 22:45,679,0.00,10.08
10.6,16600,09380000,2018-06-29 23:00,684,0.00,10.05
10.6,16600,09380000,2018-06-29 23:15,684,0.00,10.04
10.6,16500,09380000,2018-06-29 23:30,684,0.00,10.02
10.5,16100,09380000,2018-06-29 23:45,680,0.00,9.96
