BatteryVoltage,Flow,site_no,datetime,Precipitation,GageHeight
,0.02,09400815,2018-07-16 00:00,0.00,0.44
12.5,,09400815,2018-07-16 00:07,,
,0.02,09400815,2018-07-16 00:15,0.00,0.44
,0.02,09400815,2018-07-16 00:30,0.00,0.44
,0.02,09400815,2018-07-16 00:45,0.00,0.44
,0.02,09400815,2018-07-16 01:00,0.00,0.44
12.5,,09400815,2018-07-16 01:07,,
,0.02,09400815,2018-07-16 01:15,0.00,0.44
,0.02,09400815,2018-07-16 01:30,0.00,0.44
,0.02,09400815,2018-07-16 01:45,0.00,0.44
,0.02,09400815,2018-07-16 02:00,0.00,0.44
12.5,,09400815,2018-07-16 02:07,,
,0.02,09400815,2018-07-16 02:15,0.00,0.44
,0.00,09400815,2018-07-16 02:30,0.00,0.43
,0.00,09400815,2018-07-16 02:45,0.00,0.43
,0.00,09400815,2018-07-16 03:00,0.00,0.43
12.5,,09400815,2018-07-16 03:07,,
,0.00,09400815,2018-07-16 03:15,0.00,0.43
,0.00,09400815,2018-07-16 03:30,0.00,0.43
,0.00,09400815,2018-07-16 03:45,0.00,0.43
,0.00,09400815,2018-07-16 04:00,0.00,0.43
12.5,,09400815,2018-07-16 04:07,,
,0.00,09400815,2018-07-16 04:15,0.00,0.43
,0.00,09400815,2018-07-16 04:30,0.00,0.43
,0.00,09400815,2018-07-16 04:45,0.00,0.43
,0.00,09400815,2018-07-16 05:00,0.00,0.43
12.5,,09400815,2018-07-16 05:07,,
,0.00,09400815,2018-07-16 05:15,0.00,0.43
,0.00,09400815,2018-07-16 05:30,0.00,0.43
,0.00,09400815,2018-07-16 05:45,0.00,0.43
,0.00,09400815,2018-07-16 06:00,0.00,0.43
12.4,,09400815,2018-07-16 06:07,,
,0.00,09400815,2018-07-16 06:15,0.00,0.43
,0.00,09400815,2018-07-16 06:30,0.00,0.43
,0.00,09400815,2018-07-16 06:45,0.00,0.43
,0.00,09400815,2018-07-16 07:00,0.00,0.43
12.5,,09400815,2018-07-16 07:07,,
,0.00,09400815,2018-07-16 07:15,0.00,0.43
,0.00,09400815,2018-07-16 07:30,0.00,0.43
,0.00,09400815,2018-07-16 07:45,0.00,0.43
,0.00,09400815,2018-07-16 08:00,0.00,0.43
12.8,,09400815,2018-07-16 08:07,,
,0.00,09400815,2018-07-16 08:15,0.00,0.43
,0.00,09400815,2018-07-16 08:30,0.00,0.43
,0.00,09400815,2018-07-16 08:45,0.00,0.43
,0.00,09400815,2018-07-16 09:00,0.00,0.43
13.0,,09400815,2018-07-16 09:07,,
,0.00,09400815,2018-07-16 09:15,0.00,0.43
,0.00,09400815,2018-07-16 09:30,0.00,0.43
,0.00,09400815,2018-07-16 09:45,0.00,0.43
,0.00,09400815,2018-07-16 10:00,0.00,0.43
13.2,,09400815,2018-07-16 10:07,,
,0.00,09400815,2018-07-16 10:15,0.00,0.43
,0.00,09400815,2018-07-16 10:30,0.00,0.43
,0.00,09400815,2018-07-16 10:45,0.00,0.43
,0.00,09400815,2018-07-16 11:00,0.00,0.43
13.4,,09400815,2018-07-16 11:07,,
,0.00,09400815,2018-07-16 11:15,0.00,0.43
,0.00,09400815,2018-07-16 11:30,0.00,0.43
,0.00,09400815,2018-07-16 11:45,0.00,0.43
,0.00,09400815,2018-07-16 12:00,0.00,0.43
13.5,,09400815,2018-07-16 12:07,,
,0.00,09400815,2018-07-16 12:15,0.00,0.43
,0.00,09400815,2018-07-16 12:30,0.00,0.43
,0.00,09400815,2018-07-16 12:45,0.00,0.43
,0.00,09400815,2018-07-16 13:00,0.00,0.43
13.2,,09400815,2018-07-16 13:07,,
,0.00,09400815,2018-07-16 13:15,0.00,0.43
,0.00,09400815,2018-07-16 13:30,0.00,0.43
,0.00,09400815,2018-07-16 13:45,0.00,0.43
,0.00,09400815,2018-07-16 14:00,0.00,0.43
13.9,,09400815,2018-07-16 14:07,,
