WaterVelocity,Temp,Flow,site_no,datetime,GageHeight
1.83,72.7,92.2,09423560,2018-07-16 00:00,7.48
1.83,72.6,94.6,09423560,2018-07-16 00:15,7.55
1.86,72.5,97.7,09423560,2018-07-16 00:30,7.60
1.82,72.4,97.8,09423560,2018-07-16 00:45,7.66
1.83,72.3,101,09423560,2018-07-16 01:00,7.72
1.84,72.2,102,09423560,2018-07-16 01:15,7.75
1.81,72.0,102,09423560,2018-07-16 01:30,7.80
1.82,71.9,103,09423560,2018-07-16 01:45,7.82
1.82,71.8,104,09423560,2018-07-16 02:00,7.84
1.83,71.7,105,09423560,2018-07-16 02:15,7.87
1.83,71.6,106,09423560,2018-07-16 02:30,7.88
1.83,71.5,106,09423560,2018-07-16 02:45,7.88
1.81,71.5,104,09423560,2018-07-16 03:00,7.87
1.78,71.4,103,09423560,2018-07-16 03:15,7.88
1.78,71.3,102,09423560,2018-07-16 03:30,7.86
1.80,71.2,103,09423560,2018-07-16 03:45,7.85
1.78,71.2,101,09423560,2018-07-16 04:00,7.82
1.75,71.2,98.7,09423560,2018-07-16 04:15,7.80
1.80,71.2,100,09423560,2018-07-16 04:30,7.77
1.80,71.2,99.4,09423560,2018-07-16 04:45,7.74
1.67,71.2,91.5,09423560,2018-07-16 05:00,7.71
1.74,71.2,93.6,09423560,2018-07-16 05:15,7.66
1.65,71.2,87.7,09423560,2018-07-16 05:30,7.62
1.61,71.2,84.1,09423560,2018-07-16 05:45,7.57
1.61,71.2,82.9,09423560,2018-07-16 06:00,7.53
1.54,71.2,77.2,09423560,2018-07-16 06:15,7.47
1.55,71.2,75.9,09423560,2018-07-16 06:30,7.41
1.52,71.2,72.8,09423560,2018-07-16 06:45,7.35
1.50,71.2,70.2,09423560,2018-07-16 07:00,7.29
1.46,71.2,66.7,09423560,2018-07-16 07:15,7.23
1.41,71.2,62.7,09423560,2018-07-16 07:30,7.16
1.39,71.2,60.0,09423560,2018-07-16 07:45,7.09
1.29,71.3,54.3,09423560,2018-07-16 08:00,7.03
1.28,71.3,52.2,09423560,2018-07-16 08:15,6.95
