Temp,Flow,site_no,datetime,Precipitation,GageHeight
91.2,0.00,09424900,2018-07-07 00:00,0.00,-0.13
92.5,0.00,09424900,2018-07-07 00:15,0.00,-0.13
92.5,0.00,09424900,2018-07-07 00:30,0.00,-0.13
91.7,0.00,09424900,2018-07-07 00:45,0.00,-0.13
90.7,0.00,09424900,2018-07-07 01:00,0.00,-0.13
89.3,0.00,09424900,2018-07-07 01:15,0.00,-0.13
88.6,0.00,09424900,2018-07-07 01:30,0.00,-0.13
87.5,0.00,09424900,2018-07-07 01:45,0.00,-0.13
87.3,0.00,09424900,2018-07-07 02:00,0.00,-0.13
86.4,0.00,09424900,2018-07-07 02:15,0.00,-0.13
86.9,0.00,09424900,2018-07-07 02:30,0.00,-0.13
90.0,0.00,09424900,2018-07-07 02:45,0.00,-0.13
91.9,0.00,09424900,2018-07-07 03:00,0.00,-0.13
92.6,0.00,09424900,2018-07-07 03:15,0.00,-0.13
92.8,0.00,09424900,2018-07-07 03:30,0.00,-0.13
92.9,0.00,09424900,2018-07-07 03:45,0.00,-0.13
92.4,0.00,09424900,2018-07-07 04:00,0.00,-0.13
92.5,0.00,09424900,2018-07-07 04:15,0.00,-0.13
92.6,0.00,09424900,2018-07-07 04:30,0.00,-0.13
92.6,0.00,09424900,2018-07-07 04:45,0.00,-0.13
91.3,0.00,09424900,2018-07-07 05:00,0.00,-0.13
90.5,0.00,09424900,2018-07-07 05:15,0.00,-0.13
91.5,0.00,09424900,2018-07-07 05:30,0.00,-0.13
92.0,0.00,09424900,2018-07-07 05:45,0.00,-0.13
92.0,0.00,09424900,2018-07-07 06:00,0.00,-0.13
92.6,0.00,09424900,2018-07-07 06:15,0.00,-0.13
93.5,0.00,09424900,2018-07-07 06:30,0.00,-0.13
94.4,0.00,09424900,2018-07-07 06:45,0.00,-0.13
95.6,0.00,09424900,2018-07-07 07:00,0.00,-0.13
96.4,0.00,09424900,2018-07-07 07:15,0.00,-0.12
98.4,0.00,09424900,2018-07-07 07:30,0.00,-0.12
100.5,0.00,09424900,2018-07-07 07:45,0.00,-0.12
101.6,0.00,09424900,2018-07-07 08:00,0.00,-0.12
102.8,0.00,09424900,2018-07-07 08:15,0.00,-0.12
103.8,0.00,09424900,2018-07-07 08:30,0.00,-0.12
105.5,0.00,09424900,2018-07-07 08:45,0.00,-0.12
104.4,0.00,09424900,2018-07-07 09:00,0.00,-0.12
106.3,0.00,09424900,2018-07-07 09:15,0.00,-0.12
106.2,0.00,09424900,2018-07-07 09:30,0.00,-0.12
106.1,0.00,09424900,2018-07-07 09:45,0.00,-0.12
108.2,0.00,09424900,2018-07-07 10:00,0.00,-0.12
107.5,0.00,09424900,2018-07-07 10:15,0.00,-0.12
109.3,0.00,09424900,2018-07-07 10:30,0.00,-0.12
108.6,0.00,09424900,2018-07-07 10:45,0.00,-0.12
106.7,0.00,09424900,2018-07-07 11:00,0.00,-0.12
109.0,0.00,09424900,2018-07-07 11:15,0.00,-0.12
108.5,0.00,09424900,2018-07-07 11:30,0.00,-0.12
107.9,0.00,09424900,2018-07-07 11:45,0.00,-0.12
108.1,0.00,09424900,2018-07-07 12:00,0.00,-0.12
109.0,0.00,09424900,2018-07-07 12:15,0.00,-0.12
108.4,0.00,09424900,2018-07-07 12:30,0.00,-0.12
108.0,0.00,09424900,2018-07-07 12:45,0.00,-0.12
107.3,0.00,09424900,2018-07-07 13:00,0.00,-0.12
107.3,0.00,09424900,2018-07-07 13:15,0.00,-0.12
109.4,0.00,09424900,2018-07-07 13:30,0.00,-0.12
110.4,0.00,09424900,2018-07-07 13:45,0.00,-0.12
110.7,0.00,09424900,2018-07-07 14:00,0.00,-0.12
110.1,0.00,09424900,2018-07-07 14:15,0.00,-0.12
112.2,0.00,09424900,2018-07-07 14:30,0.00,-0.12
111.2,0.00,09424900,2018-07-07 14:45,0.00,-0.12
111.3,0.00,09424900,2018-07-07 15:00,0.00,-0.12
112.0,0.00,09424900,2018-07-07 15:15,0.00,-0.12
111.6,0.00,09424900,2018-07-07 15:30,0.00,-0.12
112.3,0.00,09424900,2018-07-07 15:45,0.00,-0.12
111.9,0.00,09424900,2018-07-07 16:00,0.00,-0.12
110.7,0.00,09424900,2018-07-07 16:15,0.00,-0.12
111.8,0.00,09424900,2018-07-07 16:30,0.00,-0.12
113.4,0.00,09424900,2018-07-07 16:45,0.00,-0.12
113.1,0.00,09424900,2018-07-07 17:00,0.00,-0.12
111.8,0.00,09424900,2018-07-07 17:15,0.00,-0.12
110.7,0.00,09424900,2018-07-07 17:30,0.00,-0.12
107.4,0.00,09424900,2018-07-07 17:45,0.00,-0.12
103.2,0.00,09424900,2018-07-07 18:00,0.00,-0.12
102.3,0.00,09424900,2018-07-07 18:15,0.00,-0.12
101.8,0.00,09424900,2018-07-07 18:30,0.00,-0.12
101.4,0.00,09424900,2018-07-07 18:45,0.00,-0.12
101.5,0.00,09424900,2018-07-07 19:00,0.00,-0.12
101.5,0.00,09424900,2018-07-07 19:15,0.00,-0.12
101.3,0.00,09424900,2018-07-07 19:30,0.00,-0.12
101.8,0.00,09424900,2018-07-07 19:45,0.00,-0.12
101.7,0.00,09424900,2018-07-07 20:00,0.00,-0.12
101.6,0.00,09424900,2018-07-07 20:15,0.00,-0.12
101.5,0.00,09424900,2018-07-07 20:30,0.00,-0.12
101.0,0.00,09424900,2018-07-07 20:45,0.00,-0.12
100.9,0.00,09424900,2018-07-07 21:00,0.00,-0.12
100.2,0.00,09424900,2018-07-07 21:15,0.00,-0.12
100.0,0.00,09424900,2018-07-07 21:30,0.00,-0.12
99.0,0.00,09424900,2018-07-07 21:45,0.00,-0.12
98.6,0.00,09424900,2018-07-07 22:00,0.00,-0.12
98.7,0.00,09424900,2018-07-07 22:15,0.00,-0.12
98.8,0.00,09424900,2018-07-07 22:30,0.00,-0.12
98.8,0.00,09424900,2018-07-07 22:45,0.00,-0.12
98.2,0.00,09424900,2018-07-07 23:00,0.00,-0.12
97.6,0.00,09424900,2018-07-07 23:15,0.00,-0.12
97.5,0.00,09424900,2018-07-07 23:30,0.00,-0.12
97.1,0.00,09424900,2018-07-07 23:45,0.00,-0.12
