Temp,Flow,site_no,datetime,Velocity,GageHeight
78.5,211,09429070,2018-07-03 00:00,1.29,5.06
78.4,210,09429070,2018-07-03 00:15,1.28,5.09
78.4,217,09429070,2018-07-03 00:30,1.32,5.09
78.3,222,09429070,2018-07-03 00:45,1.35,5.10
78.2,222,09429070,2018-07-03 01:00,1.35,5.11
78.1,216,09429070,2018-07-03 01:15,1.27,5.22
78.0,220,09429070,2018-07-03 01:30,1.28,5.27
77.9,212,09429070,2018-07-03 01:45,1.23,5.32
77.8,208,09429070,2018-07-03 02:00,1.20,5.33
77.7,205,09429070,2018-07-03 02:15,1.17,5.34
77.6,207,09429070,2018-07-03 02:30,1.17,5.38
77.4,208,09429070,2018-07-03 02:45,1.17,5.41
77.3,207,09429070,2018-07-03 03:00,1.16,5.43
77.2,205,09429070,2018-07-03 03:15,1.15,5.44
77.1,202,09429070,2018-07-03 03:30,1.11,5.52
77.0,207,09429070,2018-07-03 03:45,1.12,5.60
77.0,210,09429070,2018-07-03 04:00,1.12,5.65
76.9,216,09429070,2018-07-03 04:15,1.15,5.68
76.8,223,09429070,2018-07-03 04:30,1.18,5.71
76.7,231,09429070,2018-07-03 04:45,1.21,5.74
76.6,231,09429070,2018-07-03 05:00,1.21,5.75
76.5,222,09429070,2018-07-03 05:15,1.16,5.77
76.4,233,09429070,2018-07-03 05:30,1.21,5.78
76.3,216,09429070,2018-07-03 05:45,1.12,5.78
76.2,228,09429070,2018-07-03 06:00,1.18,5.80
76.1,232,09429070,2018-07-03 06:15,1.20,5.81
76.0,227,09429070,2018-07-03 06:30,1.17,5.81
76.0,221,09429070,2018-07-03 06:45,1.14,5.81
76.0,219,09429070,2018-07-03 07:00,1.13,5.82
75.9,212,09429070,2018-07-03 07:15,1.09,5.83
75.9,216,09429070,2018-07-03 07:30,1.11,5.83
75.9,225,09429070,2018-07-03 07:45,1.16,5.83
75.9,227,09429070,2018-07-03 08:00,1.16,5.84
75.9,239,09429070,2018-07-03 08:15,1.23,5.84
76.0,224,09429070,2018-07-03 08:30,1.15,5.84
76.0,226,09429070,2018-07-03 08:45,1.15,5.86
76.1,220,09429070,2018-07-03 09:00,1.13,5.84
76.2,225,09429070,2018-07-03 09:15,1.15,5.85
76.2,219,09429070,2018-07-03 09:30,1.12,5.85
76.3,231,09429070,2018-07-03 09:45,1.18,5.86
76.4,225,09429070,2018-07-03 10:00,1.15,5.86
76.6,225,09429070,2018-07-03 10:15,1.15,5.87
76.7,219,09429070,2018-07-03 10:30,1.12,5.86
76.9,220,09429070,2018-07-03 10:45,1.12,5.86
77.0,211,09429070,2018-07-03 11:00,1.08,5.86
77.2,232,09429070,2018-07-03 11:15,1.20,5.80
77.4,221,09429070,2018-07-03 11:30,1.17,5.70
77.6,230,09429070,2018-07-03 11:45,1.23,5.65
77.9,227,09429070,2018-07-03 12:00,1.22,5.62
78.1,222,09429070,2018-07-03 12:15,1.20,5.59
78.4,219,09429070,2018-07-03 12:30,1.19,5.57
78.7,229,09429070,2018-07-03 12:45,1.25,5.55
78.9,172,09429070,2018-07-03 13:00,0.94,5.54
79.2,170,09429070,2018-07-03 13:15,0.93,5.53
79.4,171,09429070,2018-07-03 13:30,0.94,5.52
79.7,179,09429070,2018-07-03 13:45,1.01,5.43
79.9,169,09429070,2018-07-03 14:00,0.97,5.35
80.1,174,09429070,2018-07-03 14:15,1.01,5.29
80.3,158,09429070,2018-07-03 14:30,0.92,5.25
