GageHeight2,Flow,site_no,datetime,Precipitation,GageHeight
-0.98,0.00,09513780,2018-07-24 00:00,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 00:15,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 00:30,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 00:45,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 01:00,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 01:15,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 01:30,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 01:45,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 02:00,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 02:15,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 02:30,0.00,-1.44
-0.99,0.00,09513780,2018-07-24 02:45,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 03:00,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 03:15,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 03:30,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 03:45,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 04:00,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 04:15,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 04:30,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 04:45,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 05:00,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 05:15,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 05:30,0.00,-1.44
-0.99,0.00,09513780,2018-07-24 05:45,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 06:00,0.00,-1.44
-0.99,0.00,09513780,2018-07-24 06:15,0.00,-1.44
-0.99,0.00,09513780,2018-07-24 06:30,0.00,-1.44
-0.99,0.00,09513780,2018-07-24 06:45,0.00,-1.44
-0.99,0.00,09513780,2018-07-24 07:00,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 07:15,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 07:30,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 07:45,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 08:00,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 08:15,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 08:30,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 08:45,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 09:00,0.00,-1.44
-0.96,0.00,09513780,2018-07-24 09:15,0.00,-1.44
-0.99,0.00,09513780,2018-07-24 09:30,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 09:45,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 10:00,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 10:15,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 10:30,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 10:45,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 11:00,0.00,-1.44
-0.97,0.00,09513780,2018-07-24 11:15,0.00,-1.44
-0.97,0.00,09513780,2018-07-24 11:30,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 11:45,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 12:00,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 12:15,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 12:30,0.00,-1.44
-0.98,0.00,09513780,2018-07-24 12:45,0.00,-1.44
-0.97,0.00,09513780,2018-07-24 13:00,0.00,-1.44
