GageHeight2,Flow,site_no,datetime,Precipitation,GageHeight
6.36,0.00,09400568,2018-07-20 00:00,0.00,6.54
6.36,0.00,09400568,2018-07-20 00:15,0.00,6.53
6.36,0.00,09400568,2018-07-20 00:30,0.00,6.54
6.36,0.00,09400568,2018-07-20 00:45,0.00,6.53
6.38,0.00,09400568,2018-07-20 01:00,0.00,6.55
6.47,0.00,09400568,2018-07-20 01:15,0.00,6.63
6.56,0.00,09400568,2018-07-20 01:30,0.00,6.73
6.59,0.00,09400568,2018-07-20 01:45,0.00,6.76
6.61,0.00,09400568,2018-07-20 02:00,0.00,6.77
6.62,0.00,09400568,2018-07-20 02:15,0.00,6.77
6.62,0.00,09400568,2018-07-20 02:30,0.00,6.78
6.62,0.00,09400568,2018-07-20 02:45,0.00,6.76
6.62,0.00,09400568,2018-07-20 03:00,0.00,6.75
6.65,0.00,09400568,2018-07-20 03:15,0.00,6.75
6.63,0.00,09400568,2018-07-20 03:30,0.00,6.74
6.61,0.00,09400568,2018-07-20 03:45,0.00,6.74
6.60,0.00,09400568,2018-07-20 04:00,0.00,6.73
6.60,0.00,09400568,2018-07-20 04:15,0.00,6.72
6.66,0.00,09400568,2018-07-20 04:30,0.00,6.72
6.62,0.00,09400568,2018-07-20 04:45,0.00,6.71
6.62,0.00,09400568,2018-07-20 05:00,0.00,6.70
6.61,0.00,09400568,2018-07-20 05:15,0.00,6.70
6.59,0.00,09400568,2018-07-20 05:30,0.00,6.69
6.58,0.00,09400568,2018-07-20 05:45,0.00,6.68
6.57,0.00,09400568,2018-07-20 06:00,0.00,6.68
6.59,0.00,09400568,2018-07-20 06:15,0.00,6.66
6.54,0.00,09400568,2018-07-20 06:30,0.00,6.66
6.58,0.00,09400568,2018-07-20 06:45,0.00,6.68
6.52,0.00,09400568,2018-07-20 07:00,0.00,6.67
6.52,0.00,09400568,2018-07-20 07:15,0.00,6.65
6.56,0.00,09400568,2018-07-20 07:30,0.00,6.65
6.55,0.00,09400568,2018-07-20 07:45,0.00,6.65
6.57,0.00,09400568,2018-07-20 08:00,0.00,6.64
6.55,0.00,09400568,2018-07-20 08:15,0.00,6.65
6.54,0.00,09400568,2018-07-20 08:30,0.00,6.65
6.54,0.00,09400568,2018-07-20 08:45,0.00,6.65
6.59,0.00,09400568,2018-07-20 09:00,0.00,6.63
6.51,0.00,09400568,2018-07-20 09:15,0.00,6.65
6.55,0.00,09400568,2018-07-20 09:30,0.00,6.64
6.54,0.00,09400568,2018-07-20 09:45,0.00,6.65
6.54,0.00,09400568,2018-07-20 10:00,0.00,6.65
6.60,0.00,09400568,2018-07-20 10:15,0.00,6.65
6.75,0.00,09400568,2018-07-20 10:30,0.00,6.82
6.89,0.00,09400568,2018-07-20 10:45,0.00,7.03
6.93,0.00,09400568,2018-07-20 11:00,0.00,7.10
6.95,0.00,09400568,2018-07-20 11:15,0.00,7.14
6.93,0.00,09400568,2018-07-20 11:30,0.00,7.13
6.93,0.00,09400568,2018-07-20 11:45,0.00,7.11
6.89,0.00,09400568,2018-07-20 12:00,0.00,7.09
6.92,0.00,09400568,2018-07-20 12:15,0.00,7.11
6.89,0.00,09400568,2018-07-20 12:30,0.00,7.09
6.89,0.00,09400568,2018-07-20 12:45,0.00,7.09
6.89,0.00,09400568,2018-07-20 13:00,0.00,7.06
6.87,0.00,09400568,2018-07-20 13:15,0.00,7.04
6.84,0.00,09400568,2018-07-20 13:30,0.00,7.01
6.79,0.00,09400568,2018-07-20 13:45,0.00,6.99
6.79,0.00,09400568,2018-07-20 14:00,0.00,6.97
6.76,0.00,09400568,2018-07-20 14:15,0.00,6.95
6.75,0.00,09400568,2018-07-20 14:30,0.00,6.94
6.74,0.00,09400568,2018-07-20 14:45,0.00,6.93
6.72,0.00,09400568,2018-07-20 15:00,0.00,6.90
6.72,0.00,09400568,2018-07-20 15:15,0.00,6.89
6.70,0.00,09400568,2018-07-20 15:30,0.00,6.88
6.69,0.00,09400568,2018-07-20 15:45,0.00,6.86
6.68,0.00,09400568,2018-07-20 16:00,0.00,6.85
6.67,0.00,09400568,2018-07-20 16:15,0.00,6.82
6.66,0.00,09400568,2018-07-20 16:30,0.00,6.83
6.64,0.00,09400568,2018-07-20 16:45,0.00,6.81
6.62,0.00,09400568,2018-07-20 17:00,0.00,6.79
6.61,0.00,09400568,2018-07-20 17:15,0.00,6.77
6.60,0.00,09400568,2018-07-20 17:30,0.00,6.78
6.59,0.00,09400568,2018-07-20 17:45,0.00,6.75
6.58,0.00,09400568,2018-07-20 18:00,0.00,6.75
6.58,0.00,09400568,2018-07-20 18:15,0.00,6.74
6.57,0.00,09400568,2018-07-20 18:30,0.00,6.73
6.57,0.00,09400568,2018-07-20 18:45,0.00,6.73
6.58,0.00,09400568,2018-07-20 19:00,0.00,6.73
6.59,0.00,09400568,2018-07-20 19:15,0.00,6.75
6.64,0.00,09400568,2018-07-20 19:30,0.00,6.82
6.67,0.00,09400568,2018-07-20 19:45,0.00,6.84
6.72,0.00,09400568,2018-07-20 20:00,0.00,6.89
6.73,0.00,09400568,2018-07-20 20:15,0.00,6.89
6.72,0.00,09400568,2018-07-20 20:30,0.00,6.92
6.73,0.00,09400568,2018-07-20 20:45,0.00,6.92
6.74,0.00,09400568,2018-07-20 21:00,0.00,6.93
6.74,0.00,09400568,2018-07-20 21:15,0.00,6.92
6.74,0.00,09400568,2018-07-20 21:30,0.00,6.91
6.73,0.00,09400568,2018-07-20 21:45,0.00,6.91
6.73,0.00,09400568,2018-07-20 22:00,0.00,6.92
6.71,0.00,09400568,2018-07-20 22:15,0.00,6.90
6.69,0.00,09400568,2018-07-20 22:30,0.00,6.89
6.71,0.00,09400568,2018-07-20 22:45,0.00,6.89
6.70,0.00,09400568,2018-07-20 23:00,0.00,6.86
6.68,0.00,09400568,2018-07-20 23:15,0.00,6.86
6.66,0.00,09400568,2018-07-20 23:30,0.00,6.83
6.65,0.00,09400568,2018-07-20 23:45,0.00,6.84
