WaterVelocity,Temp,Flow,site_no,datetime,GageHeight
1.82,73.2,95.1,09423560,2018-07-25 00:00,7.58
1.82,73.0,97.3,09423560,2018-07-25 00:15,7.64
1.83,72.9,99.5,09423560,2018-07-25 00:30,7.69
1.81,72.8,99.6,09423560,2018-07-25 00:45,7.73
1.81,72.7,100,09423560,2018-07-25 01:00,7.75
1.82,72.6,102,09423560,2018-07-25 01:15,7.80
1.81,72.5,103,09423560,2018-07-25 01:30,7.82
1.81,72.4,103,09423560,2018-07-25 01:45,7.84
1.80,72.4,103,09423560,2018-07-25 02:00,7.85
1.79,72.3,103,09423560,2018-07-25 02:15,7.86
1.78,72.2,102,09423560,2018-07-25 02:30,7.85
1.80,72.1,103,09423560,2018-07-25 02:45,7.86
1.78,72.0,102,09423560,2018-07-25 03:00,7.85
1.78,71.9,102,09423560,2018-07-25 03:15,7.84
1.80,71.8,102,09423560,2018-07-25 03:30,7.82
1.77,71.8,99.8,09423560,2018-07-25 03:45,7.80
1.76,71.7,98.3,09423560,2018-07-25 04:00,7.77
1.69,71.7,94.1,09423560,2018-07-25 04:15,7.76
1.68,71.7,92.3,09423560,2018-07-25 04:30,7.72
1.72,71.7,93.2,09423560,2018-07-25 04:45,7.68
1.67,71.6,89.6,09423560,2018-07-25 05:00,7.65
1.63,71.6,86.0,09423560,2018-07-25 05:15,7.60
1.61,71.6,83.2,09423560,2018-07-25 05:30,7.54
1.58,71.6,79.4,09423560,2018-07-25 05:45,7.48
1.56,71.6,76.7,09423560,2018-07-25 06:00,7.42
1.58,71.5,75.4,09423560,2018-07-25 06:15,7.34
1.43,71.5,66.7,09423560,2018-07-25 06:30,7.28
1.44,71.5,65.3,09423560,2018-07-25 06:45,7.21
1.37,71.5,59.9,09423560,2018-07-25 07:00,7.12
1.33,71.6,56.5,09423560,2018-07-25 07:15,7.05
1.27,71.6,52.0,09423560,2018-07-25 07:30,6.96
1.21,71.6,47.9,09423560,2018-07-25 07:45,6.87
1.19,71.7,45.3,09423560,2018-07-25 08:00,6.77
1.11,71.8,40.8,09423560,2018-07-25 08:15,6.68
1.05,71.9,37.1,09423560,2018-07-25 08:30,6.59
1.02,72.0,34.5,09423560,2018-07-25 08:45,6.49
0.96,72.2,30.9,09423560,2018-07-25 09:00,6.40
0.85,72.3,26.1,09423560,2018-07-25 09:15,6.30
0.79,72.5,23.1,09423560,2018-07-25 09:30,6.21
0.72,72.7,20.1,09423560,2018-07-25 09:45,6.12
0.72,72.9,19.1,09423560,2018-07-25 10:00,6.03
0.65,73.2,16.5,09423560,2018-07-25 10:15,5.94
0.53,73.5,13.0,09423560,2018-07-25 10:30,5.87
0.46,73.9,10.8,09423560,2018-07-25 10:45,5.79
0.33,74.3,7.52,09423560,2018-07-25 11:00,5.72
0.26,75.0,5.58,09423560,2018-07-25 11:15,5.67
0.14,76.0,2.91,09423560,2018-07-25 11:30,5.62
0.10,76.6,2.06,09423560,2018-07-25 11:45,5.60
0.13,76.9,2.72,09423560,2018-07-25 12:00,5.63
0.15,77.5,3.22,09423560,2018-07-25 12:15,5.67
,77.8,3.26,09423560,2018-07-25 12:30,5.69
0.15,78.3,3.24,09423560,2018-07-25 12:45,5.68
0.16,78.7,3.39,09423560,2018-07-25 13:00,5.65
,79.6,3.26,09423560,2018-07-25 13:15,5.65
,80.6,3.11,09423560,2018-07-25 13:30,5.64
,81.3,3.01,09423560,2018-07-25 13:45,5.66
,82.0,2.91,09423560,2018-07-25 14:00,5.68
,82.2,2.75,09423560,2018-07-25 14:15,5.66
,82.3,2.64,09423560,2018-07-25 14:30,5.68
,82.5,2.49,09423560,2018-07-25 14:45,5.67
0.11,82.9,2.35,09423560,2018-07-25 15:00,5.66
,83.5,2.44,09423560,2018-07-25 15:15,5.65
0.12,83.6,2.51,09423560,2018-07-25 15:30,5.63
0.09,83.7,1.90,09423560,2018-07-25 15:45,5.64
0.08,83.7,1.69,09423560,2018-07-25 16:00,5.64
