Temp,Flow,site_no,datetime,Velocity,GageHeight
81.2,131,09429070,2018-07-13 00:00,1.27,3.60
81.1,149,09429070,2018-07-13 00:15,1.46,3.59
81.0,153,09429070,2018-07-13 00:30,1.50,3.58
80.9,151,09429070,2018-07-13 00:45,1.48,3.58
80.8,137,09429070,2018-07-13 01:00,1.34,3.59
80.8,128,09429070,2018-07-13 01:15,1.25,3.59
80.7,151,09429070,2018-07-13 01:30,1.47,3.60
80.7,166,09429070,2018-07-13 01:45,1.63,3.58
80.6,154,09429070,2018-07-13 02:00,1.53,3.56
80.6,132,09429070,2018-07-13 02:15,1.31,3.55
80.5,125,09429070,2018-07-13 02:30,1.25,3.54
80.5,132,09429070,2018-07-13 02:45,1.31,3.56
80.4,131,09429070,2018-07-13 03:00,1.29,3.57
80.4,140,09429070,2018-07-13 03:15,1.38,3.57
80.4,153,09429070,2018-07-13 03:30,1.50,3.59
80.4,149,09429070,2018-07-13 03:45,1.46,3.59
80.3,147,09429070,2018-07-13 04:00,1.43,3.60
80.3,142,09429070,2018-07-13 04:15,1.38,3.61
80.3,159,09429070,2018-07-13 04:30,1.54,3.61
80.3,161,09429070,2018-07-13 04:45,1.56,3.62
80.3,142,09429070,2018-07-13 05:00,1.38,3.61
80.3,120,09429070,2018-07-13 05:15,1.16,3.60
80.3,120,09429070,2018-07-13 05:30,1.16,3.62
80.3,128,09429070,2018-07-13 05:45,1.23,3.63
80.3,148,09429070,2018-07-13 06:00,1.40,3.66
80.3,158,09429070,2018-07-13 06:15,1.48,3.70
80.3,152,09429070,2018-07-13 06:30,1.41,3.73
80.3,138,09429070,2018-07-13 06:45,1.27,3.74
80.3,121,09429070,2018-07-13 07:00,1.11,3.75
80.4,103,09429070,2018-07-13 07:15,0.95,3.76
80.4,127,09429070,2018-07-13 07:30,1.15,3.77
80.5,156,09429070,2018-07-13 07:45,1.41,3.79
80.6,148,09429070,2018-07-13 08:00,1.33,3.82
80.7,139,09429070,2018-07-13 08:15,1.22,3.86
80.8,163,09429070,2018-07-13 08:30,1.44,3.86
81.0,145,09429070,2018-07-13 08:45,1.27,3.90
81.1,171,09429070,2018-07-13 09:00,1.47,3.94
81.3,174,09429070,2018-07-13 09:15,1.49,3.95
81.4,181,09429070,2018-07-13 09:30,1.54,3.95
81.6,187,09429070,2018-07-13 09:45,1.58,3.98
81.7,181,09429070,2018-07-13 10:00,1.55,3.96
81.8,178,09429070,2018-07-13 10:15,1.52,3.96
81.9,153,09429070,2018-07-13 10:30,1.30,3.97
82.0,140,09429070,2018-07-13 10:45,1.19,3.98
82.2,142,09429070,2018-07-13 11:00,1.20,3.96
82.3,134,09429070,2018-07-13 11:15,1.14,3.96
82.4,133,09429070,2018-07-13 11:30,1.13,3.95
82.6,140,09429070,2018-07-13 11:45,1.19,3.96
82.9,149,09429070,2018-07-13 12:00,1.27,3.96
83.1,139,09429070,2018-07-13 12:15,1.18,3.96
83.3,151,09429070,2018-07-13 12:30,1.29,3.97
83.5,168,09429070,2018-07-13 12:45,1.44,3.95
83.6,156,09429070,2018-07-13 13:00,1.33,3.95
83.9,148,09429070,2018-07-13 13:15,1.28,3.92
84.1,148,09429070,2018-07-13 13:30,1.28,3.91
84.4,153,09429070,2018-07-13 13:45,1.32,3.91
84.6,156,09429070,2018-07-13 14:00,1.35,3.92
84.9,163,09429070,2018-07-13 14:15,1.41,3.93
85.1,178,09429070,2018-07-13 14:30,1.52,3.95
85.3,162,09429070,2018-07-13 14:45,1.37,3.97
85.4,161,09429070,2018-07-13 15:00,1.37,3.97
85.6,148,09429070,2018-07-13 15:15,1.26,3.96
85.7,153,09429070,2018-07-13 15:30,1.30,3.97
85.8,158,09429070,2018-07-13 15:45,1.35,3.95
85.9,169,09429070,2018-07-13 16:00,1.45,3.93
86.0,127,09429070,2018-07-13 16:15,1.11,3.88
86.0,142,09429070,2018-07-13 16:30,1.25,3.86
86.0,149,09429070,2018-07-13 16:45,1.32,3.85
86.0,177,09429070,2018-07-13 17:00,1.58,3.84
86.0,173,09429070,2018-07-13 17:15,1.53,3.84
85.9,175,09429070,2018-07-13 17:30,1.55,3.84
85.8,144,09429070,2018-07-13 17:45,1.28,3.84
85.8,140,09429070,2018-07-13 18:00,1.25,3.83
85.8,140,09429070,2018-07-13 18:15,1.25,3.83
85.7,149,09429070,2018-07-13 18:30,1.33,3.83
85.5,153,09429070,2018-07-13 18:45,1.36,3.84
85.4,160,09429070,2018-07-13 19:00,1.40,3.88
85.3,158,09429070,2018-07-13 19:15,1.38,3.90
85.2,165,09429070,2018-07-13 19:30,1.43,3.91
85.2,153,09429070,2018-07-13 19:45,1.28,4.00
85.1,168,09429070,2018-07-13 20:00,1.38,4.06
85.0,151,09429070,2018-07-13 20:15,1.22,4.11
84.9,157,09429070,2018-07-13 20:30,1.23,4.21
84.9,156,09429070,2018-07-13 20:45,1.19,4.29
