BatteryVoltage,Flow,site_no,datetime,Precipitation,GageHeight
,5.77,09497700,2018-07-20 00:00,0.00,0.68
,5.77,09497700,2018-07-20 00:15,0.00,0.68
12.5,5.77,09497700,2018-07-20 00:30,0.00,0.68
,5.77,09497700,2018-07-20 00:45,0.00,0.68
,5.77,09497700,2018-07-20 01:00,0.00,0.68
,5.77,09497700,2018-07-20 01:15,0.00,0.68
12.5,5.77,09497700,2018-07-20 01:30,0.00,0.68
,5.77,09497700,2018-07-20 01:45,0.00,0.68
,5.77,09497700,2018-07-20 02:00,0.00,0.68
,5.77,09497700,2018-07-20 02:15,0.00,0.68
12.5,5.77,09497700,2018-07-20 02:30,0.00,0.68
,5.77,09497700,2018-07-20 02:45,0.00,0.68
,5.78,09497700,2018-07-20 03:00,0.00,0.68
,5.78,09497700,2018-07-20 03:15,0.00,0.68
12.5,5.78,09497700,2018-07-20 03:30,0.00,0.68
,5.78,09497700,2018-07-20 03:45,0.00,0.68
,5.78,09497700,2018-07-20 04:00,0.00,0.68
,5.78,09497700,2018-07-20 04:15,0.00,0.68
12.5,5.78,09497700,2018-07-20 04:30,0.00,0.68
,5.78,09497700,2018-07-20 04:45,0.00,0.68
,5.78,09497700,2018-07-20 05:00,0.00,0.68
,5.78,09497700,2018-07-20 05:15,0.00,0.68
12.5,5.78,09497700,2018-07-20 05:30,0.00,0.68
,5.78,09497700,2018-07-20 05:45,0.00,0.68
,5.78,09497700,2018-07-20 06:00,0.00,0.68
,5.78,09497700,2018-07-20 06:15,0.00,0.68
13.1,5.78,09497700,2018-07-20 06:30,0.00,0.68
,5.78,09497700,2018-07-20 06:45,0.00,0.68
,5.78,09497700,2018-07-20 07:00,0.00,0.68
,5.78,09497700,2018-07-20 07:15,0.00,0.68
13.4,5.78,09497700,2018-07-20 07:30,0.00,0.68
,5.78,09497700,2018-07-20 07:45,0.00,0.68
,5.77,09497700,2018-07-20 08:00,0.00,0.68
,5.77,09497700,2018-07-20 08:15,0.00,0.68
13.7,5.77,09497700,2018-07-20 08:30,0.00,0.68
,5.77,09497700,2018-07-20 08:45,0.00,0.68
,5.77,09497700,2018-07-20 09:00,0.00,0.68
,5.77,09497700,2018-07-20 09:15,0.00,0.68
13.4,5.77,09497700,2018-07-20 09:30,0.00,0.68
,5.77,09497700,2018-07-20 09:45,0.00,0.68
,5.77,09497700,2018-07-20 10:00,0.00,0.68
,5.77,09497700,2018-07-20 10:15,0.00,0.68
13.4,5.77,09497700,2018-07-20 10:30,0.00,0.67
,5.77,09497700,2018-07-20 10:45,0.00,0.68
,5.77,09497700,2018-07-20 11:00,0.00,0.68
,5.77,09497700,2018-07-20 11:15,0.00,0.68
13.4,5.77,09497700,2018-07-20 11:30,0.00,0.67
,5.76,09497700,2018-07-20 11:45,0.00,0.67
,5.76,09497700,2018-07-20 12:00,0.00,0.67
,5.76,09497700,2018-07-20 12:15,0.00,0.67
13.4,5.76,09497700,2018-07-20 12:30,0.00,0.68
,5.76,09497700,2018-07-20 12:45,0.00,0.67
,5.76,09497700,2018-07-20 13:00,0.00,0.67
,5.76,09497700,2018-07-20 13:15,0.00,0.67
13.1,5.76,09497700,2018-07-20 13:30,0.00,0.67
,5.76,09497700,2018-07-20 13:45,0.00,0.67
,5.76,09497700,2018-07-20 14:00,0.00,0.67
,5.76,09497700,2018-07-20 14:15,0.00,0.67
13.1,5.76,09497700,2018-07-20 14:30,0.00,0.68
,5.76,09497700,2018-07-20 14:45,0.00,0.67
,5.76,09497700,2018-07-20 15:00,0.00,0.67
,5.76,09497700,2018-07-20 15:15,0.00,0.67
13.1,5.76,09497700,2018-07-20 15:30,0.00,0.67
,5.76,09497700,2018-07-20 15:45,0.00,0.67
,5.77,09497700,2018-07-20 16:00,0.00,0.67
,5.78,09497700,2018-07-20 16:15,0.00,0.67
12.8,5.78,09497700,2018-07-20 16:30,0.00,0.67
,5.78,09497700,2018-07-20 16:45,0.00,0.67
,5.78,09497700,2018-07-20 17:00,0.00,0.67
,5.78,09497700,2018-07-20 17:15,0.00,0.67
12.8,5.78,09497700,2018-07-20 17:30,0.00,0.67
,5.78,09497700,2018-07-20 17:45,0.00,0.67
,5.78,09497700,2018-07-20 18:00,0.00,0.67
,5.78,09497700,2018-07-20 18:15,0.00,0.67
12.5,5.78,09497700,2018-07-20 18:30,0.01,0.67
,5.78,09497700,2018-07-20 18:45,0.00,0.67
,5.78,09497700,2018-07-20 19:00,0.00,0.67
,5.78,09497700,2018-07-20 19:15,0.00,0.67
12.5,5.78,09497700,2018-07-20 19:30,0.00,0.67
,5.78,09497700,2018-07-20 19:45,0.00,0.68
,5.77,09497700,2018-07-20 20:00,0.00,0.68
,5.77,09497700,2018-07-20 20:15,0.00,0.68
12.5,5.77,09497700,2018-07-20 20:30,0.00,0.68
,5.77,09497700,2018-07-20 20:45,0.00,0.68
,5.77,09497700,2018-07-20 21:00,0.00,0.68
,5.77,09497700,2018-07-20 21:15,0.00,0.68
12.5,5.77,09497700,2018-07-20 21:30,0.00,0.68
,5.77,09497700,2018-07-20 21:45,0.00,0.68
,5.77,09497700,2018-07-20 22:00,0.00,0.68
,5.77,09497700,2018-07-20 22:15,0.00,0.68
12.5,5.77,09497700,2018-07-20 22:30,0.00,0.68
,5.77,09497700,2018-07-20 22:45,0.00,0.68
,5.77,09497700,2018-07-20 23:00,0.00,0.68
,5.77,09497700,2018-07-20 23:15,0.00,0.68
12.5,5.77,09497700,2018-07-20 23:30,0.00,0.68
,5.77,09497700,2018-07-20 23:45,0.00,0.68
