Temp,Flow,site_no,datetime,Conductance,Precipitation,GageHeight
10.8,17100,09380000,2018-07-21 00:00,680,0.00,10.15
10.7,16900,09380000,2018-07-21 00:15,678,0.00,10.11
10.7,16500,09380000,2018-07-21 00:30,683,0.00,10.04
10.6,16200,09380000,2018-07-21 00:45,681,0.00,9.98
10.6,15800,09380000,2018-07-21 01:00,683,0.00,9.91
10.5,15500,09380000,2018-07-21 01:15,680,0.00,9.84
10.5,15100,09380000,2018-07-21 01:30,683,0.00,9.77
10.5,14600,09380000,2018-07-21 01:45,682,0.00,9.68
10.4,14300,09380000,2018-07-21 02:00,681,0.00,9.61
10.4,14000,09380000,2018-07-21 02:15,688,0.00,9.54
10.4,13700,09380000,2018-07-21 02:30,684,0.00,9.49
10.3,13400,09380000,2018-07-21 02:45,684,0.00,9.43
10.3,13200,09380000,2018-07-21 03:00,685,0.00,9.38
10.3,12900,09380000,2018-07-21 03:15,689,0.00,9.32
10.3,12800,09380000,2018-07-21 03:30,690,0.00,9.29
10.2,12600,09380000,2018-07-21 03:45,690,0.00,9.25
10.2,12400,09380000,2018-07-21 04:00,689,0.00,9.21
10.2,12200,09380000,2018-07-21 04:15,689,0.00,9.17
10.2,12100,09380000,2018-07-21 04:30,688,0.00,9.15
10.2,12000,09380000,2018-07-21 04:45,688,0.00,9.13
10.2,12000,09380000,2018-07-21 05:00,688,0.00,9.11
10.2,11900,09380000,2018-07-21 05:15,688,0.00,9.09
10.2,11800,09380000,2018-07-21 05:30,688,0.00,9.08
10.2,11700,09380000,2018-07-21 05:45,681,0.00,9.05
10.2,11700,09380000,2018-07-21 06:00,689,0.00,9.05
10.2,11600,09380000,2018-07-21 06:15,690,0.00,9.04
10.2,11600,09380000,2018-07-21 06:30,687,0.00,9.03
10.2,11600,09380000,2018-07-21 06:45,686,0.00,9.02
10.2,11500,09380000,2018-07-21 07:00,686,0.00,9.01
10.2,11500,09380000,2018-07-21 07:15,686,0.00,9.00
10.3,11500,09380000,2018-07-21 07:30,686,0.00,9.01
10.3,11500,09380000,2018-07-21 07:45,685,0.00,9.00
10.4,11500,09380000,2018-07-21 08:00,684,0.00,9.00
10.4,11500,09380000,2018-07-21 08:15,684,0.00,9.00
10.4,11500,09380000,2018-07-21 08:30,682,0.00,9.00
10.5,11500,09380000,2018-07-21 08:45,681,0.00,9.00
10.5,11400,09380000,2018-07-21 09:00,684,0.00,8.99
10.6,11400,09380000,2018-07-21 09:15,685,0.00,8.98
10.6,11400,09380000,2018-07-21 09:30,680,0.00,8.99
10.7,11400,09380000,2018-07-21 09:45,680,0.00,8.99
10.8,11400,09380000,2018-07-21 10:00,678,0.00,8.99
10.8,11400,09380000,2018-07-21 10:15,674,0.00,8.98
10.9,11400,09380000,2018-07-21 10:30,674,0.00,8.98
11.0,11400,09380000,2018-07-21 10:45,677,0.00,8.98
11.0,11400,09380000,2018-07-21 11:00,676,0.00,8.98
11.1,11300,09380000,2018-07-21 11:15,676,0.00,8.97
