WaterVelocity,Temp,Flow,site_no,datetime,GageHeight
1.65,71.5,80.7,09423560,2018-06-28 00:00,7.39
1.70,71.4,84.4,09423560,2018-06-28 00:15,7.43
1.69,71.4,84.5,09423560,2018-06-28 00:30,7.45
1.72,71.3,87.2,09423560,2018-06-28 00:45,7.49
1.71,71.2,87.7,09423560,2018-06-28 01:00,7.52
1.72,71.2,88.8,09423560,2018-06-28 01:15,7.54
1.76,71.1,91.8,09423560,2018-06-28 01:30,7.57
1.71,71.0,89.9,09423560,2018-06-28 01:45,7.59
1.76,70.9,92.8,09423560,2018-06-28 02:00,7.60
1.72,70.7,91.4,09423560,2018-06-28 02:15,7.62
1.73,70.6,92.5,09423560,2018-06-28 02:30,7.64
1.76,70.5,94.4,09423560,2018-06-28 02:45,7.65
1.69,70.3,90.7,09423560,2018-06-28 03:00,7.65
1.73,70.2,93.5,09423560,2018-06-28 03:15,7.67
1.71,70.0,92.1,09423560,2018-06-28 03:30,7.66
1.76,69.9,94.4,09423560,2018-06-28 03:45,7.65
1.67,69.8,89.4,09423560,2018-06-28 04:00,7.64
1.67,69.6,89.1,09423560,2018-06-28 04:15,7.63
1.66,69.5,88.2,09423560,2018-06-28 04:30,7.62
1.65,69.4,86.5,09423560,2018-06-28 04:45,7.58
1.61,69.2,83.8,09423560,2018-06-28 05:00,7.56
1.55,69.1,79.1,09423560,2018-06-28 05:15,7.52
1.54,69.0,77.5,09423560,2018-06-28 05:30,7.48
1.53,68.9,75.9,09423560,2018-06-28 05:45,7.44
1.48,68.8,72.3,09423560,2018-06-28 06:00,7.40
1.48,68.7,70.4,09423560,2018-06-28 06:15,7.33
1.44,68.6,67.2,09423560,2018-06-28 06:30,7.28
1.38,68.5,62.7,09423560,2018-06-28 06:45,7.21
1.29,68.5,57.0,09423560,2018-06-28 07:00,7.14
1.31,68.5,55.9,09423560,2018-06-28 07:15,7.06
1.20,68.5,49.8,09423560,2018-06-28 07:30,6.99
1.17,68.5,47.1,09423560,2018-06-28 07:45,6.91
1.08,68.6,42.0,09423560,2018-06-28 08:00,6.82
1.01,68.6,38.1,09423560,2018-06-28 08:15,6.74
