Temp,Flow,site_no,datetime,Precipitation,GageHeight
84.5,0.00,09424900,2018-07-23 00:00,0.00,0.02
83.7,0.00,09424900,2018-07-23 00:15,0.00,0.02
82.8,0.00,09424900,2018-07-23 00:30,0.00,0.02
83.5,0.00,09424900,2018-07-23 00:45,0.00,0.02
83.3,0.00,09424900,2018-07-23 01:00,0.00,0.02
82.1,0.00,09424900,2018-07-23 01:15,0.00,0.02
81.6,0.00,09424900,2018-07-23 01:30,0.00,0.02
82.0,0.00,09424900,2018-07-23 01:45,0.00,0.02
82.0,0.00,09424900,2018-07-23 02:00,0.00,0.02
80.9,0.00,09424900,2018-07-23 02:15,0.00,0.02
81.0,0.00,09424900,2018-07-23 02:30,0.00,0.02
81.3,0.00,09424900,2018-07-23 02:45,0.00,0.02
81.5,0.00,09424900,2018-07-23 03:00,0.00,0.02
79.8,0.00,09424900,2018-07-23 03:15,0.00,0.02
80.6,0.00,09424900,2018-07-23 03:30,0.00,0.02
80.3,0.00,09424900,2018-07-23 03:45,0.00,0.02
78.9,0.00,09424900,2018-07-23 04:00,0.00,0.01
80.2,0.00,09424900,2018-07-23 04:15,0.00,0.01
80.4,0.00,09424900,2018-07-23 04:30,0.00,0.01
78.8,0.00,09424900,2018-07-23 04:45,0.00,0.01
78.4,0.00,09424900,2018-07-23 05:00,0.00,0.01
79.1,0.00,09424900,2018-07-23 05:15,0.00,0.01
77.4,0.00,09424900,2018-07-23 05:30,0.00,0.01
77.2,0.00,09424900,2018-07-23 05:45,0.00,0.01
76.7,0.00,09424900,2018-07-23 06:00,0.00,0.01
76.6,0.00,09424900,2018-07-23 06:15,0.00,0.01
79.9,0.00,09424900,2018-07-23 06:30,0.00,0.01
82.6,0.00,09424900,2018-07-23 06:45,0.00,0.02
86.6,0.00,09424900,2018-07-23 07:00,0.00,0.02
85.1,0.00,09424900,2018-07-23 07:15,0.00,0.02
85.0,0.00,09424900,2018-07-23 07:30,0.00,0.02
87.3,0.00,09424900,2018-07-23 07:45,0.00,0.02
90.2,0.00,09424900,2018-07-23 08:00,0.00,0.02
93.8,0.00,09424900,2018-07-23 08:15,0.00,0.02
93.6,0.00,09424900,2018-07-23 08:30,0.00,0.02
95.7,0.00,09424900,2018-07-23 08:45,0.00,0.02
98.1,0.00,09424900,2018-07-23 09:00,0.00,0.02
100.9,0.00,09424900,2018-07-23 09:15,0.00,0.02
98.1,0.00,09424900,2018-07-23 09:30,0.00,0.02
98.9,0.00,09424900,2018-07-23 09:45,0.00,0.02
99.7,0.00,09424900,2018-07-23 10:00,0.00,0.02
101.7,0.00,09424900,2018-07-23 10:15,0.00,0.02
102.3,0.00,09424900,2018-07-23 10:30,0.00,0.02
103.4,0.00,09424900,2018-07-23 10:45,0.00,0.02
103.7,0.00,09424900,2018-07-23 11:00,0.00,0.02
105.5,0.00,09424900,2018-07-23 11:15,0.00,0.02
106.0,0.00,09424900,2018-07-23 11:30,0.00,0.02
107.4,0.00,09424900,2018-07-23 11:45,0.00,0.02
106.5,0.00,09424900,2018-07-23 12:00,0.00,0.02
107.6,0.00,09424900,2018-07-23 12:15,0.00,0.02
110.5,0.00,09424900,2018-07-23 12:30,0.00,0.02
109.7,0.00,09424900,2018-07-23 12:45,0.00,0.02
