Temp,Flow,site_no,datetime,Velocity,GageHeight
81.3,129,09429070,2018-07-10 00:00,0.72,5.46
81.2,125,09429070,2018-07-10 00:15,0.68,5.56
81.1,127,09429070,2018-07-10 00:30,0.68,5.64
81.0,125,09429070,2018-07-10 00:45,0.66,5.70
81.0,121,09429070,2018-07-10 01:00,0.63,5.74
80.8,124,09429070,2018-07-10 01:15,0.65,5.76
80.8,121,09429070,2018-07-10 01:30,0.62,5.87
80.7,123,09429070,2018-07-10 01:45,0.62,5.95
80.6,128,09429070,2018-07-10 02:00,0.63,6.01
80.6,119,09429070,2018-07-10 02:15,0.58,6.05
80.5,121,09429070,2018-07-10 02:30,0.59,6.07
80.4,125,09429070,2018-07-10 02:45,0.61,6.10
80.4,122,09429070,2018-07-10 03:00,0.59,6.12
80.3,129,09429070,2018-07-10 03:15,0.62,6.13
80.3,129,09429070,2018-07-10 03:30,0.62,6.15
80.2,130,09429070,2018-07-10 03:45,0.63,6.16
80.1,122,09429070,2018-07-10 04:00,0.59,6.18
80.1,132,09429070,2018-07-10 04:15,0.63,6.18
80.0,126,09429070,2018-07-10 04:30,0.60,6.20
80.0,124,09429070,2018-07-10 04:45,0.59,6.21
79.9,118,09429070,2018-07-10 05:00,0.55,6.30
79.8,116,09429070,2018-07-10 05:15,0.53,6.37
79.8,122,09429070,2018-07-10 05:30,0.56,6.40
79.8,129,09429070,2018-07-10 05:45,0.60,6.34
79.8,133,09429070,2018-07-10 06:00,0.62,6.29
79.7,127,09429070,2018-07-10 06:15,0.60,6.25
79.7,136,09429070,2018-07-10 06:30,0.64,6.24
79.7,121,09429070,2018-07-10 06:45,0.57,6.31
79.7,130,09429070,2018-07-10 07:00,0.60,6.36
79.7,136,09429070,2018-07-10 07:15,0.63,6.38
79.7,138,09429070,2018-07-10 07:30,0.63,6.40
79.7,120,09429070,2018-07-10 07:45,0.55,6.41
79.7,128,09429070,2018-07-10 08:00,0.58,6.41
79.7,126,09429070,2018-07-10 08:15,0.57,6.43
79.7,140,09429070,2018-07-10 08:30,0.66,6.30
79.8,134,09429070,2018-07-10 08:45,0.63,6.24
79.8,123,09429070,2018-07-10 09:00,0.59,6.20
79.8,122,09429070,2018-07-10 09:15,0.59,6.18
79.9,137,09429070,2018-07-10 09:30,0.66,6.14
79.9,131,09429070,2018-07-10 09:45,0.63,6.13
79.9,128,09429070,2018-07-10 10:00,0.62,6.11
79.9,138,09429070,2018-07-10 10:15,0.67,6.12
79.9,124,09429070,2018-07-10 10:30,0.60,6.12
80.0,137,09429070,2018-07-10 10:45,0.66,6.13
80.2,138,09429070,2018-07-10 11:00,0.69,5.98
80.3,149,09429070,2018-07-10 11:15,0.75,5.91
80.5,137,09429070,2018-07-10 11:30,0.70,5.87
80.6,130,09429070,2018-07-10 11:45,0.66,5.85
80.7,136,09429070,2018-07-10 12:00,0.70,5.82
81.0,145,09429070,2018-07-10 12:15,0.78,5.64
81.2,138,09429070,2018-07-10 12:30,0.76,5.54
81.5,133,09429070,2018-07-10 12:45,0.74,5.49
81.8,143,09429070,2018-07-10 13:00,0.80,5.43
82.0,143,09429070,2018-07-10 13:15,0.81,5.40
82.2,135,09429070,2018-07-10 13:30,0.78,5.33
82.4,144,09429070,2018-07-10 13:45,0.86,5.19
82.5,142,09429070,2018-07-10 14:00,0.86,5.11
82.6,139,09429070,2018-07-10 14:15,0.85,5.06
82.7,139,09429070,2018-07-10 14:30,0.87,5.01
83.0,145,09429070,2018-07-10 14:45,0.93,4.89
83.2,143,09429070,2018-07-10 15:00,0.93,4.84
83.4,137,09429070,2018-07-10 15:15,0.91,4.77
83.5,134,09429070,2018-07-10 15:30,0.93,4.61
83.6,141,09429070,2018-07-10 15:45,1.01,4.51
83.6,133,09429070,2018-07-10 16:00,0.97,4.45
83.6,125,09429070,2018-07-10 16:15,0.92,4.40
83.7,138,09429070,2018-07-10 16:30,1.03,4.36
83.7,128,09429070,2018-07-10 16:45,0.97,4.32
83.7,127,09429070,2018-07-10 17:00,0.97,4.30
83.7,121,09429070,2018-07-10 17:15,0.93,4.28
83.7,123,09429070,2018-07-10 17:30,0.95,4.26
83.6,113,09429070,2018-07-10 17:45,0.88,4.24
83.6,117,09429070,2018-07-10 18:00,0.91,4.22
