GageHeight2,Flow,site_no,datetime,Precipitation,GageHeight
1.52,92.1,09497500,2018-07-09 00:00,0.00,1.51
1.52,94.9,09497500,2018-07-09 00:15,0.00,1.52
1.53,94.9,09497500,2018-07-09 00:30,0.00,1.52
1.53,94.9,09497500,2018-07-09 00:45,0.00,1.52
1.53,94.9,09497500,2018-07-09 01:00,0.00,1.52
1.53,94.9,09497500,2018-07-09 01:15,0.00,1.52
1.53,94.9,09497500,2018-07-09 01:30,0.00,1.52
1.57,109,09497500,2018-07-09 01:45,0.00,1.57
1.74,163,09497500,2018-07-09 02:00,0.00,1.74
1.86,200,09497500,2018-07-09 02:15,0.00,1.85
1.88,204,09497500,2018-07-09 02:30,0.00,1.86
1.87,204,09497500,2018-07-09 02:45,0.00,1.86
1.86,204,09497500,2018-07-09 03:00,0.00,1.86
1.85,197,09497500,2018-07-09 03:15,0.00,1.84
1.84,193,09497500,2018-07-09 03:30,0.00,1.83
1.83,190,09497500,2018-07-09 03:45,0.00,1.82
1.82,187,09497500,2018-07-09 04:00,0.00,1.81
1.80,180,09497500,2018-07-09 04:15,0.00,1.79
1.79,176,09497500,2018-07-09 04:30,0.00,1.78
1.77,173,09497500,2018-07-09 04:45,0.00,1.77
1.76,170,09497500,2018-07-09 05:00,0.00,1.76
1.76,163,09497500,2018-07-09 05:15,0.00,1.74
1.74,160,09497500,2018-07-09 05:30,0.00,1.73
1.72,156,09497500,2018-07-09 05:45,0.00,1.72
1.71,150,09497500,2018-07-09 06:00,0.00,1.70
1.70,147,09497500,2018-07-09 06:15,0.00,1.69
1.69,143,09497500,2018-07-09 06:30,0.00,1.68
1.68,140,09497500,2018-07-09 06:45,0.00,1.67
1.67,137,09497500,2018-07-09 07:00,0.00,1.66
1.66,134,09497500,2018-07-09 07:15,0.00,1.65
1.65,131,09497500,2018-07-09 07:30,0.00,1.64
1.64,128,09497500,2018-07-09 07:45,0.00,1.63
1.64,128,09497500,2018-07-09 08:00,0.00,1.63
1.63,125,09497500,2018-07-09 08:15,0.00,1.62
1.62,121,09497500,2018-07-09 08:30,0.00,1.61
1.62,121,09497500,2018-07-09 08:45,0.00,1.61
1.61,118,09497500,2018-07-09 09:00,0.00,1.60
1.60,118,09497500,2018-07-09 09:15,0.00,1.60
1.60,115,09497500,2018-07-09 09:30,0.00,1.59
1.58,109,09497500,2018-07-09 10:30,0.00,1.57
1.58,109,09497500,2018-07-09 10:45,0.00,1.57
1.57,106,09497500,2018-07-09 11:00,0.00,1.56
1.57,106,09497500,2018-07-09 11:15,0.00,1.56
1.56,104,09497500,2018-07-09 11:30,0.00,1.55
1.56,101,09497500,2018-07-09 11:45,0.00,1.54
1.55,101,09497500,2018-07-09 12:00,0.00,1.54
1.54,101,09497500,2018-07-09 12:15,0.00,1.54
1.54,101,09497500,2018-07-09 12:30,0.00,1.54
1.53,97.8,09497500,2018-07-09 12:45,0.00,1.53
1.52,97.8,09497500,2018-07-09 13:00,0.00,1.53
1.53,94.9,09497500,2018-07-09 13:15,0.00,1.52
1.51,94.9,09497500,2018-07-09 13:30,0.00,1.52
1.52,94.9,09497500,2018-07-09 13:45,0.05,1.52
1.51,92.1,09497500,2018-07-09 14:00,0.00,1.51
1.52,92.1,09497500,2018-07-09 14:15,0.00,1.51
1.51,92.1,09497500,2018-07-09 14:30,0.00,1.51
1.51,89.2,09497500,2018-07-09 14:45,0.00,1.50
1.51,89.2,09497500,2018-07-09 15:00,0.00,1.50
1.51,89.2,09497500,2018-07-09 15:15,0.01,1.50
1.50,89.2,09497500,2018-07-09 15:30,0.00,1.50
1.50,89.2,09497500,2018-07-09 15:45,0.00,1.50
1.50,86.4,09497500,2018-07-09 16:00,0.00,1.49
1.50,86.4,09497500,2018-07-09 16:15,0.00,1.49
1.50,86.4,09497500,2018-07-09 16:30,0.00,1.49
1.49,86.4,09497500,2018-07-09 16:45,0.00,1.49
1.49,86.4,09497500,2018-07-09 17:00,0.00,1.49
1.49,86.4,09497500,2018-07-09 17:15,0.00,1.49
1.49,83.7,09497500,2018-07-09 17:30,0.00,1.48
1.49,83.7,09497500,2018-07-09 17:45,0.00,1.48
1.49,83.7,09497500,2018-07-09 18:00,0.00,1.48
1.48,83.7,09497500,2018-07-09 18:15,0.00,1.48
1.48,83.7,09497500,2018-07-09 18:30,0.00,1.48
1.48,83.7,09497500,2018-07-09 18:45,0.00,1.48
1.48,83.7,09497500,2018-07-09 19:00,0.00,1.48
1.48,83.7,09497500,2018-07-09 19:15,0.00,1.48
1.48,83.7,09497500,2018-07-09 19:30,0.00,1.48
1.48,80.9,09497500,2018-07-09 19:45,0.00,1.47
1.47,80.9,09497500,2018-07-09 20:00,0.00,1.47
1.47,80.9,09497500,2018-07-09 20:15,0.00,1.47
1.47,80.9,09497500,2018-07-09 20:30,0.00,1.47
1.47,80.9,09497500,2018-07-09 20:45,0.00,1.47
1.46,80.9,09497500,2018-07-09 21:00,0.00,1.47
1.47,80.9,09497500,2018-07-09 21:15,0.00,1.47
1.47,78.2,09497500,2018-07-09 21:30,0.00,1.46
1.47,78.2,09497500,2018-07-09 21:45,0.00,1.46
1.46,78.2,09497500,2018-07-09 22:00,0.00,1.46
1.46,78.2,09497500,2018-07-09 22:15,0.00,1.46
1.46,78.2,09497500,2018-07-09 22:30,0.00,1.46
1.47,78.2,09497500,2018-07-09 22:45,0.00,1.46
1.46,78.2,09497500,2018-07-09 23:00,0.00,1.46
1.47,78.2,09497500,2018-07-09 23:15,0.00,1.46
1.46,78.2,09497500,2018-07-09 23:30,0.00,1.46
1.46,78.2,09497500,2018-07-09 23:45,0.00,1.46
