Temp,Flow,site_no,datetime,Conductance,Precipitation,GageHeight
11.4,11400,09380000,2018-07-02 00:00,654,0.00,8.97
11.4,11400,09380000,2018-07-02 00:15,658,0.00,8.97
11.3,11400,09380000,2018-07-02 00:30,653,0.00,8.99
11.3,11400,09380000,2018-07-02 00:45,654,0.00,8.97
11.3,11400,09380000,2018-07-02 01:00,656,0.00,8.99
11.2,11400,09380000,2018-07-02 01:15,659,0.00,8.99
11.2,11400,09380000,2018-07-02 01:30,654,0.00,8.97
11.1,11400,09380000,2018-07-02 01:45,655,0.00,8.98
11.1,11400,09380000,2018-07-02 02:00,655,0.00,8.97
11.0,11300,09380000,2018-07-02 02:15,656,0.00,8.95
11.0,11200,09380000,2018-07-02 02:30,656,0.00,8.93
10.9,11200,09380000,2018-07-02 02:45,657,0.00,8.93
10.8,11100,09380000,2018-07-02 03:00,654,0.00,8.92
10.8,11100,09380000,2018-07-02 03:15,661,0.00,8.90
10.8,11000,09380000,2018-07-02 03:30,659,0.00,8.89
10.7,11000,09380000,2018-07-02 03:45,666,0.00,8.89
10.6,11000,09380000,2018-07-02 04:00,663,0.00,8.88
10.6,10900,09380000,2018-07-02 04:15,662,0.00,8.87
10.6,10900,09380000,2018-07-02 04:30,661,0.00,8.85
10.5,10800,09380000,2018-07-02 04:45,669,0.00,8.84
10.5,10800,09380000,2018-07-02 05:00,659,0.00,8.84
10.4,10700,09380000,2018-07-02 05:15,661,0.00,8.81
10.4,10700,09380000,2018-07-02 05:30,662,0.00,8.81
10.4,10700,09380000,2018-07-02 05:45,662,0.00,8.81
10.3,10700,09380000,2018-07-02 06:00,662,0.00,8.81
10.3,10600,09380000,2018-07-02 06:15,664,0.00,8.80
10.3,10600,09380000,2018-07-02 06:30,662,0.00,8.80
10.2,10600,09380000,2018-07-02 06:45,662,0.00,8.80
10.2,10600,09380000,2018-07-02 07:00,659,0.00,8.80
10.2,10600,09380000,2018-07-02 07:15,659,0.00,8.80
10.2,10600,09380000,2018-07-02 07:30,658,0.00,8.80
10.2,10700,09380000,2018-07-02 07:45,657,0.00,8.82
10.3,10900,09380000,2018-07-02 08:00,658,0.00,8.85
10.3,11000,09380000,2018-07-02 08:15,659,0.00,8.88
10.3,11200,09380000,2018-07-02 08:30,658,0.00,8.93
10.4,11500,09380000,2018-07-02 08:45,658,0.00,9.00
10.4,11800,09380000,2018-07-02 09:00,658,0.00,9.06
10.4,12200,09380000,2018-07-02 09:15,660,0.00,9.16
10.4,12600,09380000,2018-07-02 09:30,660,0.00,9.25
10.4,13100,09380000,2018-07-02 09:45,660,0.00,9.35
10.5,13500,09380000,2018-07-02 10:00,659,0.00,9.45
10.6,14100,09380000,2018-07-02 10:15,658,0.00,9.57
10.6,14700,09380000,2018-07-02 10:30,654,0.00,9.68
10.6,15200,09380000,2018-07-02 10:45,660,0.00,9.78
10.7,15600,09380000,2018-07-02 11:00,660,0.00,9.87
10.7,16000,09380000,2018-07-02 11:15,658,0.00,9.93
10.8,16400,09380000,2018-07-02 11:30,656,0.00,10.01
10.9,16700,09380000,2018-07-02 11:45,659,0.00,10.06
10.9,17000,09380000,2018-07-02 12:00,661,0.00,10.12
11.0,17300,09380000,2018-07-02 12:15,662,0.00,10.17
11.0,17500,09380000,2018-07-02 12:30,664,0.00,10.21
11.1,17700,09380000,2018-07-02 12:45,666,0.00,10.24
11.1,17800,09380000,2018-07-02 13:00,667,0.00,10.27
11.2,17900,09380000,2018-07-02 13:15,667,0.00,10.29
11.2,18100,09380000,2018-07-02 13:30,667,0.00,10.32
11.3,18200,09380000,2018-07-02 13:45,667,0.00,10.33
11.3,18300,09380000,2018-07-02 14:00,667,0.00,10.36
11.4,18300,09380000,2018-07-02 14:15,669,0.00,10.36
11.4,18200,09380000,2018-07-02 14:30,670,0.00,10.33
11.4,18500,09380000,2018-07-02 14:45,670,0.00,10.38
11.4,18500,09380000,2018-07-02 15:00,669,0.00,10.39
11.3,18600,09380000,2018-07-02 15:15,672,0.00,10.40
11.4,18500,09380000,2018-07-02 15:30,672,0.00,10.39
11.3,18600,09380000,2018-07-02 15:45,673,0.00,10.40
11.3,18600,09380000,2018-07-02 16:00,675,0.00,10.41
11.3,18700,09380000,2018-07-02 16:15,674,0.00,10.42
11.3,18800,09380000,2018-07-02 16:30,675,0.00,10.44
11.3,18700,09380000,2018-07-02 16:45,673,0.00,10.42
11.4,18700,09380000,2018-07-02 17:00,669,0.00,10.43
11.4,18800,09380000,2018-07-02 17:15,676,0.00,10.44
11.4,18700,09380000,2018-07-02 17:30,678,0.00,10.43
11.4,18700,09380000,2018-07-02 17:45,678,0.00,10.42
11.4,18800,09380000,2018-07-02 18:00,678,0.00,10.44
11.4,18800,09380000,2018-07-02 18:15,674,0.00,10.44
11.4,18800,09380000,2018-07-02 18:30,674,0.00,10.44
11.4,18700,09380000,2018-07-02 18:45,674,0.00,10.43
11.4,18900,09380000,2018-07-02 19:00,672,0.00,10.45
11.3,18900,09380000,2018-07-02 19:15,673,0.00,10.45
11.3,18900,09380000,2018-07-02 19:30,670,0.00,10.45
11.3,18900,09380000,2018-07-02 19:45,666,0.00,10.45
11.3,18900,09380000,2018-07-02 20:00,668,0.00,10.45
11.2,18700,09380000,2018-07-02 20:15,665,0.00,10.43
11.2,18900,09380000,2018-07-02 20:30,671,0.00,10.46
11.2,18800,09380000,2018-07-02 20:45,668,0.00,10.44
11.2,18800,09380000,2018-07-02 21:00,672,0.00,10.44
11.1,18800,09380000,2018-07-02 21:15,672,0.00,10.44
11.1,18900,09380000,2018-07-02 21:30,670,0.00,10.46
11.0,18900,09380000,2018-07-02 21:45,672,0.00,10.45
11.0,18900,09380000,2018-07-02 22:00,672,0.00,10.45
10.9,18900,09380000,2018-07-02 22:15,673,0.00,10.45
10.9,18700,09380000,2018-07-02 22:30,669,0.00,10.43
10.8,18600,09380000,2018-07-02 22:45,674,0.00,10.41
10.8,18500,09380000,2018-07-02 23:00,674,0.00,10.39
10.7,18300,09380000,2018-07-02 23:15,673,0.00,10.36
10.7,18100,09380000,2018-07-02 23:30,672,0.00,10.32
10.7,18000,09380000,2018-07-02 23:45,675,0.00,10.30
