BatteryVoltage,Flow,site_no,datetime,Precipitation,GageHeight
,0.00,09400815,2018-06-30 00:00,0.00,-0.01
12.6,,09400815,2018-06-30 00:07,,
,0.00,09400815,2018-06-30 00:15,0.00,-0.01
,0.00,09400815,2018-06-30 00:30,0.00,-0.01
,0.00,09400815,2018-06-30 00:45,0.00,-0.01
,0.00,09400815,2018-06-30 01:00,0.00,-0.01
12.5,,09400815,2018-06-30 01:07,,
,0.00,09400815,2018-06-30 01:15,0.00,-0.01
,0.00,09400815,2018-06-30 01:30,0.00,-0.01
,0.00,09400815,2018-06-30 01:45,0.00,-0.01
,0.00,09400815,2018-06-30 02:00,0.00,-0.01
12.5,,09400815,2018-06-30 02:07,,
,0.00,09400815,2018-06-30 02:15,0.00,-0.01
,0.00,09400815,2018-06-30 02:30,0.00,-0.01
,0.00,09400815,2018-06-30 02:45,0.00,-0.01
,0.00,09400815,2018-06-30 03:00,0.00,-0.01
12.5,,09400815,2018-06-30 03:07,,
,0.00,09400815,2018-06-30 03:15,0.00,-0.01
,0.00,09400815,2018-06-30 03:30,0.00,-0.01
,0.00,09400815,2018-06-30 03:45,0.00,-0.01
,0.00,09400815,2018-06-30 04:00,0.00,-0.01
12.5,,09400815,2018-06-30 04:07,,
,0.00,09400815,2018-06-30 04:15,0.00,-0.01
,0.00,09400815,2018-06-30 04:30,0.00,-0.01
,0.00,09400815,2018-06-30 04:45,0.00,-0.01
,0.00,09400815,2018-06-30 05:00,0.00,-0.01
12.5,,09400815,2018-06-30 05:07,,
,0.00,09400815,2018-06-30 05:15,0.00,-0.01
,0.00,09400815,2018-06-30 05:30,0.00,-0.01
,0.00,09400815,2018-06-30 05:45,0.00,-0.01
,0.00,09400815,2018-06-30 06:00,0.00,-0.01
12.4,,09400815,2018-06-30 06:07,,
,0.00,09400815,2018-06-30 06:15,0.00,-0.01
,0.00,09400815,2018-06-30 06:30,0.00,-0.01
,0.00,09400815,2018-06-30 06:45,0.00,-0.01
,0.00,09400815,2018-06-30 07:00,0.00,-0.01
12.4,,09400815,2018-06-30 07:07,,
,0.00,09400815,2018-06-30 07:15,0.00,-0.01
,0.00,09400815,2018-06-30 07:30,0.00,-0.01
,0.00,09400815,2018-06-30 07:45,0.00,-0.01
,0.00,09400815,2018-06-30 08:00,0.00,-0.01
12.5,,09400815,2018-06-30 08:07,,
,0.00,09400815,2018-06-30 08:15,0.00,-0.01
,0.00,09400815,2018-06-30 08:30,0.00,-0.01
,0.00,09400815,2018-06-30 08:45,0.00,-0.01
,0.00,09400815,2018-06-30 09:00,0.00,-0.01
12.5,,09400815,2018-06-30 09:07,,
,0.00,09400815,2018-06-30 09:15,0.00,-0.01
,0.00,09400815,2018-06-30 09:30,0.00,-0.01
,0.00,09400815,2018-06-30 09:45,0.00,-0.01
,0.00,09400815,2018-06-30 10:00,0.00,-0.01
13.4,,09400815,2018-06-30 10:07,,
,0.00,09400815,2018-06-30 10:15,0.00,-0.01
,0.00,09400815,2018-06-30 10:30,0.00,-0.01
,0.00,09400815,2018-06-30 10:45,0.00,-0.01
,0.00,09400815,2018-06-30 11:00,0.00,-0.01
12.9,,09400815,2018-06-30 11:07,,
,0.00,09400815,2018-06-30 11:15,0.00,-0.01
,0.00,09400815,2018-06-30 11:30,0.00,-0.01
,0.00,09400815,2018-06-30 11:45,0.00,-0.01
,0.00,09400815,2018-06-30 12:00,0.00,-0.01
13.0,,09400815,2018-06-30 12:07,,
,0.00,09400815,2018-06-30 12:15,0.00,-0.01
,0.00,09400815,2018-06-30 12:30,0.00,-0.01
,0.00,09400815,2018-06-30 12:45,0.00,-0.01
,0.00,09400815,2018-06-30 13:00,0.00,-0.01
12.9,,09400815,2018-06-30 13:07,,
,0.00,09400815,2018-06-30 13:15,0.00,-0.01
,0.00,09400815,2018-06-30 13:30,0.00,-0.01
,0.00,09400815,2018-06-30 13:45,0.00,-0.01
,0.00,09400815,2018-06-30 14:00,0.00,-0.01
13.8,,09400815,2018-06-30 14:07,,
,0.00,09400815,2018-06-30 14:15,0.00,-0.01
,0.00,09400815,2018-06-30 14:30,0.00,-0.01
,0.00,09400815,2018-06-30 14:45,0.00,-0.01
,0.00,09400815,2018-06-30 15:00,0.00,-0.01
13.6,,09400815,2018-06-30 15:07,,
,0.00,09400815,2018-06-30 15:15,0.00,-0.01
,0.00,09400815,2018-06-30 15:30,0.00,-0.01
,0.00,09400815,2018-06-30 15:45,0.00,-0.01
,0.00,09400815,2018-06-30 16:00,0.00,-0.01
13.5,,09400815,2018-06-30 16:07,,
,0.00,09400815,2018-06-30 16:15,0.00,-0.01
,0.00,09400815,2018-06-30 16:30,0.00,-0.01
,0.00,09400815,2018-06-30 16:45,0.00,-0.01
,0.00,09400815,2018-06-30 17:00,0.00,-0.01
13.4,,09400815,2018-06-30 17:07,,
,0.00,09400815,2018-06-30 17:15,0.00,-0.01
,0.00,09400815,2018-06-30 17:30,0.00,-0.01
,0.00,09400815,2018-06-30 17:45,0.00,-0.01
,0.00,09400815,2018-06-30 18:00,0.00,-0.01
13.2,,09400815,2018-06-30 18:07,,
,0.00,09400815,2018-06-30 18:15,0.00,-0.01
,0.00,09400815,2018-06-30 18:30,0.00,-0.01
,0.00,09400815,2018-06-30 18:45,0.00,-0.01
,0.00,09400815,2018-06-30 19:00,0.00,-0.01
13.0,,09400815,2018-06-30 19:07,,
,0.00,09400815,2018-06-30 19:15,0.00,-0.01
,0.00,09400815,2018-06-30 19:30,0.00,-0.01
,0.00,09400815,2018-06-30 19:45,0.00,-0.01
,0.00,09400815,2018-06-30 20:00,0.00,-0.01
12.8,,09400815,2018-06-30 20:07,,
,0.00,09400815,2018-06-30 20:15,0.00,-0.01
,0.00,09400815,2018-06-30 20:30,0.00,-0.01
,0.00,09400815,2018-06-30 20:45,0.00,-0.01
,0.00,09400815,2018-06-30 21:00,0.00,-0.01
12.8,,09400815,2018-06-30 21:07,,
,0.00,09400815,2018-06-30 21:15,0.00,-0.01
,0.00,09400815,2018-06-30 21:30,0.00,-0.01
,0.00,09400815,2018-06-30 21:45,0.00,-0.01
,0.00,09400815,2018-06-30 22:00,0.00,-0.01
12.7,,09400815,2018-06-30 22:07,,
,0.00,09400815,2018-06-30 22:15,0.00,-0.01
,0.00,09400815,2018-06-30 22:30,0.00,-0.01
,0.00,09400815,2018-06-30 22:45,0.00,-0.01
,0.00,09400815,2018-06-30 23:00,0.00,-0.01
12.6,,09400815,2018-06-30 23:07,,
,0.00,09400815,2018-06-30 23:15,0.00,-0.01
,0.00,09400815,2018-06-30 23:30,0.00,-0.01
,0.00,09400815,2018-06-30 23:45,0.00,-0.01
