WaterVelocity,Temp,Flow,site_no,datetime,GageHeight
1.74,71.7,93.7,09423560,2018-06-27 00:00,7.66
1.74,71.6,94.3,09423560,2018-06-27 00:15,7.68
1.75,71.6,95.2,09423560,2018-06-27 00:30,7.69
1.77,71.5,96.6,09423560,2018-06-27 00:45,7.70
1.73,71.4,94.4,09423560,2018-06-27 01:00,7.70
1.69,71.3,92.3,09423560,2018-06-27 01:15,7.70
1.69,71.2,92.3,09423560,2018-06-27 01:30,7.70
1.70,71.1,92.5,09423560,2018-06-27 01:45,7.69
1.65,71.0,89.5,09423560,2018-06-27 02:00,7.68
1.66,70.9,89.7,09423560,2018-06-27 02:15,7.67
1.66,70.7,89.1,09423560,2018-06-27 02:30,7.65
1.66,70.6,88.5,09423560,2018-06-27 02:45,7.63
1.62,70.5,85.5,09423560,2018-06-27 03:00,7.60
1.58,70.3,82.1,09423560,2018-06-27 03:15,7.57
1.57,70.2,80.7,09423560,2018-06-27 03:30,7.54
1.58,70.1,79.7,09423560,2018-06-27 03:45,7.49
1.54,70.0,76.9,09423560,2018-06-27 04:00,7.46
1.51,69.8,74.0,09423560,2018-06-27 04:15,7.41
1.48,69.7,71.2,09423560,2018-06-27 04:30,7.36
1.46,69.6,68.9,09423560,2018-06-27 04:45,7.31
1.45,69.5,67.1,09423560,2018-06-27 05:00,7.26
1.39,69.4,62.8,09423560,2018-06-27 05:15,7.20
1.32,69.2,58.0,09423560,2018-06-27 05:30,7.13
1.33,69.1,57.0,09423560,2018-06-27 05:45,7.07
1.23,69.0,51.2,09423560,2018-06-27 06:00,7.00
1.19,68.9,48.2,09423560,2018-06-27 06:15,6.93
1.13,68.8,44.5,09423560,2018-06-27 06:30,6.85
1.08,68.8,41.2,09423560,2018-06-27 06:45,6.77
0.99,68.8,36.4,09423560,2018-06-27 07:00,6.68
0.98,68.8,35.0,09423560,2018-06-27 07:15,6.61
0.91,68.8,31.1,09423560,2018-06-27 07:30,6.53
0.92,68.9,30.3,09423560,2018-06-27 07:45,6.45
0.82,69.0,25.9,09423560,2018-06-27 08:00,6.36
0.75,69.1,22.8,09423560,2018-06-27 08:15,6.28
0.69,69.3,20.2,09423560,2018-06-27 08:30,6.20
0.61,69.5,17.1,09423560,2018-06-27 08:45,6.12
0.57,69.8,15.4,09423560,2018-06-27 09:00,6.05
0.50,70.2,13.0,09423560,2018-06-27 09:15,5.98
0.27,70.8,6.67,09423560,2018-06-27 09:30,5.92
0.18,71.7,4.33,09423560,2018-06-27 09:45,5.87
,72.6,4.33,09423560,2018-06-27 10:00,5.87
0.18,73.1,4.38,09423560,2018-06-27 10:15,5.89
,73.4,4.64,09423560,2018-06-27 10:30,5.95
0.19,73.8,4.84,09423560,2018-06-27 10:45,5.98
0.08,74.6,2.02,09423560,2018-06-27 11:00,5.96
0.22,75.1,5.55,09423560,2018-06-27 11:15,5.96
,75.3,5.22,09423560,2018-06-27 11:30,5.93
,75.9,4.94,09423560,2018-06-27 11:45,5.92
0.19,76.3,4.72,09423560,2018-06-27 12:00,5.93
0.08,76.7,2.03,09423560,2018-06-27 12:15,5.97
,77.1,3.00,09423560,2018-06-27 12:30,6.02
0.15,77.6,3.84,09423560,2018-06-27 12:45,5.99
,78.0,3.61,09423560,2018-06-27 13:00,6.00
0.13,78.5,3.26,09423560,2018-06-27 13:15,5.95
0.11,78.7,2.72,09423560,2018-06-27 13:30,5.92
,79.0,3.50,09423560,2018-06-27 13:45,5.94
,79.4,4.25,09423560,2018-06-27 14:00,5.94
0.20,79.7,5.10,09423560,2018-06-27 14:15,5.98
0.10,80.1,2.58,09423560,2018-06-27 14:30,6.00
0.13,80.4,3.33,09423560,2018-06-27 14:45,5.99
0.16,80.7,4.02,09423560,2018-06-27 15:00,5.95
,81.0,3.59,09423560,2018-06-27 15:15,5.90
,81.1,3.30,09423560,2018-06-27 15:30,5.92
0.12,81.3,2.98,09423560,2018-06-27 15:45,5.93
0.24,81.5,5.96,09423560,2018-06-27 16:00,5.93
0.11,81.6,2.78,09423560,2018-06-27 16:15,5.96
0.16,81.8,4.00,09423560,2018-06-27 16:30,5.94
0.07,81.8,1.74,09423560,2018-06-27 16:45,5.93
0.17,81.9,4.18,09423560,2018-06-27 17:00,5.91
0.09,82.0,2.20,09423560,2018-06-27 17:15,5.90
,81.9,2.35,09423560,2018-06-27 17:30,5.92
0.10,81.9,2.45,09423560,2018-06-27 17:45,5.90
,81.8,3.21,09423560,2018-06-27 18:00,5.92
0.16,81.6,4.04,09423560,2018-06-27 18:15,5.96
0.31,78.1,8.08,09423560,2018-06-27 18:30,6.02
0.58,74.4,16.2,09423560,2018-06-27 18:45,6.11
0.66,72.8,19.1,09423560,2018-06-27 19:00,6.18
0.79,72.1,23.6,09423560,2018-06-27 19:15,6.25
0.93,71.7,28.6,09423560,2018-06-27 19:30,6.31
1.03,71.5,33.3,09423560,2018-06-27 19:45,6.39
1.14,71.3,38.0,09423560,2018-06-27 20:00,6.46
1.27,71.2,43.6,09423560,2018-06-27 20:15,6.53
1.26,71.1,44.6,09423560,2018-06-27 20:30,6.60
1.34,71.1,49.1,09423560,2018-06-27 20:45,6.68
1.37,71.2,51.6,09423560,2018-06-27 21:00,6.75
1.43,71.2,55.4,09423560,2018-06-27 21:15,6.82
1.49,71.3,59.3,09423560,2018-06-27 21:30,6.89
1.47,71.3,59.9,09423560,2018-06-27 21:45,6.95
1.60,71.4,67.0,09423560,2018-06-27 22:00,7.01
1.57,71.4,67.4,09423560,2018-06-27 22:15,7.08
1.61,71.4,70.7,09423560,2018-06-27 22:30,7.12
1.61,71.5,71.9,09423560,2018-06-27 22:45,7.16
1.62,71.5,74.5,09423560,2018-06-27 23:00,7.23
1.65,71.5,77.0,09423560,2018-06-27 23:15,7.27
1.65,71.5,78.3,09423560,2018-06-27 23:30,7.31
1.67,71.5,80.4,09423560,2018-06-27 23:45,7.35
