Temp,Flow,site_no,datetime,Precipitation,GageHeight
87.8,0.00,09424900,2018-07-19 00:00,0.00,0.02
87.7,0.00,09424900,2018-07-19 00:15,0.00,0.02
87.2,0.00,09424900,2018-07-19 00:30,0.00,0.02
87.1,0.00,09424900,2018-07-19 00:45,0.00,0.02
86.3,0.00,09424900,2018-07-19 01:00,0.00,0.02
86.6,0.00,09424900,2018-07-19 01:15,0.00,0.02
85.9,0.00,09424900,2018-07-19 01:30,0.00,0.02
85.4,0.00,09424900,2018-07-19 01:45,0.00,0.02
85.0,0.00,09424900,2018-07-19 02:00,0.00,0.02
85.7,0.00,09424900,2018-07-19 02:15,0.00,0.02
84.8,0.00,09424900,2018-07-19 02:30,0.00,0.02
84.6,0.00,09424900,2018-07-19 02:45,0.00,0.02
84.6,0.00,09424900,2018-07-19 03:00,0.00,0.02
85.4,0.00,09424900,2018-07-19 03:15,0.00,0.02
84.5,0.00,09424900,2018-07-19 03:30,0.00,0.02
84.0,0.00,09424900,2018-07-19 03:45,0.00,0.02
83.6,0.00,09424900,2018-07-19 04:00,0.00,0.02
83.6,0.00,09424900,2018-07-19 04:15,0.00,0.02
83.4,0.00,09424900,2018-07-19 04:30,0.00,0.02
83.0,0.00,09424900,2018-07-19 04:45,0.00,0.02
82.4,0.00,09424900,2018-07-19 05:00,0.00,0.02
81.0,0.00,09424900,2018-07-19 05:15,0.00,0.02
80.9,0.00,09424900,2018-07-19 05:30,0.00,0.02
80.8,0.00,09424900,2018-07-19 05:45,0.00,0.02
81.1,0.00,09424900,2018-07-19 06:00,0.00,0.02
81.6,0.00,09424900,2018-07-19 06:15,0.00,0.02
83.9,0.00,09424900,2018-07-19 06:30,0.00,0.02
86.5,0.00,09424900,2018-07-19 06:45,0.00,0.02
89.9,0.00,09424900,2018-07-19 07:00,0.00,0.02
89.4,0.00,09424900,2018-07-19 07:15,0.00,0.02
88.8,0.00,09424900,2018-07-19 07:30,0.00,0.02
88.3,0.00,09424900,2018-07-19 07:45,0.00,0.02
88.8,0.00,09424900,2018-07-19 08:00,0.00,0.02
89.9,0.00,09424900,2018-07-19 08:15,0.00,0.02
90.5,0.00,09424900,2018-07-19 08:30,0.00,0.02
91.0,0.00,09424900,2018-07-19 08:45,0.00,0.02
91.4,0.00,09424900,2018-07-19 09:00,0.00,0.02
93.0,0.00,09424900,2018-07-19 09:15,0.00,0.02
91.8,0.00,09424900,2018-07-19 09:30,0.00,0.02
93.6,0.00,09424900,2018-07-19 09:45,0.00,0.02
93.0,0.00,09424900,2018-07-19 10:00,0.00,0.02
94.9,0.00,09424900,2018-07-19 10:15,0.00,0.02
94.8,0.00,09424900,2018-07-19 10:30,0.00,0.02
94.5,0.00,09424900,2018-07-19 10:45,0.00,0.02
95.7,0.00,09424900,2018-07-19 11:00,0.00,0.02
96.5,0.00,09424900,2018-07-19 11:15,0.00,0.02
96.4,0.00,09424900,2018-07-19 11:30,0.00,0.02
96.1,0.00,09424900,2018-07-19 11:45,0.00,0.02
97.3,0.00,09424900,2018-07-19 12:00,0.00,0.02
97.5,0.00,09424900,2018-07-19 12:15,0.00,0.02
98.2,0.00,09424900,2018-07-19 12:30,0.00,0.02
97.5,0.00,09424900,2018-07-19 12:45,0.00,0.02
99.0,0.00,09424900,2018-07-19 13:00,0.00,0.02
101.1,0.00,09424900,2018-07-19 13:15,0.00,0.02
99.9,0.00,09424900,2018-07-19 13:30,0.00,0.02
99.9,0.00,09424900,2018-07-19 13:45,0.00,0.02
101.7,0.00,09424900,2018-07-19 14:00,0.00,0.02
102.4,0.00,09424900,2018-07-19 14:15,0.00,0.02
100.8,0.00,09424900,2018-07-19 14:30,0.00,0.02
101.3,0.00,09424900,2018-07-19 14:45,0.00,0.02
101.9,0.00,09424900,2018-07-19 15:00,0.00,0.02
102.5,0.00,09424900,2018-07-19 15:15,0.00,0.02
102.6,0.00,09424900,2018-07-19 15:30,0.00,0.02
102.6,0.00,09424900,2018-07-19 15:45,0.00,0.02
104.1,0.00,09424900,2018-07-19 16:00,0.00,0.02
102.6,0.00,09424900,2018-07-19 16:15,0.00,0.02
103.4,0.00,09424900,2018-07-19 16:30,0.00,0.02
103.8,0.00,09424900,2018-07-19 16:45,0.00,0.02
102.8,0.00,09424900,2018-07-19 17:00,0.00,0.02
102.9,0.00,09424900,2018-07-19 17:15,0.00,0.02
103.5,0.00,09424900,2018-07-19 17:30,0.00,0.02
102.6,0.00,09424900,2018-07-19 17:45,0.00,0.02
102.4,0.00,09424900,2018-07-19 18:00,0.00,0.02
102.0,0.00,09424900,2018-07-19 18:15,0.00,0.02
101.0,0.00,09424900,2018-07-19 18:30,0.00,0.02
101.2,0.00,09424900,2018-07-19 18:45,0.00,0.02
100.4,0.00,09424900,2018-07-19 19:00,0.00,0.02
99.6,0.00,09424900,2018-07-19 19:15,0.00,0.02
98.9,0.00,09424900,2018-07-19 19:30,0.00,0.02
98.2,0.00,09424900,2018-07-19 19:45,0.00,0.02
97.8,0.00,09424900,2018-07-19 20:00,0.00,0.02
97.6,0.00,09424900,2018-07-19 20:15,0.00,0.02
96.7,0.00,09424900,2018-07-19 20:30,0.00,0.02
96.2,0.00,09424900,2018-07-19 20:45,0.00,0.02
96.5,0.00,09424900,2018-07-19 21:00,0.00,0.02
96.5,0.00,09424900,2018-07-19 21:15,0.00,0.02
95.5,0.00,09424900,2018-07-19 21:30,0.00,0.02
94.2,0.00,09424900,2018-07-19 21:45,0.00,0.02
93.9,0.00,09424900,2018-07-19 22:00,0.00,0.02
93.1,0.00,09424900,2018-07-19 22:15,0.00,0.02
91.8,0.00,09424900,2018-07-19 22:30,0.00,0.02
90.3,0.00,09424900,2018-07-19 22:45,0.00,0.02
88.5,0.00,09424900,2018-07-19 23:00,0.00,0.02
90.9,0.00,09424900,2018-07-19 23:15,0.00,0.02
91.5,0.00,09424900,2018-07-19 23:30,0.00,0.02
91.3,0.00,09424900,2018-07-19 23:45,0.00,0.02
