Temp,Flow,site_no,datetime,Velocity,GageHeight
82.9,136,09429070,2018-07-27 00:00,1.09,4.13
82.8,136,09429070,2018-07-27 00:15,1.08,4.17
82.7,140,09429070,2018-07-27 00:30,1.11,4.19
82.6,144,09429070,2018-07-27 00:45,1.12,4.22
82.5,138,09429070,2018-07-27 01:00,1.05,4.31
82.4,143,09429070,2018-07-27 01:15,1.06,4.38
82.3,147,09429070,2018-07-27 01:30,1.08,4.42
82.1,144,09429070,2018-07-27 01:45,1.04,4.45
82.0,135,09429070,2018-07-27 02:00,0.95,4.55
81.9,143,09429070,2018-07-27 02:15,0.98,4.64
81.8,152,09429070,2018-07-27 02:30,1.03,4.69
81.7,157,09429070,2018-07-27 02:45,1.05,4.73
81.6,156,09429070,2018-07-27 03:00,1.04,4.76
81.5,157,09429070,2018-07-27 03:15,1.04,4.79
81.4,157,09429070,2018-07-27 03:30,1.00,4.91
81.3,154,09429070,2018-07-27 03:45,0.96,4.99
81.2,150,09429070,2018-07-27 04:00,0.93,5.04
81.1,147,09429070,2018-07-27 04:15,0.90,5.08
81.0,152,09429070,2018-07-27 04:30,0.92,5.10
81.0,147,09429070,2018-07-27 04:45,0.89,5.13
80.9,148,09429070,2018-07-27 05:00,0.89,5.14
80.9,152,09429070,2018-07-27 05:15,0.91,5.15
80.8,149,09429070,2018-07-27 05:30,0.89,5.17
80.7,150,09429070,2018-07-27 05:45,0.90,5.18
80.6,152,09429070,2018-07-27 06:00,0.90,5.19
80.6,147,09429070,2018-07-27 06:15,0.87,5.20
80.5,145,09429070,2018-07-27 06:30,0.86,5.21
80.5,143,09429070,2018-07-27 06:45,0.85,5.21
80.4,146,09429070,2018-07-27 07:00,0.86,5.22
80.4,154,09429070,2018-07-27 07:15,0.90,5.24
80.4,144,09429070,2018-07-27 07:30,0.85,5.24
80.4,149,09429070,2018-07-27 07:45,0.87,5.24
80.4,149,09429070,2018-07-27 08:00,0.87,5.26
80.4,154,09429070,2018-07-27 08:15,0.90,5.26
80.5,145,09429070,2018-07-27 08:30,0.85,5.26
80.5,150,09429070,2018-07-27 08:45,0.88,5.25
80.6,150,09429070,2018-07-27 09:00,0.89,5.20
80.6,155,09429070,2018-07-27 09:15,0.94,5.12
80.7,150,09429070,2018-07-27 09:30,0.92,5.06
80.8,155,09429070,2018-07-27 09:45,0.96,5.03
81.0,150,09429070,2018-07-27 10:00,0.94,4.99
81.1,156,09429070,2018-07-27 10:15,0.98,4.98
81.2,149,09429070,2018-07-27 10:30,0.94,4.96
81.4,151,09429070,2018-07-27 10:45,0.96,4.93
81.6,155,09429070,2018-07-27 11:00,0.99,4.92
81.7,152,09429070,2018-07-27 11:15,0.97,4.90
81.9,147,09429070,2018-07-27 11:30,0.94,4.89
82.1,147,09429070,2018-07-27 11:45,0.98,4.75
82.2,152,09429070,2018-07-27 12:00,1.04,4.67
82.4,151,09429070,2018-07-27 12:15,1.05,4.62
82.6,149,09429070,2018-07-27 12:30,1.04,4.59
82.8,147,09429070,2018-07-27 12:45,1.04,4.56
83.0,143,09429070,2018-07-27 13:00,1.01,4.54
83.2,142,09429070,2018-07-27 13:15,1.01,4.52
83.4,145,09429070,2018-07-27 13:30,1.04,4.51
83.6,142,09429070,2018-07-27 13:45,1.06,4.38
83.8,150,09429070,2018-07-27 14:00,1.13,4.32
84.0,149,09429070,2018-07-27 14:15,1.14,4.28
84.2,149,09429070,2018-07-27 14:30,1.14,4.27
84.3,136,09429070,2018-07-27 14:45,1.05,4.24
84.5,149,09429070,2018-07-27 15:00,1.16,4.22
84.6,143,09429070,2018-07-27 15:15,1.15,4.12
84.7,145,09429070,2018-07-27 15:30,1.19,4.07
