Temp,Flow,site_no,datetime,Conductance,Precipitation,GageHeight
11.7,11400,09380000,2018-07-23 00:00,664,0.00,8.99
11.6,11400,09380000,2018-07-23 00:15,662,0.00,8.99
11.6,11400,09380000,2018-07-23 00:30,663,0.00,8.99
11.5,11400,09380000,2018-07-23 00:45,664,0.00,8.98
11.5,11500,09380000,2018-07-23 01:00,663,0.00,9.00
11.4,11400,09380000,2018-07-23 01:15,664,0.00,8.99
11.4,11400,09380000,2018-07-23 01:30,666,0.00,8.99
11.3,11400,09380000,2018-07-23 01:45,664,0.00,8.99
11.2,11400,09380000,2018-07-23 02:00,664,0.00,8.99
11.2,11500,09380000,2018-07-23 02:15,662,0.00,9.00
11.1,11400,09380000,2018-07-23 02:30,662,0.00,8.99
11.1,11500,09380000,2018-07-23 02:45,664,0.00,9.00
11.0,11400,09380000,2018-07-23 03:00,671,0.00,8.98
11.0,11300,09380000,2018-07-23 03:15,661,0.00,8.96
11.0,11300,09380000,2018-07-23 03:30,660,0.00,8.96
10.9,11200,09380000,2018-07-23 03:45,670,0.00,8.94
10.9,11100,09380000,2018-07-23 04:00,667,0.00,8.92
10.9,11100,09380000,2018-07-23 04:15,672,0.00,8.91
10.8,11000,09380000,2018-07-23 04:30,670,0.00,8.89
10.8,11000,09380000,2018-07-23 04:45,670,0.00,8.88
10.8,10900,09380000,2018-07-23 05:00,668,0.00,8.86
10.7,10900,09380000,2018-07-23 05:15,662,0.00,8.86
10.7,10800,09380000,2018-07-23 05:30,668,0.00,8.85
10.7,10800,09380000,2018-07-23 05:45,663,0.00,8.84
10.7,10700,09380000,2018-07-23 06:00,667,0.00,8.83
10.7,10700,09380000,2018-07-23 06:15,665,0.00,8.83
10.7,10700,09380000,2018-07-23 06:30,665,0.00,8.81
10.7,10700,09380000,2018-07-23 06:45,665,0.00,8.82
10.7,10700,09380000,2018-07-23 07:00,664,0.00,8.82
10.7,10700,09380000,2018-07-23 07:15,664,0.00,8.81
10.7,10700,09380000,2018-07-23 07:30,663,0.00,8.83
10.8,10800,09380000,2018-07-23 07:45,662,0.00,8.85
10.8,11000,09380000,2018-07-23 08:00,662,0.00,8.88
10.8,11100,09380000,2018-07-23 08:15,661,0.00,8.92
10.9,11300,09380000,2018-07-23 08:30,660,0.00,8.95
10.9,11400,09380000,2018-07-23 08:45,660,0.00,8.99
11.0,11700,09380000,2018-07-23 09:00,657,0.00,9.06
11.0,12000,09380000,2018-07-23 09:15,656,0.00,9.13
11.0,12300,09380000,2018-07-23 09:30,658,0.00,9.19
11.1,12700,09380000,2018-07-23 09:45,658,0.00,9.28
11.1,13200,09380000,2018-07-23 10:00,658,0.00,9.38
11.2,13700,09380000,2018-07-23 10:15,659,0.00,9.49
11.2,14200,09380000,2018-07-23 10:30,659,0.00,9.58
11.2,14700,09380000,2018-07-23 10:45,659,0.00,9.69
11.3,15200,09380000,2018-07-23 11:00,659,0.00,9.79
