GageHeight2,Flow,site_no,datetime,Precipitation,GageHeight
7.16,0.00,09400568,2018-07-17 00:00,0.00,7.38
7.12,0.00,09400568,2018-07-17 00:15,0.00,7.37
7.11,0.00,09400568,2018-07-17 00:30,0.00,7.32
7.10,0.00,09400568,2018-07-17 00:45,0.00,7.33
7.11,0.00,09400568,2018-07-17 01:00,0.00,7.34
7.11,0.00,09400568,2018-07-17 01:15,0.00,7.34
7.09,0.00,09400568,2018-07-17 01:30,0.00,7.35
7.08,0.00,09400568,2018-07-17 01:45,0.00,7.31
7.08,0.00,09400568,2018-07-17 02:00,0.02,7.33
7.10,0.00,09400568,2018-07-17 02:15,0.07,7.35
7.13,0.00,09400568,2018-07-17 02:30,0.00,7.39
7.22,0.00,09400568,2018-07-17 02:45,0.01,7.47
7.34,0.06,09400568,2018-07-17 03:00,0.01,7.58
7.40,2.59,09400568,2018-07-17 03:15,0.01,7.63
7.44,8.74,09400568,2018-07-17 03:30,0.01,7.67
7.42,5.08,09400568,2018-07-17 03:45,0.00,7.65
7.43,8.74,09400568,2018-07-17 04:00,0.00,7.67
7.43,5.08,09400568,2018-07-17 04:15,0.00,7.65
7.43,8.74,09400568,2018-07-17 04:30,0.00,7.67
7.41,5.08,09400568,2018-07-17 04:45,0.00,7.65
7.36,1.61,09400568,2018-07-17 05:00,0.00,7.62
7.36,0.17,09400568,2018-07-17 05:15,0.00,7.59
7.32,0.00,09400568,2018-07-17 05:30,0.00,7.55
7.29,0.00,09400568,2018-07-17 05:45,0.00,7.54
7.27,0.00,09400568,2018-07-17 06:00,0.00,7.53
7.25,0.00,09400568,2018-07-17 06:15,0.00,7.52
7.22,0.00,09400568,2018-07-17 06:30,0.00,7.47
7.20,0.00,09400568,2018-07-17 06:45,0.00,7.46
7.21,0.00,09400568,2018-07-17 07:00,0.00,7.42
7.18,0.00,09400568,2018-07-17 07:15,0.00,7.40
7.17,0.00,09400568,2018-07-17 07:30,0.00,7.41
7.15,0.00,09400568,2018-07-17 07:45,0.00,7.40
7.14,0.00,09400568,2018-07-17 08:00,0.00,7.41
7.14,0.00,09400568,2018-07-17 08:15,0.00,7.39
7.12,0.00,09400568,2018-07-17 08:30,0.00,7.36
7.11,0.00,09400568,2018-07-17 08:45,0.00,7.35
7.10,0.00,09400568,2018-07-17 09:00,0.00,7.31
7.06,0.00,09400568,2018-07-17 09:15,0.00,7.33
7.04,0.00,09400568,2018-07-17 09:30,0.00,7.30
