BatteryVoltage,Flow,site_no,datetime,Precipitation,GageHeight
,0.00,09400815,2018-07-15 00:00,0.00,0.33
12.6,,09400815,2018-07-15 00:07,,
,0.00,09400815,2018-07-15 00:15,0.00,0.33
,0.00,09400815,2018-07-15 00:30,0.00,0.33
,0.00,09400815,2018-07-15 00:45,0.00,0.33
,0.00,09400815,2018-07-15 01:00,0.00,0.33
12.6,,09400815,2018-07-15 01:07,,
,0.00,09400815,2018-07-15 01:15,0.00,0.33
,0.00,09400815,2018-07-15 01:30,0.00,0.33
,0.00,09400815,2018-07-15 01:45,0.00,0.33
,0.00,09400815,2018-07-15 02:00,0.00,0.33
12.5,,09400815,2018-07-15 02:07,,
,0.00,09400815,2018-07-15 02:15,0.00,0.33
,0.00,09400815,2018-07-15 02:30,0.00,0.33
,0.00,09400815,2018-07-15 02:45,0.00,0.33
,0.00,09400815,2018-07-15 03:00,0.00,0.33
12.5,,09400815,2018-07-15 03:07,,
,0.00,09400815,2018-07-15 03:15,0.00,0.33
,0.00,09400815,2018-07-15 03:30,0.00,0.33
,0.00,09400815,2018-07-15 03:45,0.00,0.33
,0.00,09400815,2018-07-15 04:00,0.00,0.33
12.5,,09400815,2018-07-15 04:07,,
,0.00,09400815,2018-07-15 04:15,0.00,0.33
,0.00,09400815,2018-07-15 04:30,0.00,0.33
,0.00,09400815,2018-07-15 04:45,0.00,0.33
,0.00,09400815,2018-07-15 05:00,0.00,0.33
12.5,,09400815,2018-07-15 05:07,,
,0.00,09400815,2018-07-15 05:15,0.00,0.33
,0.00,09400815,2018-07-15 05:30,0.00,0.33
,0.00,09400815,2018-07-15 05:45,0.00,0.33
,0.00,09400815,2018-07-15 06:00,0.00,0.33
12.5,,09400815,2018-07-15 06:07,,
,0.00,09400815,2018-07-15 06:15,0.00,0.33
,0.00,09400815,2018-07-15 06:30,0.00,0.33
,0.00,09400815,2018-07-15 06:45,0.00,0.33
,0.00,09400815,2018-07-15 07:00,0.00,0.33
12.5,,09400815,2018-07-15 07:07,,
,0.00,09400815,2018-07-15 07:15,0.00,0.33
,0.00,09400815,2018-07-15 07:30,0.00,0.33
,0.00,09400815,2018-07-15 07:45,0.00,0.33
,0.00,09400815,2018-07-15 08:00,0.00,0.33
12.5,,09400815,2018-07-15 08:07,,
,0.00,09400815,2018-07-15 08:15,0.00,0.33
,0.00,09400815,2018-07-15 08:30,0.00,0.33
,0.00,09400815,2018-07-15 08:45,0.00,0.33
,0.00,09400815,2018-07-15 09:00,0.00,0.33
12.8,,09400815,2018-07-15 09:07,,
,0.00,09400815,2018-07-15 09:15,0.00,0.33
,0.00,09400815,2018-07-15 09:30,0.00,0.33
,0.00,09400815,2018-07-15 09:45,0.00,0.33
,0.00,09400815,2018-07-15 10:00,0.00,0.32
13.3,,09400815,2018-07-15 10:07,,
,0.00,09400815,2018-07-15 10:15,0.00,0.33
,0.00,09400815,2018-07-15 10:30,0.00,0.33
,0.00,09400815,2018-07-15 10:45,0.00,0.32
,0.00,09400815,2018-07-15 11:00,0.00,0.33
13.0,,09400815,2018-07-15 11:07,,
,0.00,09400815,2018-07-15 11:15,0.00,0.32
,0.00,09400815,2018-07-15 11:30,0.00,0.32
,0.00,09400815,2018-07-15 11:45,0.00,0.32
,0.00,09400815,2018-07-15 12:00,0.04,0.33
13.2,,09400815,2018-07-15 12:07,,
,0.00,09400815,2018-07-15 12:15,0.17,0.41
,0.17,09400815,2018-07-15 12:30,0.16,0.50
,0.22,09400815,2018-07-15 12:45,0.12,0.52
,0.31,09400815,2018-07-15 13:00,0.19,0.56
12.4,,09400815,2018-07-15 13:07,,
,0.34,09400815,2018-07-15 13:15,0.19,0.57
,0.27,09400815,2018-07-15 13:30,0.06,0.54
,0.29,09400815,2018-07-15 13:45,0.12,0.55
,0.22,09400815,2018-07-15 14:00,0.02,0.52
12.3,,09400815,2018-07-15 14:07,,
,0.19,09400815,2018-07-15 14:15,0.01,0.51
,0.17,09400815,2018-07-15 14:30,0.00,0.50
,0.14,09400815,2018-07-15 14:45,0.00,0.49
,0.12,09400815,2018-07-15 15:00,0.00,0.48
12.6,,09400815,2018-07-15 15:07,,
,0.10,09400815,2018-07-15 15:15,0.00,0.47
,0.10,09400815,2018-07-15 15:30,0.00,0.47
,0.10,09400815,2018-07-15 15:45,0.00,0.47
,0.07,09400815,2018-07-15 16:00,0.00,0.46
13.0,,09400815,2018-07-15 16:07,,
,0.07,09400815,2018-07-15 16:15,0.00,0.46
,0.07,09400815,2018-07-15 16:30,0.00,0.46
,0.07,09400815,2018-07-15 16:45,0.00,0.46
,0.05,09400815,2018-07-15 17:00,0.00,0.45
13.3,,09400815,2018-07-15 17:07,,
,0.05,09400815,2018-07-15 17:15,0.00,0.45
,0.05,09400815,2018-07-15 17:30,0.00,0.45
,0.05,09400815,2018-07-15 17:45,0.00,0.45
,0.05,09400815,2018-07-15 18:00,0.00,0.45
13.2,,09400815,2018-07-15 18:07,,
,0.05,09400815,2018-07-15 18:15,0.00,0.45
,0.05,09400815,2018-07-15 18:30,0.00,0.45
,0.02,09400815,2018-07-15 18:45,0.00,0.44
,0.02,09400815,2018-07-15 19:00,0.00,0.44
13.0,,09400815,2018-07-15 19:07,,
,0.02,09400815,2018-07-15 19:15,0.00,0.44
,0.02,09400815,2018-07-15 19:30,0.00,0.44
,0.02,09400815,2018-07-15 19:45,0.00,0.44
,0.02,09400815,2018-07-15 20:00,0.00,0.44
12.7,,09400815,2018-07-15 20:07,,
,0.02,09400815,2018-07-15 20:15,0.00,0.44
,0.02,09400815,2018-07-15 20:30,0.00,0.44
,0.02,09400815,2018-07-15 20:45,0.00,0.44
,0.02,09400815,2018-07-15 21:00,0.00,0.44
12.6,,09400815,2018-07-15 21:07,,
,0.02,09400815,2018-07-15 21:15,0.00,0.44
,0.02,09400815,2018-07-15 21:30,0.00,0.44
,0.02,09400815,2018-07-15 21:45,0.00,0.44
,0.02,09400815,2018-07-15 22:00,0.00,0.44
12.6,,09400815,2018-07-15 22:07,,
,0.02,09400815,2018-07-15 22:15,0.00,0.44
,0.02,09400815,2018-07-15 22:30,0.00,0.44
,0.02,09400815,2018-07-15 22:45,0.00,0.44
,0.02,09400815,2018-07-15 23:00,0.00,0.44
12.6,,09400815,2018-07-15 23:07,,
,0.02,09400815,2018-07-15 23:15,0.00,0.44
,0.02,09400815,2018-07-15 23:30,0.00,0.44
,0.02,09400815,2018-07-15 23:45,0.00,0.44
