WaterVelocity,Temp,Flow,site_no,datetime,GageHeight
1.66,72.8,79.7,09423560,2018-07-06 00:00,7.34
1.72,72.7,84.7,09423560,2018-07-06 00:15,7.41
1.69,72.7,85.1,09423560,2018-07-06 00:30,7.47
1.74,72.6,90.2,09423560,2018-07-06 00:45,7.55
1.82,72.5,95.8,09423560,2018-07-06 01:00,7.59
1.81,72.4,96.5,09423560,2018-07-06 01:15,7.64
1.82,72.2,98.3,09423560,2018-07-06 01:30,7.68
1.81,72.0,98.7,09423560,2018-07-06 01:45,7.70
1.82,71.8,101,09423560,2018-07-06 02:00,7.75
1.82,71.6,102,09423560,2018-07-06 02:15,7.77
1.83,71.4,102,09423560,2018-07-06 02:30,7.77
1.82,71.2,102,09423560,2018-07-06 02:45,7.80
1.81,71.1,101,09423560,2018-07-06 03:00,7.79
1.78,70.9,100,09423560,2018-07-06 03:15,7.80
1.75,70.8,98.8,09423560,2018-07-06 03:30,7.80
1.77,70.7,99.9,09423560,2018-07-06 03:45,7.80
1.71,70.6,95.9,09423560,2018-07-06 04:00,7.78
1.78,70.5,99.1,09423560,2018-07-06 04:15,7.76
1.74,70.4,96.3,09423560,2018-07-06 04:30,7.74
1.71,70.3,93.7,09423560,2018-07-06 04:45,7.71
1.67,70.2,90.6,09423560,2018-07-06 05:00,7.68
1.69,70.2,90.5,09423560,2018-07-06 05:15,7.64
1.62,70.1,85.3,09423560,2018-07-06 05:30,7.59
1.61,70.1,83.6,09423560,2018-07-06 05:45,7.55
1.52,70.1,77.1,09423560,2018-07-06 06:00,7.50
1.55,70.1,76.9,09423560,2018-07-06 06:15,7.44
1.51,70.0,73.3,09423560,2018-07-06 06:30,7.38
1.46,70.1,69.0,09423560,2018-07-06 06:45,7.31
1.41,70.1,64.6,09423560,2018-07-06 07:00,7.23
1.34,70.1,59.7,09423560,2018-07-06 07:15,7.16
1.25,70.2,53.9,09423560,2018-07-06 07:30,7.08
1.21,70.2,50.2,09423560,2018-07-06 07:45,6.99
1.19,70.3,47.7,09423560,2018-07-06 08:00,6.90
1.10,70.4,42.7,09423560,2018-07-06 08:15,6.81
1.09,70.5,40.8,09423560,2018-07-06 08:30,6.72
1.03,70.6,37.1,09423560,2018-07-06 08:45,6.63
0.99,70.8,34.3,09423560,2018-07-06 09:00,6.54
0.91,71.0,29.9,09423560,2018-07-06 09:15,6.44
0.86,71.2,27.1,09423560,2018-07-06 09:30,6.35
0.80,71.4,24.1,09423560,2018-07-06 09:45,6.26
0.76,71.6,21.8,09423560,2018-07-06 10:00,6.17
0.62,71.9,17.1,09423560,2018-07-06 10:15,6.09
0.44,72.2,11.7,09423560,2018-07-06 10:30,6.01
0.42,72.5,10.7,09423560,2018-07-06 10:45,5.93
0.39,73.0,9.64,09423560,2018-07-06 11:00,5.87
0.24,73.6,5.63,09423560,2018-07-06 11:15,5.82
0.10,74.7,2.29,09423560,2018-07-06 11:30,5.78
0.10,75.3,2.29,09423560,2018-07-06 11:45,5.78
,76.0,1.96,09423560,2018-07-06 12:00,5.79
0.07,76.5,1.65,09423560,2018-07-06 12:15,5.83
0.15,76.8,3.56,09423560,2018-07-06 12:30,5.84
0.08,77.4,1.92,09423560,2018-07-06 12:45,5.86
0.08,78.3,1.93,09423560,2018-07-06 13:00,5.87
0.30,78.9,7.15,09423560,2018-07-06 13:15,5.85
0.08,79.5,1.88,09423560,2018-07-06 13:30,5.82
0.13,80.0,3.05,09423560,2018-07-06 13:45,5.82
0.17,80.1,3.94,09423560,2018-07-06 14:00,5.80
0.31,80.6,7.15,09423560,2018-07-06 14:15,5.79
0.22,80.9,5.13,09423560,2018-07-06 14:30,5.81
,81.2,3.63,09423560,2018-07-06 14:45,5.82
0.09,81.6,2.12,09423560,2018-07-06 15:00,5.83
,81.8,2.19,09423560,2018-07-06 15:15,5.82
,82.2,2.27,09423560,2018-07-06 15:30,5.82
0.10,82.3,2.35,09423560,2018-07-06 15:45,5.82
0.14,82.6,3.32,09423560,2018-07-06 16:00,5.84
0.21,82.0,5.06,09423560,2018-07-06 16:15,5.87
0.43,81.8,10.8,09423560,2018-07-06 16:30,5.90
0.34,78.5,8.80,09423560,2018-07-06 16:45,5.95
0.59,75.9,15.6,09423560,2018-07-06 17:00,6.01
0.75,75.0,20.4,09423560,2018-07-06 17:15,6.07
0.88,74.5,24.7,09423560,2018-07-06 17:30,6.13
0.98,74.2,28.8,09423560,2018-07-06 17:45,6.20
1.05,73.9,32.3,09423560,2018-07-06 18:00,6.29
1.10,73.6,35.5,09423560,2018-07-06 18:15,6.39
1.14,73.4,37.8,09423560,2018-07-06 18:30,6.45
1.14,73.3,39.8,09423560,2018-07-06 18:45,6.56
1.23,73.2,44.2,09423560,2018-07-06 19:00,6.63
1.22,73.0,45.7,09423560,2018-07-06 19:15,6.73
1.31,73.0,50.3,09423560,2018-07-06 19:30,6.79
1.38,72.9,54.6,09423560,2018-07-06 19:45,6.87
1.37,72.8,55.7,09423560,2018-07-06 20:00,6.94
1.38,72.8,57.2,09423560,2018-07-06 20:15,6.99
1.56,72.8,65.6,09423560,2018-07-06 20:30,7.03
1.59,72.8,68.9,09423560,2018-07-06 20:45,7.10
1.59,72.9,70.4,09423560,2018-07-06 21:00,7.15
1.60,73.0,73.0,09423560,2018-07-06 21:15,7.21
1.65,73.0,76.8,09423560,2018-07-06 21:30,7.26
1.71,73.1,81.1,09423560,2018-07-06 21:45,7.31
1.75,73.2,85.6,09423560,2018-07-06 22:00,7.39
1.73,73.3,86.5,09423560,2018-07-06 22:15,7.45
1.80,73.3,91.4,09423560,2018-07-06 22:30,7.50
1.75,73.4,91.4,09423560,2018-07-06 22:45,7.57
1.82,73.5,96.6,09423560,2018-07-06 23:00,7.62
1.80,73.5,97.6,09423560,2018-07-06 23:15,7.68
1.82,73.6,100,09423560,2018-07-06 23:30,7.73
1.82,73.6,102,09423560,2018-07-06 23:45,7.79
