Temp,Flow,site_no,datetime,Precipitation,GageHeight
91.5,0.00,09424900,2018-07-06 00:00,0.00,-0.13
89.6,0.00,09424900,2018-07-06 00:15,0.00,-0.13
89.6,0.00,09424900,2018-07-06 00:30,0.00,-0.13
89.1,0.00,09424900,2018-07-06 00:45,0.00,-0.13
87.3,0.00,09424900,2018-07-06 01:00,0.00,-0.13
85.8,0.00,09424900,2018-07-06 01:15,0.00,-0.13
85.9,0.00,09424900,2018-07-06 01:30,0.00,-0.13
85.2,0.00,09424900,2018-07-06 01:45,0.00,-0.13
84.8,0.00,09424900,2018-07-06 02:00,0.00,-0.13
85.3,0.00,09424900,2018-07-06 02:15,0.00,-0.13
87.2,0.00,09424900,2018-07-06 02:30,0.00,-0.13
88.6,0.00,09424900,2018-07-06 02:45,0.00,-0.13
89.2,0.00,09424900,2018-07-06 03:00,0.00,-0.13
86.9,0.00,09424900,2018-07-06 03:15,0.00,-0.13
85.7,0.00,09424900,2018-07-06 03:30,0.00,-0.13
85.8,0.00,09424900,2018-07-06 03:45,0.00,-0.13
89.8,0.00,09424900,2018-07-06 04:00,0.00,-0.13
91.0,0.00,09424900,2018-07-06 04:15,0.00,-0.13
92.2,0.00,09424900,2018-07-06 04:30,0.00,-0.13
92.7,0.00,09424900,2018-07-06 04:45,0.00,-0.13
92.8,0.00,09424900,2018-07-06 05:00,0.00,-0.13
92.4,0.00,09424900,2018-07-06 05:15,0.00,-0.13
91.9,0.00,09424900,2018-07-06 05:30,0.00,-0.13
91.5,0.00,09424900,2018-07-06 05:45,0.00,-0.13
91.9,0.00,09424900,2018-07-06 06:00,0.00,-0.13
92.1,0.00,09424900,2018-07-06 06:15,0.00,-0.13
92.6,0.00,09424900,2018-07-06 06:30,0.00,-0.13
94.5,0.00,09424900,2018-07-06 06:45,0.00,-0.13
96.2,0.00,09424900,2018-07-06 07:00,0.00,-0.13
99.4,0.00,09424900,2018-07-06 07:15,0.00,-0.12
100.9,0.00,09424900,2018-07-06 07:30,0.00,-0.12
102.0,0.00,09424900,2018-07-06 07:45,0.00,-0.12
102.8,0.00,09424900,2018-07-06 08:00,0.00,-0.12
101.2,0.00,09424900,2018-07-06 08:15,0.00,-0.12
104.0,0.00,09424900,2018-07-06 08:30,0.00,-0.12
104.4,0.00,09424900,2018-07-06 08:45,0.00,-0.12
104.7,0.00,09424900,2018-07-06 09:00,0.00,-0.12
104.2,0.00,09424900,2018-07-06 09:15,0.00,-0.12
105.0,0.00,09424900,2018-07-06 09:30,0.00,-0.12
104.4,0.00,09424900,2018-07-06 09:45,0.00,-0.12
106.9,0.00,09424900,2018-07-06 10:00,0.00,-0.12
105.8,0.00,09424900,2018-07-06 10:15,0.00,-0.12
106.9,0.00,09424900,2018-07-06 10:30,0.00,-0.12
105.7,0.00,09424900,2018-07-06 10:45,0.00,-0.12
107.7,0.00,09424900,2018-07-06 11:00,0.00,-0.12
105.9,0.00,09424900,2018-07-06 11:15,0.00,-0.12
107.8,0.00,09424900,2018-07-06 11:30,0.00,-0.12
106.7,0.00,09424900,2018-07-06 11:45,0.00,-0.12
107.8,0.00,09424900,2018-07-06 12:00,0.00,-0.12
107.2,0.00,09424900,2018-07-06 12:15,0.00,-0.12
107.9,0.00,09424900,2018-07-06 12:30,0.00,-0.12
109.1,0.00,09424900,2018-07-06 12:45,0.00,-0.12
108.5,0.00,09424900,2018-07-06 13:00,0.00,-0.12
109.0,0.00,09424900,2018-07-06 13:15,0.00,-0.12
109.6,0.00,09424900,2018-07-06 13:30,0.00,-0.12
109.1,0.00,09424900,2018-07-06 13:45,0.00,-0.12
111.8,0.00,09424900,2018-07-06 14:00,0.00,-0.12
111.0,0.00,09424900,2018-07-06 14:15,0.00,-0.12
110.2,0.00,09424900,2018-07-06 14:30,0.00,-0.12
111.0,0.00,09424900,2018-07-06 14:45,0.00,-0.12
110.4,0.00,09424900,2018-07-06 15:00,0.00,-0.12
111.8,0.00,09424900,2018-07-06 15:15,0.00,-0.12
111.7,0.00,09424900,2018-07-06 15:30,0.00,-0.12
111.5,0.00,09424900,2018-07-06 15:45,0.00,-0.12
112.3,0.00,09424900,2018-07-06 16:00,0.00,-0.12
111.3,0.00,09424900,2018-07-06 16:15,0.00,-0.12
114.6,0.00,09424900,2018-07-06 16:30,0.00,-0.12
103.9,0.00,09424900,2018-07-06 16:45,0.00,-0.12
101.0,0.00,09424900,2018-07-06 17:00,0.00,-0.12
97.5,0.00,09424900,2018-07-06 17:15,0.00,-0.12
88.8,0.00,09424900,2018-07-06 17:30,0.02,-0.13
89.8,0.00,09424900,2018-07-06 17:45,0.02,-0.13
92.5,0.00,09424900,2018-07-06 18:00,0.00,-0.13
93.1,0.00,09424900,2018-07-06 18:15,0.00,-0.13
94.2,0.00,09424900,2018-07-06 18:30,0.00,-0.13
95.0,0.00,09424900,2018-07-06 18:45,0.00,-0.13
95.5,0.00,09424900,2018-07-06 19:00,0.00,-0.13
96.3,0.00,09424900,2018-07-06 19:15,0.00,-0.13
96.8,0.00,09424900,2018-07-06 19:30,0.00,-0.13
95.4,0.00,09424900,2018-07-06 19:45,0.00,-0.13
95.4,0.00,09424900,2018-07-06 20:00,0.00,-0.13
93.1,0.00,09424900,2018-07-06 20:15,0.00,-0.13
91.3,0.00,09424900,2018-07-06 20:30,0.00,-0.13
91.0,0.00,09424900,2018-07-06 20:45,0.00,-0.13
90.5,0.00,09424900,2018-07-06 21:00,0.00,-0.13
89.2,0.00,09424900,2018-07-06 21:15,0.00,-0.13
88.3,0.00,09424900,2018-07-06 21:30,0.00,-0.13
88.3,0.00,09424900,2018-07-06 21:45,0.00,-0.13
88.4,0.00,09424900,2018-07-06 22:00,0.00,-0.13
86.7,0.00,09424900,2018-07-06 22:15,0.00,-0.13
86.3,0.00,09424900,2018-07-06 22:30,0.00,-0.13
88.8,0.00,09424900,2018-07-06 22:45,0.00,-0.13
89.4,0.00,09424900,2018-07-06 23:00,0.00,-0.13
89.0,0.00,09424900,2018-07-06 23:15,0.00,-0.13
88.2,0.00,09424900,2018-07-06 23:30,0.00,-0.13
90.1,0.00,09424900,2018-07-06 23:45,0.00,-0.13
