Temp,Flow,site_no,datetime,Velocity,GageHeight
76.7,263,09429070,2018-06-29 00:00,2.36,3.82
76.6,255,09429070,2018-06-29 00:15,2.30,3.81
76.5,255,09429070,2018-06-29 00:30,2.30,3.80
76.4,228,09429070,2018-06-29 00:45,2.08,3.76
76.3,198,09429070,2018-06-29 01:00,1.83,3.73
76.2,186,09429070,2018-06-29 01:15,1.73,3.71
76.1,172,09429070,2018-06-29 01:30,1.62,3.70
76.0,128,09429070,2018-06-29 01:45,1.21,3.70
75.9,208,09429070,2018-06-29 02:00,1.97,3.68
75.8,237,09429070,2018-06-29 02:15,2.25,3.67
75.6,215,09429070,2018-06-29 02:30,2.04,3.67
75.5,215,09429070,2018-06-29 02:45,2.03,3.68
75.3,177,09429070,2018-06-29 03:00,1.66,3.71
75.1,181,09429070,2018-06-29 03:15,1.67,3.74
75.0,194,09429070,2018-06-29 03:30,1.75,3.80
74.9,221,09429070,2018-06-29 03:45,1.96,3.85
74.7,215,09429070,2018-06-29 04:00,1.84,3.94
74.6,212,09429070,2018-06-29 04:15,1.75,4.05
74.5,198,09429070,2018-06-29 04:30,1.58,4.15
74.4,190,09429070,2018-06-29 04:45,1.49,4.20
74.3,188,09429070,2018-06-29 05:00,1.42,4.33
74.3,179,09429070,2018-06-29 05:15,1.31,4.43
74.2,177,09429070,2018-06-29 05:30,1.24,4.57
74.2,182,09429070,2018-06-29 05:45,1.24,4.69
74.1,179,09429070,2018-06-29 06:00,1.18,4.78
74.1,174,09429070,2018-06-29 06:15,1.11,4.91
74.0,183,09429070,2018-06-29 06:30,1.13,5.03
74.0,182,09429070,2018-06-29 06:45,1.11,5.10
74.0,185,09429070,2018-06-29 07:00,1.11,5.17
73.9,183,09429070,2018-06-29 07:15,1.08,5.21
73.9,196,09429070,2018-06-29 07:30,1.14,5.26
73.9,190,09429070,2018-06-29 07:45,1.07,5.40
73.9,200,09429070,2018-06-29 08:00,1.11,5.49
73.9,210,09429070,2018-06-29 08:15,1.15,5.54
73.9,210,09429070,2018-06-29 08:30,1.14,5.58
74.0,205,09429070,2018-06-29 08:45,1.10,5.62
74.0,208,09429070,2018-06-29 09:00,1.11,5.65
74.1,201,09429070,2018-06-29 09:15,1.06,5.71
74.2,198,09429070,2018-06-29 09:30,1.03,5.78
74.4,193,09429070,2018-06-29 09:45,0.99,5.82
74.5,196,09429070,2018-06-29 10:00,1.00,5.85
74.7,194,09429070,2018-06-29 10:15,0.99,5.87
74.9,205,09429070,2018-06-29 10:30,1.04,5.89
75.1,204,09429070,2018-06-29 10:45,1.04,5.86
75.3,224,09429070,2018-06-29 11:00,1.16,5.77
75.6,211,09429070,2018-06-29 11:15,1.12,5.67
75.8,214,09429070,2018-06-29 11:30,1.15,5.62
76.0,220,09429070,2018-06-29 11:45,1.20,5.57
76.3,211,09429070,2018-06-29 12:00,1.15,5.56
76.6,226,09429070,2018-06-29 12:15,1.24,5.53
76.8,214,09429070,2018-06-29 12:30,1.18,5.51
77.1,220,09429070,2018-06-29 12:45,1.21,5.50
77.4,215,09429070,2018-06-29 13:00,1.24,5.34
77.6,220,09429070,2018-06-29 13:15,1.28,5.29
77.9,225,09429070,2018-06-29 13:30,1.32,5.24
78.2,222,09429070,2018-06-29 13:45,1.35,5.10
78.4,223,09429070,2018-06-29 14:00,1.39,5.00
78.6,224,09429070,2018-06-29 14:15,1.42,4.94
78.8,170,09429070,2018-06-29 14:30,1.09,4.89
79.0,169,09429070,2018-06-29 14:45,1.12,4.78
79.2,162,09429070,2018-06-29 15:00,1.10,4.66
79.3,155,09429070,2018-06-29 15:15,1.08,4.60
79.5,159,09429070,2018-06-29 15:30,1.13,4.54
79.6,173,09429070,2018-06-29 15:45,1.24,4.49
79.7,164,09429070,2018-06-29 16:00,1.19,4.47
79.8,163,09429070,2018-06-29 16:15,1.22,4.36
79.8,154,09429070,2018-06-29 16:30,1.17,4.30
79.8,161,09429070,2018-06-29 16:45,1.24,4.27
79.8,255,09429070,2018-06-29 17:00,1.97,4.26
79.8,180,09429070,2018-06-29 17:15,1.40,4.23
79.7,166,09429070,2018-06-29 17:30,1.29,4.21
79.7,148,09429070,2018-06-29 17:45,1.17,4.18
79.6,120,09429070,2018-06-29 18:00,0.96,4.15
79.5,141,09429070,2018-06-29 18:15,1.13,4.15
79.4,139,09429070,2018-06-29 18:30,1.09,4.21
79.3,147,09429070,2018-06-29 18:45,1.14,4.22
79.2,151,09429070,2018-06-29 19:00,1.17,4.24
79.1,142,09429070,2018-06-29 19:15,1.09,4.27
79.0,131,09429070,2018-06-29 19:30,0.99,4.32
79.0,148,09429070,2018-06-29 19:45,1.11,4.36
78.9,154,09429070,2018-06-29 20:00,1.13,4.42
78.8,149,09429070,2018-06-29 20:15,1.07,4.50
78.7,175,09429070,2018-06-29 20:30,1.24,4.54
78.6,199,09429070,2018-06-29 20:45,1.36,4.66
78.5,200,09429070,2018-06-29 21:00,1.34,4.73
78.3,201,09429070,2018-06-29 21:15,1.33,4.79
78.2,194,09429070,2018-06-29 21:30,1.23,4.93
78.0,198,09429070,2018-06-29 21:45,1.23,5.02
77.9,198,09429070,2018-06-29 22:00,1.19,5.13
77.8,206,09429070,2018-06-29 22:15,1.21,5.25
77.7,209,09429070,2018-06-29 22:30,1.20,5.33
77.6,205,09429070,2018-06-29 22:45,1.14,5.46
77.4,188,09429070,2018-06-29 23:00,1.02,5.57
77.4,187,09429070,2018-06-29 23:15,1.00,5.64
77.3,178,09429070,2018-06-29 23:30,0.93,5.77
77.2,183,09429070,2018-06-29 23:45,0.93,5.88
