Temp,Flow,site_no,datetime,Conductance,Precipitation,GageHeight
10.9,17600,09380000,2018-07-20 00:00,688,0.00,10.23
10.9,17200,09380000,2018-07-20 00:15,687,0.00,10.16
10.9,16900,09380000,2018-07-20 00:30,687,0.00,10.10
10.8,16500,09380000,2018-07-20 00:45,685,0.00,10.03
10.8,16000,09380000,2018-07-20 01:00,683,0.00,9.95
10.8,15700,09380000,2018-07-20 01:15,682,0.00,9.88
10.8,15300,09380000,2018-07-20 01:30,683,0.00,9.80
10.8,14700,09380000,2018-07-20 01:45,682,0.00,9.70
10.8,14500,09380000,2018-07-20 02:00,681,0.00,9.65
10.8,14200,09380000,2018-07-20 02:15,682,0.00,9.58
10.8,13800,09380000,2018-07-20 02:30,682,0.00,9.51
10.8,13500,09380000,2018-07-20 02:45,682,0.00,9.45
10.8,13100,09380000,2018-07-20 03:00,675,0.00,9.37
10.8,12900,09380000,2018-07-20 03:15,678,0.00,9.32
10.8,12600,09380000,2018-07-20 03:30,676,0.00,9.26
10.8,12400,09380000,2018-07-20 03:45,679,0.00,9.20
10.8,12200,09380000,2018-07-20 04:00,679,0.00,9.16
10.8,12000,09380000,2018-07-20 04:15,680,0.00,9.12
10.8,11800,09380000,2018-07-20 04:30,675,0.00,9.08
10.8,11600,09380000,2018-07-20 04:45,677,0.00,9.04
10.8,11500,09380000,2018-07-20 05:00,677,0.00,9.00
10.7,11300,09380000,2018-07-20 05:15,677,0.00,8.97
10.7,11300,09380000,2018-07-20 05:30,674,0.00,8.95
10.7,11100,09380000,2018-07-20 05:45,675,0.00,8.92
10.7,11000,09380000,2018-07-20 06:00,675,0.00,8.90
10.7,11000,09380000,2018-07-20 06:15,679,0.00,8.88
10.7,10900,09380000,2018-07-20 06:30,677,0.00,8.87
10.6,10800,09380000,2018-07-20 06:45,675,0.00,8.85
10.6,10800,09380000,2018-07-20 07:00,674,0.00,8.85
10.6,10800,09380000,2018-07-20 07:15,675,0.00,8.84
10.6,10700,09380000,2018-07-20 07:30,674,0.00,8.83
10.6,10800,09380000,2018-07-20 07:45,674,0.00,8.84
10.6,10800,09380000,2018-07-20 08:00,677,0.00,8.84
10.7,10800,09380000,2018-07-20 08:15,673,0.00,8.85
10.7,11000,09380000,2018-07-20 08:30,674,0.00,8.88
10.7,11200,09380000,2018-07-20 08:45,674,0.00,8.93
10.8,11400,09380000,2018-07-20 09:00,673,0.00,8.98
10.8,11600,09380000,2018-07-20 09:15,672,0.00,9.04
10.9,12000,09380000,2018-07-20 09:30,671,0.00,9.11
11.0,12300,09380000,2018-07-20 09:45,670,0.00,9.18
11.0,12600,09380000,2018-07-20 10:00,668,0.00,9.26
11.1,13000,09380000,2018-07-20 10:15,668,0.00,9.33
11.2,13300,09380000,2018-07-20 10:30,666,0.00,9.41
11.3,13800,09380000,2018-07-20 10:45,664,0.00,9.50
11.4,14200,09380000,2018-07-20 11:00,662,0.00,9.58
11.4,14700,09380000,2018-07-20 11:15,661,0.00,9.69
11.5,15200,09380000,2018-07-20 11:30,660,0.00,9.78
11.5,15600,09380000,2018-07-20 11:45,658,0.00,9.86
11.5,15900,09380000,2018-07-20 12:00,658,0.00,9.92
11.6,16300,09380000,2018-07-20 12:15,658,0.00,10.00
11.6,16600,09380000,2018-07-20 12:30,656,0.00,10.05
11.7,16900,09380000,2018-07-20 12:45,656,0.00,10.10
11.7,17100,09380000,2018-07-20 13:00,657,0.00,10.15
