GageHeight2,Flow,site_no,datetime,Precipitation,GageHeight
1.23,16.1,09396100,2018-07-19 00:00,0.00,1.23
1.43,35.3,09396100,2018-07-19 00:15,0.00,1.43
1.41,32.9,09396100,2018-07-19 00:30,0.00,1.41
1.28,19.9,09396100,2018-07-19 00:45,0.00,1.28
1.23,16.1,09396100,2018-07-19 01:00,0.00,1.23
1.23,10.2,09396100,2018-07-19 01:15,0.00,1.13
1.23,9.54,09396100,2018-07-19 01:30,0.00,1.12
1.23,8.94,09396100,2018-07-19 01:45,0.00,1.11
1.23,9.54,09396100,2018-07-19 02:00,0.00,1.12
1.23,8.38,09396100,2018-07-19 02:15,0.00,1.10
1.23,8.38,09396100,2018-07-19 02:30,0.00,1.10
1.23,8.38,09396100,2018-07-19 02:45,0.00,1.10
1.23,8.94,09396100,2018-07-19 03:00,0.00,1.11
1.23,7.83,09396100,2018-07-19 03:15,0.00,1.09
1.23,7.83,09396100,2018-07-19 03:30,0.00,1.09
1.23,8.94,09396100,2018-07-19 03:45,0.00,1.11
1.23,8.38,09396100,2018-07-19 04:00,0.00,1.10
1.23,7.83,09396100,2018-07-19 04:15,0.00,1.09
1.23,7.32,09396100,2018-07-19 04:30,0.00,1.07
1.23,7.32,09396100,2018-07-19 04:45,0.00,1.07
1.23,7.83,09396100,2018-07-19 05:00,0.00,1.09
1.23,7.32,09396100,2018-07-19 05:15,0.00,1.07
1.23,7.32,09396100,2018-07-19 05:30,0.00,1.07
1.23,7.32,09396100,2018-07-19 05:45,0.00,1.07
1.23,7.32,09396100,2018-07-19 06:00,0.00,1.07
1.23,6.82,09396100,2018-07-19 06:15,0.00,1.06
1.23,7.32,09396100,2018-07-19 06:30,0.00,1.07
1.23,7.32,09396100,2018-07-19 06:45,0.00,1.07
1.23,7.32,09396100,2018-07-19 07:00,0.00,1.07
1.23,6.36,09396100,2018-07-19 07:15,0.00,1.05
1.23,6.82,09396100,2018-07-19 07:30,0.00,1.06
1.23,7.32,09396100,2018-07-19 07:45,0.00,1.07
1.23,5.91,09396100,2018-07-19 08:00,0.00,1.04
1.23,5.91,09396100,2018-07-19 08:15,0.00,1.04
1.23,6.36,09396100,2018-07-19 08:30,0.00,1.05
1.23,5.48,09396100,2018-07-19 08:45,0.00,1.02
1.23,6.36,09396100,2018-07-19 09:00,0.00,1.05
1.23,5.91,09396100,2018-07-19 09:15,0.00,1.04
1.23,5.48,09396100,2018-07-19 09:30,0.00,1.02
1.23,5.91,09396100,2018-07-19 09:45,0.00,1.04
