WaterVelocity,Temp,Flow,site_no,datetime,GageHeight
1.62,73.2,65.5,09423560,2018-07-26 00:00,6.92
1.64,73.1,67.8,09423560,2018-07-26 00:15,6.98
1.62,73.0,68.4,09423560,2018-07-26 00:30,7.03
1.63,72.9,70.0,09423560,2018-07-26 00:45,7.07
1.69,72.8,74.4,09423560,2018-07-26 01:00,7.13
1.71,72.7,76.6,09423560,2018-07-26 01:15,7.17
1.71,72.6,77.8,09423560,2018-07-26 01:30,7.21
1.63,72.5,75.2,09423560,2018-07-26 01:45,7.24
1.71,72.4,79.7,09423560,2018-07-26 02:00,7.27
1.70,72.4,80.2,09423560,2018-07-26 02:15,7.30
1.68,72.3,79.6,09423560,2018-07-26 02:30,7.31
1.68,72.3,80.2,09423560,2018-07-26 02:45,7.33
1.67,72.2,79.8,09423560,2018-07-26 03:00,7.33
1.64,72.2,78.3,09423560,2018-07-26 03:15,7.33
1.65,72.1,78.8,09423560,2018-07-26 03:30,7.33
1.60,72.0,75.7,09423560,2018-07-26 03:45,7.32
1.60,72.0,75.6,09423560,2018-07-26 04:00,7.30
1.59,71.9,74.4,09423560,2018-07-26 04:15,7.29
1.57,71.8,72.6,09423560,2018-07-26 04:30,7.26
1.57,71.7,71.4,09423560,2018-07-26 04:45,7.22
1.56,71.6,70.4,09423560,2018-07-26 05:00,7.20
1.52,71.6,66.9,09423560,2018-07-26 05:15,7.14
1.44,71.5,62.4,09423560,2018-07-26 05:30,7.10
1.40,71.4,59.4,09423560,2018-07-26 05:45,7.05
1.37,71.3,56.7,09423560,2018-07-26 06:00,6.99
1.35,71.3,54.6,09423560,2018-07-26 06:15,6.93
1.26,71.2,49.7,09423560,2018-07-26 06:30,6.86
1.24,71.2,47.7,09423560,2018-07-26 06:45,6.80
1.16,71.2,43.5,09423560,2018-07-26 07:00,6.73
1.12,71.2,40.6,09423560,2018-07-26 07:15,6.65
1.13,71.2,39.7,09423560,2018-07-26 07:30,6.58
1.06,71.2,36.0,09423560,2018-07-26 07:45,6.50
1.04,71.2,34.0,09423560,2018-07-26 08:00,6.42
0.97,71.3,30.4,09423560,2018-07-26 08:15,6.33
0.93,71.4,28.0,09423560,2018-07-26 08:30,6.27
0.84,71.5,24.2,09423560,2018-07-26 08:45,6.18
0.76,71.7,21.0,09423560,2018-07-26 09:00,6.10
0.71,71.9,18.7,09423560,2018-07-26 09:15,6.02
0.66,72.1,16.7,09423560,2018-07-26 09:30,5.94
0.57,72.4,14.0,09423560,2018-07-26 09:45,5.87
0.44,72.7,10.4,09423560,2018-07-26 10:00,5.80
0.37,73.1,8.45,09423560,2018-07-26 10:15,5.73
0.28,73.7,6.05,09423560,2018-07-26 10:30,5.68
0.15,74.5,3.14,09423560,2018-07-26 10:45,5.63
0.08,75.3,1.67,09423560,2018-07-26 11:00,5.62
0.13,75.9,2.69,09423560,2018-07-26 11:15,5.61
0.07,76.3,1.49,09423560,2018-07-26 11:30,5.66
,76.7,1.73,09423560,2018-07-26 11:45,5.68
,77.6,1.95,09423560,2018-07-26 12:00,5.69
0.10,78.1,2.15,09423560,2018-07-26 12:15,5.67
0.09,78.7,1.94,09423560,2018-07-26 12:30,5.68
,79.1,2.03,09423560,2018-07-26 12:45,5.66
0.10,79.6,2.15,09423560,2018-07-26 13:00,5.67
0.09,80.4,1.94,09423560,2018-07-26 13:15,5.68
,80.8,1.88,09423560,2018-07-26 13:30,5.69
,81.1,1.81,09423560,2018-07-26 13:45,5.69
,81.6,1.72,09423560,2018-07-26 14:00,5.67
,82.2,1.66,09423560,2018-07-26 14:15,5.68
,82.5,1.59,09423560,2018-07-26 14:30,5.69
0.07,82.9,1.51,09423560,2018-07-26 14:45,5.68
0.07,83.1,1.54,09423560,2018-07-26 15:00,5.71
,83.4,1.65,09423560,2018-07-26 15:15,5.69
,83.7,1.78,09423560,2018-07-26 15:30,5.69
,84.0,1.91,09423560,2018-07-26 15:45,5.69
,84.3,2.05,09423560,2018-07-26 16:00,5.70
0.10,84.4,2.15,09423560,2018-07-26 16:15,5.67
0.13,84.5,2.79,09423560,2018-07-26 16:30,5.67
0.12,84.6,2.54,09423560,2018-07-26 16:45,5.65
0.10,84.8,2.13,09423560,2018-07-26 17:00,5.66
,85.0,1.81,09423560,2018-07-26 17:15,5.66
0.07,85.0,1.48,09423560,2018-07-26 17:30,5.65
0.13,85.1,2.77,09423560,2018-07-26 17:45,5.66
0.17,85.0,3.58,09423560,2018-07-26 18:00,5.64
0.18,84.8,3.77,09423560,2018-07-26 18:15,5.63
0.16,84.6,3.31,09423560,2018-07-26 18:30,5.61
,84.5,3.38,09423560,2018-07-26 18:45,5.62
,84.4,3.46,09423560,2018-07-26 19:00,5.63
,84.2,3.51,09423560,2018-07-26 19:15,5.63
0.17,84.1,3.65,09423560,2018-07-26 19:30,5.67
0.29,79.4,6.30,09423560,2018-07-26 19:45,5.69
0.52,76.4,11.8,09423560,2018-07-26 20:00,5.73
0.67,75.2,15.7,09423560,2018-07-26 20:15,5.80
0.81,74.6,19.7,09423560,2018-07-26 20:30,5.87
0.95,74.3,24.0,09423560,2018-07-26 20:45,5.94
1.05,74.0,27.9,09423560,2018-07-26 21:00,6.02
1.12,73.8,31.1,09423560,2018-07-26 21:15,6.10
1.22,73.7,35.3,09423560,2018-07-26 21:30,6.18
1.27,73.6,38.7,09423560,2018-07-26 21:45,6.28
1.33,73.5,41.9,09423560,2018-07-26 22:00,6.35
1.37,73.4,44.9,09423560,2018-07-26 22:15,6.43
1.38,73.4,46.9,09423560,2018-07-26 22:30,6.51
1.45,73.3,50.8,09423560,2018-07-26 22:45,6.58
1.51,73.3,54.7,09423560,2018-07-26 23:00,6.66
1.54,73.2,57.7,09423560,2018-07-26 23:15,6.74
1.59,73.2,61.2,09423560,2018-07-26 23:30,6.81
1.61,73.2,63.9,09423560,2018-07-26 23:45,6.87
