Temp,Flow,site_no,datetime,Precipitation,GageHeight
87.0,0.00,09424900,2018-07-24 00:00,0.00,0.02
87.5,0.00,09424900,2018-07-24 00:15,0.00,0.02
87.6,0.00,09424900,2018-07-24 00:30,0.00,0.02
87.4,0.00,09424900,2018-07-24 00:45,0.00,0.02
87.4,0.00,09424900,2018-07-24 01:00,0.00,0.02
88.6,0.00,09424900,2018-07-24 01:15,0.00,0.02
87.4,0.00,09424900,2018-07-24 01:30,0.00,0.02
87.1,0.00,09424900,2018-07-24 01:45,0.00,0.02
87.2,0.00,09424900,2018-07-24 02:00,0.00,0.02
86.3,0.00,09424900,2018-07-24 02:15,0.00,0.02
86.5,0.00,09424900,2018-07-24 02:30,0.00,0.02
85.0,0.00,09424900,2018-07-24 02:45,0.00,0.02
85.0,0.00,09424900,2018-07-24 03:00,0.00,0.02
83.8,0.00,09424900,2018-07-24 03:15,0.00,0.02
84.6,0.00,09424900,2018-07-24 03:30,0.00,0.02
84.4,0.00,09424900,2018-07-24 03:45,0.00,0.02
83.6,0.00,09424900,2018-07-24 04:00,0.00,0.01
82.2,0.00,09424900,2018-07-24 04:15,0.00,0.01
82.7,0.00,09424900,2018-07-24 04:30,0.00,0.01
81.5,0.00,09424900,2018-07-24 04:45,0.00,0.01
81.4,0.00,09424900,2018-07-24 05:00,0.00,0.01
81.6,0.00,09424900,2018-07-24 05:15,0.00,0.01
79.8,0.00,09424900,2018-07-24 05:30,0.00,0.01
79.6,0.00,09424900,2018-07-24 05:45,0.00,0.01
79.4,0.00,09424900,2018-07-24 06:00,0.00,0.01
80.0,0.00,09424900,2018-07-24 06:15,0.00,0.01
84.4,0.00,09424900,2018-07-24 06:30,0.00,0.01
85.8,0.00,09424900,2018-07-24 06:45,0.00,0.02
88.8,0.00,09424900,2018-07-24 07:00,0.00,0.02
92.1,0.00,09424900,2018-07-24 07:15,0.00,0.02
88.7,0.00,09424900,2018-07-24 07:30,0.00,0.02
91.6,0.00,09424900,2018-07-24 07:45,0.00,0.02
96.1,0.00,09424900,2018-07-24 08:00,0.00,0.02
97.3,0.00,09424900,2018-07-24 08:15,0.00,0.02
97.1,0.00,09424900,2018-07-24 08:30,0.00,0.02
100.5,0.00,09424900,2018-07-24 08:45,0.00,0.02
102.4,0.00,09424900,2018-07-24 09:00,0.00,0.02
105.4,0.00,09424900,2018-07-24 09:15,0.00,0.02
106.6,0.00,09424900,2018-07-24 09:30,0.00,0.02
105.4,0.00,09424900,2018-07-24 09:45,0.00,0.02
108.5,0.00,09424900,2018-07-24 10:00,0.00,0.02
107.9,0.00,09424900,2018-07-24 10:15,0.00,0.02
110.1,0.00,09424900,2018-07-24 10:30,0.00,0.02
114.1,0.00,09424900,2018-07-24 10:45,0.00,0.02
113.2,0.00,09424900,2018-07-24 11:00,0.00,0.02
111.2,0.00,09424900,2018-07-24 11:15,0.00,0.02
114.2,0.00,09424900,2018-07-24 11:30,0.00,0.02
116.8,0.00,09424900,2018-07-24 11:45,0.00,0.02
113.9,0.00,09424900,2018-07-24 12:00,0.00,0.02
112.4,0.00,09424900,2018-07-24 12:15,0.00,0.02
114.4,0.00,09424900,2018-07-24 12:30,0.00,0.02
114.9,0.00,09424900,2018-07-24 12:45,0.00,0.02
114.9,0.00,09424900,2018-07-24 13:00,0.00,0.02
113.7,0.00,09424900,2018-07-24 13:15,0.00,0.02
114.2,0.00,09424900,2018-07-24 13:30,0.00,0.02
115.4,0.00,09424900,2018-07-24 13:45,0.00,0.02
113.2,0.00,09424900,2018-07-24 14:00,0.00,0.02
112.7,0.00,09424900,2018-07-24 14:15,0.00,0.02
112.0,0.00,09424900,2018-07-24 14:30,0.00,0.02
115.1,0.00,09424900,2018-07-24 14:45,0.00,0.02
112.5,0.00,09424900,2018-07-24 15:00,0.00,0.02
114.8,0.00,09424900,2018-07-24 15:15,0.00,0.02
116.1,0.00,09424900,2018-07-24 15:30,0.00,0.02
115.6,0.00,09424900,2018-07-24 15:45,0.00,0.02
114.9,0.00,09424900,2018-07-24 16:00,0.00,0.02
114.7,0.00,09424900,2018-07-24 16:15,0.00,0.02
114.2,0.00,09424900,2018-07-24 16:30,0.00,0.02
113.8,0.00,09424900,2018-07-24 16:45,0.00,0.02
115.5,0.00,09424900,2018-07-24 17:00,0.00,0.02
114.8,0.00,09424900,2018-07-24 17:15,0.00,0.02
114.2,0.00,09424900,2018-07-24 17:30,0.00,0.02
112.1,0.00,09424900,2018-07-24 17:45,0.00,0.02
112.0,0.00,09424900,2018-07-24 18:00,0.00,0.02
112.0,0.00,09424900,2018-07-24 18:15,0.00,0.02
111.5,0.00,09424900,2018-07-24 18:30,0.00,0.02
110.7,0.00,09424900,2018-07-24 18:45,0.00,0.02
110.0,0.00,09424900,2018-07-24 19:00,0.00,0.02
109.1,0.00,09424900,2018-07-24 19:15,0.00,0.02
108.4,0.00,09424900,2018-07-24 19:30,0.00,0.02
107.4,0.00,09424900,2018-07-24 19:45,0.00,0.02
105.8,0.00,09424900,2018-07-24 20:00,0.00,0.02
103.8,0.00,09424900,2018-07-24 20:15,0.00,0.02
100.7,0.00,09424900,2018-07-24 20:30,0.00,0.02
98.9,0.00,09424900,2018-07-24 20:45,0.00,0.02
97.8,0.00,09424900,2018-07-24 21:00,0.00,0.02
95.7,0.00,09424900,2018-07-24 21:15,0.00,0.02
94.5,0.00,09424900,2018-07-24 21:30,0.00,0.02
94.7,0.00,09424900,2018-07-24 21:45,0.00,0.02
94.2,0.00,09424900,2018-07-24 22:00,0.00,0.02
93.5,0.00,09424900,2018-07-24 22:15,0.00,0.02
92.3,0.00,09424900,2018-07-24 22:30,0.00,0.02
92.0,0.00,09424900,2018-07-24 22:45,0.00,0.02
91.2,0.00,09424900,2018-07-24 23:00,0.00,0.02
89.8,0.00,09424900,2018-07-24 23:15,0.00,0.02
90.3,0.00,09424900,2018-07-24 23:30,0.00,0.02
89.3,0.00,09424900,2018-07-24 23:45,0.00,0.02
