Temp,Flow,site_no,datetime,Velocity,GageHeight
83.9,141,09429070,2018-07-25 00:00,1.08,4.29
83.8,142,09429070,2018-07-25 00:15,1.07,4.31
83.8,155,09429070,2018-07-25 00:30,1.17,4.32
83.7,147,09429070,2018-07-25 00:45,1.08,4.42
83.6,141,09429070,2018-07-25 01:00,1.02,4.47
83.6,155,09429070,2018-07-25 01:15,1.11,4.50
83.5,157,09429070,2018-07-25 01:30,1.11,4.53
83.4,156,09429070,2018-07-25 01:45,1.10,4.56
83.3,160,09429070,2018-07-25 02:00,1.12,4.58
83.2,139,09429070,2018-07-25 02:15,0.95,4.66
83.1,146,09429070,2018-07-25 02:30,0.98,4.74
83.1,148,09429070,2018-07-25 02:45,0.98,4.78
83.0,153,09429070,2018-07-25 03:00,1.00,4.82
82.9,156,09429070,2018-07-25 03:15,1.01,4.85
82.8,148,09429070,2018-07-25 03:30,0.95,4.90
82.7,140,09429070,2018-07-25 03:45,0.88,5.01
82.6,145,09429070,2018-07-25 04:00,0.89,5.06
82.6,146,09429070,2018-07-25 04:15,0.89,5.10
82.6,147,09429070,2018-07-25 04:30,0.88,5.13
82.7,150,09429070,2018-07-25 04:45,0.90,5.16
82.6,151,09429070,2018-07-25 05:00,0.90,5.18
82.5,159,09429070,2018-07-25 05:15,0.94,5.19
82.4,163,09429070,2018-07-25 05:30,0.96,5.21
82.4,157,09429070,2018-07-25 05:45,0.92,5.23
82.4,157,09429070,2018-07-25 06:00,0.92,5.23
82.4,161,09429070,2018-07-25 06:15,0.94,5.24
82.4,159,09429070,2018-07-25 06:30,0.93,5.26
82.4,165,09429070,2018-07-25 06:45,0.96,5.26
82.4,168,09429070,2018-07-25 07:00,0.96,5.35
82.4,164,09429070,2018-07-25 07:15,0.92,5.41
82.4,163,09429070,2018-07-25 07:30,0.91,5.45
82.4,164,09429070,2018-07-25 07:45,0.91,5.48
82.4,172,09429070,2018-07-25 08:00,0.95,5.51
82.4,167,09429070,2018-07-25 08:15,0.92,5.52
82.4,160,09429070,2018-07-25 08:30,0.88,5.54
82.5,165,09429070,2018-07-25 08:45,0.93,5.41
82.5,161,09429070,2018-07-25 09:00,0.92,5.36
82.6,162,09429070,2018-07-25 09:15,0.94,5.32
82.7,161,09429070,2018-07-25 09:30,0.93,5.29
82.8,160,09429070,2018-07-25 09:45,0.93,5.28
82.9,154,09429070,2018-07-25 10:00,0.89,5.29
83.0,156,09429070,2018-07-25 10:15,0.91,5.30
83.2,160,09429070,2018-07-25 10:30,0.92,5.31
83.3,169,09429070,2018-07-25 10:45,1.00,5.22
83.5,173,09429070,2018-07-25 11:00,1.04,5.14
83.7,164,09429070,2018-07-25 11:15,1.00,5.08
83.8,157,09429070,2018-07-25 11:30,0.97,5.06
84.0,172,09429070,2018-07-25 11:45,1.08,4.98
84.2,165,09429070,2018-07-25 12:00,1.07,4.86
84.4,157,09429070,2018-07-25 12:15,1.04,4.78
84.6,163,09429070,2018-07-25 12:30,1.09,4.73
84.8,162,09429070,2018-07-25 12:45,1.10,4.70
85.0,165,09429070,2018-07-25 13:00,1.12,4.67
85.3,158,09429070,2018-07-25 13:15,1.11,4.56
85.4,162,09429070,2018-07-25 13:30,1.18,4.45
85.6,162,09429070,2018-07-25 13:45,1.20,4.40
85.8,149,09429070,2018-07-25 14:00,1.11,4.36
85.9,156,09429070,2018-07-25 14:15,1.17,4.33
86.0,154,09429070,2018-07-25 14:30,1.19,4.25
86.2,153,09429070,2018-07-25 14:45,1.22,4.15
86.3,142,09429070,2018-07-25 15:00,1.15,4.11
86.4,147,09429070,2018-07-25 15:15,1.20,4.07
86.5,147,09429070,2018-07-25 15:30,1.22,4.05
86.6,134,09429070,2018-07-25 15:45,1.11,4.03
86.7,131,09429070,2018-07-25 16:00,1.09,4.02
86.7,135,09429070,2018-07-25 16:15,1.13,4.00
86.7,114,09429070,2018-07-25 16:30,0.98,3.93
86.7,127,09429070,2018-07-25 16:45,1.11,3.88
86.7,127,09429070,2018-07-25 17:00,1.12,3.85
86.6,137,09429070,2018-07-25 17:15,1.23,3.82
86.6,133,09429070,2018-07-25 17:30,1.19,3.81
86.5,132,09429070,2018-07-25 17:45,1.19,3.80
86.4,137,09429070,2018-07-25 18:00,1.22,3.83
86.3,133,09429070,2018-07-25 18:15,1.18,3.84
86.2,116,09429070,2018-07-25 18:30,1.03,3.84
86.1,129,09429070,2018-07-25 18:45,1.15,3.83
86.0,129,09429070,2018-07-25 19:00,1.15,3.83
85.9,136,09429070,2018-07-25 19:15,1.21,3.84
85.7,132,09429070,2018-07-25 19:30,1.17,3.84
85.6,142,09429070,2018-07-25 19:45,1.26,3.84
85.5,134,09429070,2018-07-25 20:00,1.19,3.86
85.4,135,09429070,2018-07-25 20:15,1.19,3.86
85.2,128,09429070,2018-07-25 20:30,1.13,3.85
85.1,124,09429070,2018-07-25 20:45,1.09,3.88
85.0,136,09429070,2018-07-25 21:00,1.18,3.91
84.8,132,09429070,2018-07-25 21:15,1.14,3.93
84.7,127,09429070,2018-07-25 21:30,1.10,3.93
84.6,136,09429070,2018-07-25 21:45,1.16,3.94
84.4,134,09429070,2018-07-25 22:00,1.14,3.95
84.2,142,09429070,2018-07-25 22:15,1.23,3.93
84.1,137,09429070,2018-07-25 22:30,1.18,3.93
84.0,139,09429070,2018-07-25 22:45,1.19,3.93
83.8,135,09429070,2018-07-25 23:00,1.13,4.01
83.7,140,09429070,2018-07-25 23:15,1.15,4.05
83.6,138,09429070,2018-07-25 23:30,1.13,4.06
83.5,149,09429070,2018-07-25 23:45,1.22,4.08
