BatteryVoltage,Flow,site_no,datetime,Precipitation,GageHeight
,5.77,09497700,2018-07-14 00:00,0.00,0.68
,5.77,09497700,2018-07-14 00:15,0.00,0.68
12.5,5.77,09497700,2018-07-14 00:30,0.00,0.68
,5.77,09497700,2018-07-14 00:45,0.00,0.68
,5.77,09497700,2018-07-14 01:00,0.00,0.68
,5.77,09497700,2018-07-14 01:15,0.00,0.68
12.5,5.77,09497700,2018-07-14 01:30,0.00,0.68
,5.77,09497700,2018-07-14 01:45,0.00,0.68
,5.77,09497700,2018-07-14 02:00,0.00,0.68
,5.77,09497700,2018-07-14 02:15,0.00,0.68
12.5,5.77,09497700,2018-07-14 02:30,0.00,0.68
,5.77,09497700,2018-07-14 02:45,0.00,0.68
,5.77,09497700,2018-07-14 03:00,0.00,0.68
,5.77,09497700,2018-07-14 03:15,0.00,0.68
12.5,5.77,09497700,2018-07-14 03:30,0.00,0.68
,5.76,09497700,2018-07-14 03:45,0.00,0.68
,5.77,09497700,2018-07-14 04:00,0.00,0.68
,5.76,09497700,2018-07-14 04:15,0.00,0.68
12.5,5.76,09497700,2018-07-14 04:30,0.00,0.68
,5.76,09497700,2018-07-14 04:45,0.00,0.68
,5.76,09497700,2018-07-14 05:00,0.00,0.68
,5.76,09497700,2018-07-14 05:15,0.00,0.68
12.5,5.76,09497700,2018-07-14 05:30,0.00,0.68
,5.76,09497700,2018-07-14 05:45,0.00,0.68
,5.76,09497700,2018-07-14 06:00,0.00,0.68
,5.76,09497700,2018-07-14 06:15,0.00,0.68
12.5,5.76,09497700,2018-07-14 06:30,0.00,0.68
,5.76,09497700,2018-07-14 06:45,0.00,0.68
,5.76,09497700,2018-07-14 07:00,0.00,0.68
,5.76,09497700,2018-07-14 07:15,0.00,0.68
12.5,5.76,09497700,2018-07-14 07:30,0.00,0.68
,5.76,09497700,2018-07-14 07:45,0.00,0.68
,5.76,09497700,2018-07-14 08:00,0.00,0.68
,5.76,09497700,2018-07-14 08:15,0.00,0.68
12.8,5.76,09497700,2018-07-14 08:30,0.00,0.68
,5.76,09497700,2018-07-14 08:45,0.00,0.68
,5.76,09497700,2018-07-14 09:00,0.00,0.68
,5.76,09497700,2018-07-14 09:15,0.00,0.68
13.4,5.76,09497700,2018-07-14 09:30,0.00,0.68
,5.77,09497700,2018-07-14 09:45,0.00,0.68
,5.77,09497700,2018-07-14 10:00,0.00,0.68
,5.77,09497700,2018-07-14 10:15,0.00,0.68
13.4,5.77,09497700,2018-07-14 10:30,0.00,0.68
,5.77,09497700,2018-07-14 10:45,0.00,0.68
,5.77,09497700,2018-07-14 11:00,0.00,0.68
,5.77,09497700,2018-07-14 11:15,0.00,0.68
13.4,5.77,09497700,2018-07-14 11:30,0.00,0.68
,5.77,09497700,2018-07-14 11:45,0.00,0.68
,5.77,09497700,2018-07-14 12:00,0.00,0.68
,5.77,09497700,2018-07-14 12:15,0.00,0.68
13.1,5.77,09497700,2018-07-14 12:30,0.00,0.68
,5.77,09497700,2018-07-14 12:45,0.00,0.68
,5.77,09497700,2018-07-14 13:00,0.00,0.68
,5.77,09497700,2018-07-14 13:15,0.00,0.67
13.4,5.77,09497700,2018-07-14 13:30,0.00,0.67
,5.77,09497700,2018-07-14 13:45,0.00,0.67
,5.77,09497700,2018-07-14 14:00,0.00,0.67
,5.77,09497700,2018-07-14 14:15,0.00,0.67
12.8,5.77,09497700,2018-07-14 14:30,0.00,0.67
,5.77,09497700,2018-07-14 14:45,0.00,0.67
,5.77,09497700,2018-07-14 15:00,0.00,0.68
,5.77,09497700,2018-07-14 15:15,0.00,0.67
12.8,5.77,09497700,2018-07-14 15:30,0.00,0.67
,5.77,09497700,2018-07-14 15:45,0.01,0.67
,5.77,09497700,2018-07-14 16:00,0.00,0.67
,5.77,09497700,2018-07-14 16:15,0.00,0.67
12.8,5.77,09497700,2018-07-14 16:30,0.00,0.67
,5.77,09497700,2018-07-14 16:45,0.00,0.67
,5.77,09497700,2018-07-14 17:00,0.00,0.67
,5.76,09497700,2018-07-14 17:15,0.00,0.68
12.5,5.76,09497700,2018-07-14 17:30,0.00,0.68
,5.76,09497700,2018-07-14 17:45,0.00,0.68
,5.76,09497700,2018-07-14 18:00,0.00,0.68
,5.76,09497700,2018-07-14 18:15,0.00,0.68
12.5,5.76,09497700,2018-07-14 18:30,0.03,0.68
,5.77,09497700,2018-07-14 18:45,0.03,0.68
,5.77,09497700,2018-07-14 19:00,0.02,0.67
,5.77,09497700,2018-07-14 19:15,0.02,0.68
12.5,5.77,09497700,2018-07-14 19:30,0.04,0.68
,5.77,09497700,2018-07-14 19:45,0.04,0.68
,5.77,09497700,2018-07-14 20:00,0.03,0.68
,5.77,09497700,2018-07-14 20:15,0.02,0.68
12.5,5.77,09497700,2018-07-14 20:30,0.01,0.68
,5.77,09497700,2018-07-14 20:45,0.01,0.68
,5.77,09497700,2018-07-14 21:00,0.00,0.68
,5.77,09497700,2018-07-14 21:15,0.00,0.68
12.5,5.77,09497700,2018-07-14 21:30,0.00,0.68
,5.77,09497700,2018-07-14 21:45,0.00,0.68
,5.78,09497700,2018-07-14 22:00,0.00,0.68
,5.78,09497700,2018-07-14 22:15,0.00,0.68
12.5,5.78,09497700,2018-07-14 22:30,0.00,0.68
,5.78,09497700,2018-07-14 22:45,0.00,0.68
,5.78,09497700,2018-07-14 23:00,0.00,0.68
,5.78,09497700,2018-07-14 23:15,0.00,0.68
12.5,5.78,09497700,2018-07-14 23:30,0.00,0.68
,5.78,09497700,2018-07-14 23:45,0.00,0.68
