"5ZZA2C04DD73A099C",2005,"260 SC",27114,10,8
"5ZZ822948BCA3E6B2",2007,"CK 9000",1107,4,6
"5ZZ873E4BC2115295",2009,"260 SC",32273,1,1
"5ZZB39141C7DC0590",2009,"XZR 2000",14462,9,1
"5ZZA83D42669F9FBE",2010,"422S",26258,4,1
"5ZZB5BA448064DB0E",2006,"260 SC",13754,5,7
"5ZZB2DD43D894F67E",2001,"CK 9000",27506,4,3
"5ZZ8DF94E094ACCEE",2002,"260 SC",16554,3,1
"5ZZB0C14BAEF7DF0A",2005,"XZR 2000",16818,9,2
"5ZZ94CA45E19F5EE8",2002,"422S",27893,6,6
"5ZZA62749154036AC",2005,"950GT",30919,9,2
"5ZZ8B694CB95DD831",2001,"422S",16432,2,4
"5ZZ966B423DCEC151",2004,"422S",23402,5,8
"5ZZ8FFB4B6CB92805",2010,"CK 9000",26631,4,6
"5ZZ97D7418A3C65C7",2008,"950GT",20971,7,1
"5ZZA29A48C1F40D4E",2005,"260 SC",7029,1,1
"5ZZ8A6A4EE098B695",2008,"XZR 2000",12068,2,4
"5ZZA06D4E4208B2E5",2005,"422S",24821,5,4
"5ZZB6F345B87609C5",2011,"422S",22466,2,6
"5ZZ98A1402965D0A6",2007,"XZR 2000",30235,9,1
"5ZZ80984FC7E5B453",2004,"260 SC",4275,2,7
"5ZZ99DA4247FB8357",2005,"950GT",25485,9,4
"5ZZA9A04381EC2E07",2005,"422S",32579,9,1
"5ZZA9584CD3B332AC",2001,"260 SC",2694,5,1
"5ZZADF149A9201E3C",2007,"260 SC",7475,10,2
"5ZZ83D240DDF943E8",2001,"422S",29928,8,6
"5ZZ88A442A43AA3EC",2011,"950GT",15945,8,1
"5ZZA4E84C58BCCCFB",2011,"950GT",29638,4,3
"5ZZB5A649BCCC0ED2",2012,"260 SC",29492,7,1
"5ZZ9E844C361BD6BD",2001,"260 SC",34789,7,1
"5ZZB08A435AA006FB",2011,"422S",14995,8,2
"5ZZ9AA240823503CC",2008,"XZR 2000",9001,6,8
"5ZZA37343A58F2783",2006,"950GT",8323,6,1
"5ZZ9E5C48E5307B48",2004,"XZR 2000",31142,5,6
"5ZZ95DA4614D836A5",2004,"CK 9000",11109,7,5
"5ZZ96944C2740A38B",2007,"422S",5620,8,8
"5ZZA48D4FC902FCD4",2008,"422S",23100,8,1
"5ZZ9F8A473E836C85",2002,"CK 9000",3709,2,1
"5ZZA9E34901010355",2008,"XZR 2000",8721,7,1
"5ZZ88144608E96CE2",2008,"950GT",27234,1,7
"5ZZ960646D3508006",2006,"XZR 2000",22107,2,7
"5ZZ959A40784642B4",2001,"422S",17522,9,3
"5ZZ9063435161519F",2011,"422S",21020,3,1
"5ZZAEBD4160C93BF8",2005,"CK 9000",22422,4,8
"5ZZ82244D3024ED40",2009,"950GT",31400,6,8
"5ZZ96E349F035FBD1",2001,"260 SC",5150,5,1
"5ZZBD6C46BE19AF11",2010,"260 SC",17799,3,1
