Temp,Flow,site_no,datetime,Conductance,Precipitation,GageHeight
11.6,11500,09380000,2018-07-05 00:00,674,0.00,9.00
11.6,11500,09380000,2018-07-05 00:15,674,0.00,9.00
11.6,11500,09380000,2018-07-05 00:30,675,0.00,9.00
11.6,11500,09380000,2018-07-05 00:45,670,0.00,9.00
11.5,11400,09380000,2018-07-05 01:00,672,0.00,8.99
11.5,11400,09380000,2018-07-05 01:15,672,0.00,8.99
11.4,11400,09380000,2018-07-05 01:30,677,0.00,8.98
11.4,11400,09380000,2018-07-05 01:45,672,0.00,8.99
11.4,11500,09380000,2018-07-05 02:00,672,0.00,9.00
11.3,11500,09380000,2018-07-05 02:15,671,0.00,9.00
11.3,11400,09380000,2018-07-05 02:30,671,0.00,8.99
11.2,11400,09380000,2018-07-05 02:45,671,0.00,8.99
11.2,11400,09380000,2018-07-05 03:00,671,0.00,8.99
11.1,11400,09380000,2018-07-05 03:15,671,0.00,8.97
11.1,11200,09380000,2018-07-05 03:30,668,0.00,8.94
11.0,11300,09380000,2018-07-05 03:45,667,0.00,8.95
11.0,11200,09380000,2018-07-05 04:00,668,0.00,8.93
11.0,11100,09380000,2018-07-05 04:15,668,0.00,8.92
10.9,11100,09380000,2018-07-05 04:30,668,0.00,8.90
10.9,11000,09380000,2018-07-05 04:45,666,0.00,8.88
10.8,11000,09380000,2018-07-05 05:00,667,0.00,8.88
10.8,10800,09380000,2018-07-05 05:15,666,0.00,8.85
10.7,10800,09380000,2018-07-05 05:30,664,0.00,8.84
10.7,10800,09380000,2018-07-05 05:45,661,0.00,8.83
10.7,10700,09380000,2018-07-05 06:00,662,0.00,8.82
10.7,10700,09380000,2018-07-05 06:15,660,0.00,8.81
10.6,10600,09380000,2018-07-05 06:30,662,0.00,8.80
10.6,10600,09380000,2018-07-05 06:45,662,0.00,8.80
10.6,10600,09380000,2018-07-05 07:00,662,0.00,8.79
10.6,10600,09380000,2018-07-05 07:15,662,0.00,8.78
10.6,10600,09380000,2018-07-05 07:30,662,0.00,8.78
10.7,10600,09380000,2018-07-05 07:45,661,0.00,8.79
10.7,10700,09380000,2018-07-05 08:00,662,0.00,8.81
10.7,10800,09380000,2018-07-05 08:15,662,0.00,8.84
10.8,11000,09380000,2018-07-05 08:30,662,0.00,8.88
10.8,11200,09380000,2018-07-05 08:45,661,0.00,8.93
10.8,11500,09380000,2018-07-05 09:00,662,0.00,9.01
10.8,11800,09380000,2018-07-05 09:15,662,0.00,9.08
10.8,12200,09380000,2018-07-05 09:30,664,0.00,9.17
10.9,12700,09380000,2018-07-05 09:45,664,0.00,9.27
10.9,13100,09380000,2018-07-05 10:00,664,0.00,9.36
10.9,13600,09380000,2018-07-05 10:15,665,0.00,9.47
11.0,14100,09380000,2018-07-05 10:30,666,0.00,9.57
11.0,14600,09380000,2018-07-05 10:45,664,0.00,9.67
11.0,15200,09380000,2018-07-05 11:00,666,0.00,9.78
11.0,15500,09380000,2018-07-05 11:15,666,0.00,9.85
11.0,16000,09380000,2018-07-05 11:30,666,0.00,9.93
