BatteryVoltage,Flow,site_no,datetime,Precipitation,GageHeight
,0.00,09400815,2018-07-10 00:00,0.00,-0.01
12.6,,09400815,2018-07-10 00:07,,
,0.00,09400815,2018-07-10 00:15,0.00,-0.01
,0.00,09400815,2018-07-10 00:30,0.00,-0.01
,0.00,09400815,2018-07-10 00:45,0.00,-0.01
,0.00,09400815,2018-07-10 01:00,0.00,-0.01
12.6,,09400815,2018-07-10 01:07,,
,0.00,09400815,2018-07-10 01:15,0.00,-0.01
,0.00,09400815,2018-07-10 01:30,0.00,-0.01
,0.00,09400815,2018-07-10 01:45,0.00,-0.01
,0.00,09400815,2018-07-10 02:00,0.00,-0.01
12.6,,09400815,2018-07-10 02:07,,
,0.00,09400815,2018-07-10 02:15,0.00,-0.01
,0.00,09400815,2018-07-10 02:30,0.00,-0.01
,0.00,09400815,2018-07-10 02:45,0.00,-0.01
,0.00,09400815,2018-07-10 03:00,0.00,-0.01
12.6,,09400815,2018-07-10 03:07,,
,0.00,09400815,2018-07-10 03:15,0.00,-0.01
,0.00,09400815,2018-07-10 03:30,0.00,-0.01
,0.00,09400815,2018-07-10 03:45,0.00,-0.01
,0.00,09400815,2018-07-10 04:00,0.00,-0.01
12.6,,09400815,2018-07-10 04:07,,
,0.00,09400815,2018-07-10 04:15,0.00,-0.01
,0.00,09400815,2018-07-10 04:30,0.00,-0.01
,0.00,09400815,2018-07-10 04:45,0.00,-0.01
,0.00,09400815,2018-07-10 05:00,0.00,-0.01
12.6,,09400815,2018-07-10 05:07,,
,0.00,09400815,2018-07-10 05:15,0.00,-0.01
,0.00,09400815,2018-07-10 05:30,0.00,-0.01
,0.00,09400815,2018-07-10 05:45,0.00,-0.01
,0.00,09400815,2018-07-10 06:00,0.00,-0.01
12.5,,09400815,2018-07-10 06:07,,
,0.00,09400815,2018-07-10 06:15,0.00,-0.01
,0.00,09400815,2018-07-10 06:30,0.00,-0.01
,0.00,09400815,2018-07-10 06:45,0.00,-0.01
,0.00,09400815,2018-07-10 07:00,0.00,-0.01
12.5,,09400815,2018-07-10 07:07,,
,0.00,09400815,2018-07-10 07:15,0.00,-0.01
,0.00,09400815,2018-07-10 07:30,0.00,-0.01
,0.00,09400815,2018-07-10 07:45,0.00,-0.01
,0.00,09400815,2018-07-10 08:00,0.00,-0.01
12.6,,09400815,2018-07-10 08:07,,
,0.00,09400815,2018-07-10 08:15,0.00,-0.01
,0.00,09400815,2018-07-10 08:30,0.00,-0.01
,0.00,09400815,2018-07-10 08:45,0.00,-0.01
,0.00,09400815,2018-07-10 09:00,0.00,-0.01
12.7,,09400815,2018-07-10 09:07,,
,0.00,09400815,2018-07-10 09:15,0.00,-0.01
,0.00,09400815,2018-07-10 09:30,0.00,-0.01
,0.00,09400815,2018-07-10 09:45,0.00,-0.01
,0.00,09400815,2018-07-10 10:00,0.00,-0.01
13.2,,09400815,2018-07-10 10:07,,
,0.00,09400815,2018-07-10 10:15,0.00,-0.01
,0.00,09400815,2018-07-10 10:30,0.00,-0.01
,0.00,09400815,2018-07-10 10:45,0.00,-0.01
,0.00,09400815,2018-07-10 11:00,0.00,-0.01
13.1,,09400815,2018-07-10 11:07,,
,0.00,09400815,2018-07-10 11:15,0.03,-0.01
,0.00,09400815,2018-07-10 11:30,0.00,-0.01
,0.00,09400815,2018-07-10 11:45,0.01,-0.01
,0.00,09400815,2018-07-10 12:00,0.00,-0.01
12.9,,09400815,2018-07-10 12:07,,
,0.00,09400815,2018-07-10 12:15,0.00,-0.01
,0.00,09400815,2018-07-10 12:30,0.00,-0.01
,0.00,09400815,2018-07-10 12:45,0.00,-0.01
,0.00,09400815,2018-07-10 13:00,0.00,-0.01
13.3,,09400815,2018-07-10 13:07,,
,0.00,09400815,2018-07-10 13:15,0.00,-0.01
,0.00,09400815,2018-07-10 13:30,0.03,-0.01
,0.00,09400815,2018-07-10 13:45,0.00,-0.01
,0.00,09400815,2018-07-10 14:00,0.00,-0.01
13.1,,09400815,2018-07-10 14:07,,
,0.00,09400815,2018-07-10 14:15,0.00,-0.01
,0.00,09400815,2018-07-10 14:30,0.00,-0.01
,0.00,09400815,2018-07-10 14:45,0.00,-0.01
,0.00,09400815,2018-07-10 15:00,0.00,-0.01
12.9,,09400815,2018-07-10 15:07,,
,0.00,09400815,2018-07-10 15:15,0.00,-0.01
,0.00,09400815,2018-07-10 15:30,0.00,-0.01
,0.00,09400815,2018-07-10 15:45,0.00,-0.01
,0.00,09400815,2018-07-10 16:00,0.00,-0.01
13.0,,09400815,2018-07-10 16:07,,
,0.00,09400815,2018-07-10 16:15,0.00,-0.01
,0.00,09400815,2018-07-10 16:30,0.00,-0.01
,0.00,09400815,2018-07-10 16:45,0.00,-0.01
,0.00,09400815,2018-07-10 17:00,0.00,-0.01
13.0,,09400815,2018-07-10 17:07,,
,0.00,09400815,2018-07-10 17:15,0.00,-0.01
,0.00,09400815,2018-07-10 17:30,0.00,-0.01
,0.00,09400815,2018-07-10 17:45,0.00,-0.01
,0.00,09400815,2018-07-10 18:00,0.00,-0.01
13.1,,09400815,2018-07-10 18:07,,
,0.00,09400815,2018-07-10 18:15,0.00,-0.01
,0.00,09400815,2018-07-10 18:30,0.00,-0.01
,0.00,09400815,2018-07-10 18:45,0.01,-0.01
,0.00,09400815,2018-07-10 19:00,0.00,-0.01
12.9,,09400815,2018-07-10 19:07,,
,0.00,09400815,2018-07-10 19:15,0.00,-0.01
,0.00,09400815,2018-07-10 19:30,0.00,-0.01
,0.00,09400815,2018-07-10 19:45,0.01,-0.01
,0.00,09400815,2018-07-10 20:00,0.02,-0.01
12.8,,09400815,2018-07-10 20:07,,
,0.00,09400815,2018-07-10 20:15,0.00,-0.01
,0.00,09400815,2018-07-10 20:30,0.00,-0.01
