WaterVelocity,Temp,Flow,site_no,datetime,GageHeight
1.70,71.6,83.1,09423560,2018-07-05 00:00,7.39
1.72,71.6,85.3,09423560,2018-07-05 00:15,7.43
1.71,71.5,85.5,09423560,2018-07-05 00:30,7.45
1.73,71.4,87.4,09423560,2018-07-05 00:45,7.48
1.75,71.4,89.4,09423560,2018-07-05 01:00,7.51
1.75,71.3,90.0,09423560,2018-07-05 01:15,7.53
1.73,71.2,90.0,09423560,2018-07-05 01:30,7.56
1.77,71.1,92.0,09423560,2018-07-05 01:45,7.56
1.74,71.0,91.1,09423560,2018-07-05 02:00,7.58
1.79,70.9,93.4,09423560,2018-07-05 02:15,7.57
1.73,70.8,90.9,09423560,2018-07-05 02:30,7.59
1.74,70.7,91.4,09423560,2018-07-05 02:45,7.59
1.72,70.6,90.1,09423560,2018-07-05 03:00,7.58
1.68,70.5,87.7,09423560,2018-07-05 03:15,7.57
1.69,70.4,87.6,09423560,2018-07-05 03:30,7.55
1.70,70.2,87.5,09423560,2018-07-05 03:45,7.53
1.69,70.1,86.4,09423560,2018-07-05 04:00,7.51
1.68,70.0,84.6,09423560,2018-07-05 04:15,7.47
1.49,69.9,73.4,09423560,2018-07-05 04:30,7.42
1.53,69.8,74.2,09423560,2018-07-05 04:45,7.38
1.53,69.7,73.0,09423560,2018-07-05 05:00,7.34
1.50,69.6,70.0,09423560,2018-07-05 05:15,7.28
1.44,69.5,65.4,09423560,2018-07-05 05:30,7.21
1.44,69.4,63.8,09423560,2018-07-05 05:45,7.15
1.42,69.3,61.3,09423560,2018-07-05 06:00,7.09
1.27,69.2,53.3,09423560,2018-07-05 06:15,7.02
1.27,69.2,51.6,09423560,2018-07-05 06:30,6.94
1.21,69.1,47.8,09423560,2018-07-05 06:45,6.86
1.20,69.1,45.9,09423560,2018-07-05 07:00,6.78
1.11,69.1,41.0,09423560,2018-07-05 07:15,6.69
1.09,69.1,38.7,09423560,2018-07-05 07:30,6.60
1.05,69.1,36.0,09423560,2018-07-05 07:45,6.52
0.96,69.2,31.5,09423560,2018-07-05 08:00,6.42
0.88,69.3,27.5,09423560,2018-07-05 08:15,6.34
0.73,69.4,21.9,09423560,2018-07-05 08:30,6.25
0.73,69.6,20.9,09423560,2018-07-05 08:45,6.16
0.69,69.8,18.9,09423560,2018-07-05 09:00,6.08
0.52,70.1,13.7,09423560,2018-07-05 09:15,6.00
0.35,70.4,8.90,09423560,2018-07-05 09:30,5.92
0.21,70.9,5.03,09423560,2018-07-05 09:45,5.86
0.39,71.7,9.22,09423560,2018-07-05 10:00,5.79
,73.1,9.14,09423560,2018-07-05 10:15,5.76
,73.7,9.21,09423560,2018-07-05 10:30,5.76
0.40,74.2,9.45,09423560,2018-07-05 10:45,5.79
,74.7,8.56,09423560,2018-07-05 11:00,5.83
,75.1,7.58,09423560,2018-07-05 11:15,5.86
0.27,75.4,6.43,09423560,2018-07-05 11:30,5.85
,76.0,6.09,09423560,2018-07-05 11:45,5.82
0.25,76.5,5.83,09423560,2018-07-05 12:00,5.81
,76.8,5.83,09423560,2018-07-05 12:15,5.81
0.25,77.1,5.92,09423560,2018-07-05 12:30,5.84
0.11,77.5,2.63,09423560,2018-07-05 12:45,5.86
0.19,78.1,4.55,09423560,2018-07-05 13:00,5.86
,78.5,3.95,09423560,2018-07-05 13:15,5.86
0.14,78.9,3.33,09423560,2018-07-05 13:30,5.85
0.11,79.4,2.58,09423560,2018-07-05 13:45,5.82
0.31,79.7,7.30,09423560,2018-07-05 14:00,5.83
,80.2,5.57,09423560,2018-07-05 14:15,5.84
0.16,80.6,3.75,09423560,2018-07-05 14:30,5.82
0.14,81.1,3.32,09423560,2018-07-05 14:45,5.84
0.19,81.4,4.55,09423560,2018-07-05 15:00,5.86
0.07,82.1,1.63,09423560,2018-07-05 15:15,5.81
0.21,82.6,4.87,09423560,2018-07-05 15:30,5.80
,83.0,5.51,09423560,2018-07-05 15:45,5.82
0.26,83.5,6.09,09423560,2018-07-05 16:00,5.82
0.07,83.7,1.65,09423560,2018-07-05 16:15,5.83
0.22,83.8,5.18,09423560,2018-07-05 16:30,5.83
0.21,84.0,4.87,09423560,2018-07-05 16:45,5.80
0.45,84.2,10.7,09423560,2018-07-05 17:00,5.80
0.27,84.2,6.26,09423560,2018-07-05 17:15,5.80
0.25,84.3,5.86,09423560,2018-07-05 17:30,5.82
0.10,84.1,2.36,09423560,2018-07-05 17:45,5.83
,84.1,3.81,09423560,2018-07-05 18:00,5.81
,84.2,5.31,09423560,2018-07-05 18:15,5.82
0.29,81.4,6.80,09423560,2018-07-05 18:30,5.82
0.40,79.6,9.82,09423560,2018-07-05 18:45,5.86
0.41,77.6,10.2,09423560,2018-07-05 19:00,5.89
0.52,74.1,13.1,09423560,2018-07-05 19:15,5.92
0.54,73.0,13.8,09423560,2018-07-05 19:30,5.95
0.73,72.4,18.9,09423560,2018-07-05 19:45,5.98
0.69,72.1,18.4,09423560,2018-07-05 20:00,6.03
0.82,71.9,22.5,09423560,2018-07-05 20:15,6.09
0.88,71.8,25.0,09423560,2018-07-05 20:30,6.15
0.97,71.8,28.7,09423560,2018-07-05 20:45,6.21
1.01,71.8,30.9,09423560,2018-07-05 21:00,6.28
1.13,71.8,35.9,09423560,2018-07-05 21:15,6.36
1.22,71.9,40.2,09423560,2018-07-05 21:30,6.44
1.25,72.0,42.8,09423560,2018-07-05 21:45,6.52
1.31,72.1,46.6,09423560,2018-07-05 22:00,6.61
1.39,72.2,51.3,09423560,2018-07-05 22:15,6.70
1.44,72.4,55.4,09423560,2018-07-05 22:30,6.80
1.52,72.5,60.5,09423560,2018-07-05 22:45,6.89
1.55,72.6,63.8,09423560,2018-07-05 23:00,6.98
1.64,72.6,70.8,09423560,2018-07-05 23:15,7.08
1.67,72.7,74.9,09423560,2018-07-05 23:30,7.17
1.72,72.7,79.6,09423560,2018-07-05 23:45,7.25
