Temp,Flow,site_no,datetime,Velocity,GageHeight
81.7,106,09429070,2018-07-09 00:00,0.70,4.77
81.7,106,09429070,2018-07-09 00:15,0.70,4.77
81.6,113,09429070,2018-07-09 00:30,0.75,4.77
81.4,119,09429070,2018-07-09 00:45,0.79,4.77
81.3,111,09429070,2018-07-09 01:00,0.74,4.78
81.3,110,09429070,2018-07-09 01:15,0.73,4.80
81.2,118,09429070,2018-07-09 01:30,0.77,4.84
81.2,137,09429070,2018-07-09 01:45,0.77,5.42
81.2,180,09429070,2018-07-09 02:00,,6.22
81.2,150,09429070,2018-07-09 02:15,0.94,4.99
81.0,103,09429070,2018-07-09 02:30,0.67,4.87
80.8,98.3,09429070,2018-07-09 02:45,0.60,5.06
80.8,117,09429070,2018-07-09 03:00,0.71,5.12
80.7,113,09429070,2018-07-09 03:15,0.66,5.31
80.7,108,09429070,2018-07-09 03:30,0.61,5.45
80.6,114,09429070,2018-07-09 03:45,0.62,5.59
80.6,115,09429070,2018-07-09 04:00,0.60,5.72
80.5,114,09429070,2018-07-09 04:15,0.59,5.81
80.5,113,09429070,2018-07-09 04:30,0.58,5.87
80.4,103,09429070,2018-07-09 04:45,0.51,6.01
80.4,108,09429070,2018-07-09 05:00,0.53,6.11
80.3,110,09429070,2018-07-09 05:15,0.53,6.17
80.2,112,09429070,2018-07-09 05:30,0.53,6.22
80.1,112,09429070,2018-07-09 05:45,0.53,6.25
80.1,110,09429070,2018-07-09 06:00,0.52,6.28
80.0,118,09429070,2018-07-09 06:15,0.55,6.32
79.9,114,09429070,2018-07-09 06:30,0.53,6.33
79.9,115,09429070,2018-07-09 06:45,0.53,6.36
79.8,109,09429070,2018-07-09 07:00,0.49,6.48
79.8,119,09429070,2018-07-09 07:15,0.53,6.53
79.7,114,09429070,2018-07-09 07:30,0.51,6.57
79.7,114,09429070,2018-07-09 07:45,0.50,6.60
79.7,115,09429070,2018-07-09 08:00,0.50,6.63
79.7,120,09429070,2018-07-09 08:15,0.53,6.64
79.7,113,09429070,2018-07-09 08:30,0.49,6.66
79.7,108,09429070,2018-07-09 08:45,0.47,6.66
79.8,116,09429070,2018-07-09 09:00,0.50,6.68
79.8,123,09429070,2018-07-09 09:15,0.53,6.69
79.8,121,09429070,2018-07-09 09:30,0.53,6.69
79.9,136,09429070,2018-07-09 09:45,0.60,6.62
79.9,135,09429070,2018-07-09 10:00,0.60,6.60
80.0,131,09429070,2018-07-09 10:15,0.58,6.58
80.0,133,09429070,2018-07-09 10:30,0.59,6.56
80.2,121,09429070,2018-07-09 10:45,0.54,6.57
80.3,121,09429070,2018-07-09 11:00,0.54,6.55
