GageHeight2,Flow,site_no,datetime,Precipitation,GageHeight
6.73,3.40,09474000,2018-07-02 00:00,0.00,3.68
6.73,3.40,09474000,2018-07-02 00:15,0.00,3.69
6.73,3.40,09474000,2018-07-02 00:30,0.00,3.69
6.73,3.40,09474000,2018-07-02 00:45,0.00,3.69
6.73,3.40,09474000,2018-07-02 01:00,0.00,3.69
6.73,3.40,09474000,2018-07-02 01:15,0.00,3.70
6.73,3.40,09474000,2018-07-02 01:30,0.00,3.69
6.73,3.40,09474000,2018-07-02 01:45,0.00,3.70
6.73,3.40,09474000,2018-07-02 02:00,0.00,3.69
6.73,3.40,09474000,2018-07-02 02:15,0.00,3.69
6.73,3.40,09474000,2018-07-02 02:30,0.00,3.69
,,09474000,2018-07-02 02:45,0.00,3.69
6.73,3.40,09474000,2018-07-02 03:00,0.00,3.69
6.73,3.40,09474000,2018-07-02 03:15,0.00,3.69
6.73,3.40,09474000,2018-07-02 03:30,0.00,3.70
6.73,3.40,09474000,2018-07-02 03:45,0.00,3.69
6.73,3.40,09474000,2018-07-02 04:00,0.00,3.69
6.73,3.40,09474000,2018-07-02 04:15,0.00,3.68
6.73,3.40,09474000,2018-07-02 04:30,0.00,3.68
6.73,3.40,09474000,2018-07-02 04:45,0.00,3.70
6.73,3.40,09474000,2018-07-02 05:00,0.00,3.70
6.73,3.40,09474000,2018-07-02 05:15,0.00,3.70
6.73,3.40,09474000,2018-07-02 05:30,0.00,3.70
6.73,3.40,09474000,2018-07-02 05:45,0.00,3.69
6.73,3.40,09474000,2018-07-02 06:00,0.00,3.70
6.73,3.40,09474000,2018-07-02 06:15,0.00,3.69
6.73,3.40,09474000,2018-07-02 06:30,0.00,3.69
6.73,3.40,09474000,2018-07-02 06:45,0.00,3.69
6.73,3.40,09474000,2018-07-02 07:00,0.00,3.70
6.73,3.40,09474000,2018-07-02 07:15,0.00,3.70
6.74,3.88,09474000,2018-07-02 07:30,0.00,3.70
6.74,3.88,09474000,2018-07-02 07:45,0.00,3.70
6.74,3.88,09474000,2018-07-02 08:00,0.00,3.70
6.74,3.88,09474000,2018-07-02 08:15,0.00,3.70
6.74,3.88,09474000,2018-07-02 08:30,0.00,3.70
6.74,3.88,09474000,2018-07-02 08:45,0.00,3.69
6.74,3.88,09474000,2018-07-02 09:00,0.00,3.69
6.74,3.88,09474000,2018-07-02 09:15,0.00,3.68
6.74,3.88,09474000,2018-07-02 09:30,0.00,3.69
6.74,3.88,09474000,2018-07-02 09:45,0.00,3.70
6.74,3.88,09474000,2018-07-02 10:00,0.00,3.69
6.74,3.88,09474000,2018-07-02 10:15,0.00,3.69
6.74,3.88,09474000,2018-07-02 10:30,0.00,3.69
6.74,3.88,09474000,2018-07-02 10:45,0.00,3.69
6.74,3.88,09474000,2018-07-02 11:00,0.00,3.69
