GageHeight2,Flow,site_no,datetime,Precipitation,GageHeight
1.23,0.00,09396100,2018-07-25 00:00,0.00,0.30
1.23,0.00,09396100,2018-07-25 00:15,0.00,0.30
1.23,0.00,09396100,2018-07-25 00:30,0.00,0.31
1.23,0.00,09396100,2018-07-25 00:45,0.00,0.30
1.23,0.00,09396100,2018-07-25 01:00,0.00,0.28
1.23,0.00,09396100,2018-07-25 01:15,0.00,0.28
1.23,0.00,09396100,2018-07-25 01:30,0.00,0.28
1.23,0.00,09396100,2018-07-25 01:45,0.00,0.28
1.24,0.00,09396100,2018-07-25 02:00,0.00,0.25
1.24,0.00,09396100,2018-07-25 02:15,0.00,0.25
1.23,0.00,09396100,2018-07-25 02:30,0.00,0.25
1.23,0.00,09396100,2018-07-25 02:45,0.00,0.25
1.23,0.00,09396100,2018-07-25 03:00,0.00,0.25
1.23,0.00,09396100,2018-07-25 03:15,0.00,0.24
1.23,0.00,09396100,2018-07-25 03:30,0.00,0.24
1.23,0.00,09396100,2018-07-25 03:45,0.00,0.25
1.23,0.00,09396100,2018-07-25 04:00,0.00,0.25
1.23,0.00,09396100,2018-07-25 04:15,0.00,0.23
1.23,0.00,09396100,2018-07-25 04:30,0.00,0.23
1.23,0.00,09396100,2018-07-25 04:45,0.00,0.24
1.23,0.00,09396100,2018-07-25 05:00,0.00,0.24
1.23,0.00,09396100,2018-07-25 05:15,0.00,0.24
1.23,0.00,09396100,2018-07-25 05:30,0.00,0.21
1.23,0.00,09396100,2018-07-25 05:45,0.00,0.22
1.23,0.00,09396100,2018-07-25 06:00,0.00,0.23
1.23,0.00,09396100,2018-07-25 06:15,0.00,0.23
1.23,0.00,09396100,2018-07-25 06:30,0.00,0.21
1.23,0.00,09396100,2018-07-25 06:45,0.00,0.21
1.23,0.00,09396100,2018-07-25 07:00,0.00,0.22
1.23,0.00,09396100,2018-07-25 07:15,0.00,0.19
1.23,0.00,09396100,2018-07-25 07:30,0.00,0.20
1.23,0.00,09396100,2018-07-25 07:45,0.00,0.21
1.23,0.00,09396100,2018-07-25 08:00,0.00,0.19
1.23,0.00,09396100,2018-07-25 08:15,0.00,0.19
1.23,0.00,09396100,2018-07-25 08:30,0.00,0.20
1.23,0.00,09396100,2018-07-25 08:45,0.00,0.17
1.23,0.00,09396100,2018-07-25 09:00,0.00,0.18
1.23,0.00,09396100,2018-07-25 09:15,0.00,0.18
1.23,0.00,09396100,2018-07-25 09:30,0.00,0.16
1.24,0.00,09396100,2018-07-25 09:45,0.00,0.16
1.24,0.00,09396100,2018-07-25 10:00,0.00,0.16
1.23,0.00,09396100,2018-07-25 10:15,0.00,0.14
1.24,0.00,09396100,2018-07-25 10:30,0.00,0.14
1.24,0.00,09396100,2018-07-25 10:45,0.00,0.14
1.24,0.00,09396100,2018-07-25 11:00,0.00,0.14
