WaterVelocity,Temp,Flow,site_no,datetime,GageHeight
1.84,72.6,104,09423560,2018-07-08 00:00,7.82
1.81,72.7,104,09423560,2018-07-08 00:15,7.86
1.83,72.7,107,09423560,2018-07-08 00:30,7.91
1.90,72.6,111,09423560,2018-07-08 00:45,7.93
1.89,72.6,112,09423560,2018-07-08 01:00,7.96
1.88,72.6,112,09423560,2018-07-08 01:15,7.98
1.91,72.5,115,09423560,2018-07-08 01:30,8.01
1.89,72.4,114,09423560,2018-07-08 01:45,8.01
1.86,72.3,113,09423560,2018-07-08 02:00,8.04
1.91,72.2,116,09423560,2018-07-08 02:15,8.03
1.93,72.1,117,09423560,2018-07-08 02:30,8.03
1.89,72.0,114,09423560,2018-07-08 02:45,8.03
1.88,71.9,113,09423560,2018-07-08 03:00,8.02
1.86,71.8,111,09423560,2018-07-08 03:15,8.00
1.82,71.7,108,09423560,2018-07-08 03:30,7.99
1.84,71.6,110,09423560,2018-07-08 03:45,7.98
1.82,71.4,107,09423560,2018-07-08 04:00,7.95
1.71,71.3,100,09423560,2018-07-08 04:15,7.92
1.67,71.2,96.6,09423560,2018-07-08 04:30,7.88
1.70,71.2,97.0,09423560,2018-07-08 04:45,7.84
1.66,71.1,93.3,09423560,2018-07-08 05:00,7.79
1.60,71.0,88.8,09423560,2018-07-08 05:15,7.75
1.61,71.0,87.8,09423560,2018-07-08 05:30,7.70
1.57,71.0,83.1,09423560,2018-07-08 05:45,7.63
1.59,71.0,83.0,09423560,2018-07-08 06:00,7.59
1.57,71.0,79.7,09423560,2018-07-08 06:15,7.51
1.49,71.0,73.7,09423560,2018-07-08 06:30,7.44
1.41,71.0,68.0,09423560,2018-07-08 06:45,7.37
1.40,71.0,65.7,09423560,2018-07-08 07:00,7.30
1.38,71.0,62.5,09423560,2018-07-08 07:15,7.21
1.30,71.0,56.8,09423560,2018-07-08 07:30,7.12
1.24,71.1,52.4,09423560,2018-07-08 07:45,7.04
1.13,71.1,45.9,09423560,2018-07-08 08:00,6.94
1.14,71.4,44.6,09423560,2018-07-08 08:15,6.84
1.07,71.2,40.2,09423560,2018-07-08 08:30,6.74
0.97,71.2,35.0,09423560,2018-07-08 08:45,6.64
0.93,71.2,32.0,09423560,2018-07-08 09:00,6.55
0.92,71.7,30.1,09423560,2018-07-08 09:15,6.44
0.90,72.0,28.3,09423560,2018-07-08 09:30,6.36
