Temp,Flow,site_no,datetime,Velocity,GageHeight
83.6,170,09429070,2018-07-14 00:00,0.96,5.41
83.5,173,09429070,2018-07-14 00:15,0.96,5.48
83.4,168,09429070,2018-07-14 00:30,0.92,5.54
83.3,164,09429070,2018-07-14 00:45,0.87,5.68
83.2,164,09429070,2018-07-14 01:00,0.85,5.77
83.1,166,09429070,2018-07-14 01:15,0.85,5.83
83.0,153,09429070,2018-07-14 01:30,0.76,5.96
82.9,156,09429070,2018-07-14 01:45,0.76,6.07
82.8,149,09429070,2018-07-14 02:00,0.72,6.13
82.7,149,09429070,2018-07-14 02:15,0.71,6.19
82.7,150,09429070,2018-07-14 02:30,0.70,6.32
82.6,148,09429070,2018-07-14 02:45,0.68,6.41
82.5,153,09429070,2018-07-14 03:00,0.69,6.47
82.4,157,09429070,2018-07-14 03:15,0.70,6.51
82.4,145,09429070,2018-07-14 03:30,0.65,6.54
82.3,135,09429070,2018-07-14 03:45,0.59,6.64
82.2,146,09429070,2018-07-14 04:00,0.63,6.72
82.1,154,09429070,2018-07-14 04:15,0.66,6.78
82.0,149,09429070,2018-07-14 04:30,0.63,6.82
81.9,152,09429070,2018-07-14 04:45,0.64,6.84
81.9,139,09429070,2018-07-14 05:00,0.59,6.86
81.8,155,09429070,2018-07-14 05:15,0.67,6.76
81.8,153,09429070,2018-07-14 05:30,0.66,6.73
81.7,158,09429070,2018-07-14 05:45,0.68,6.71
81.6,150,09429070,2018-07-14 06:00,0.65,6.69
81.6,149,09429070,2018-07-14 06:15,0.65,6.68
81.5,147,09429070,2018-07-14 06:30,0.64,6.67
81.5,156,09429070,2018-07-14 06:45,0.68,6.65
81.5,157,09429070,2018-07-14 07:00,0.69,6.66
81.4,151,09429070,2018-07-14 07:15,0.66,6.65
81.4,151,09429070,2018-07-14 07:30,0.66,6.65
81.5,148,09429070,2018-07-14 07:45,0.65,6.64
81.6,150,09429070,2018-07-14 08:00,0.66,6.64
81.6,139,09429070,2018-07-14 08:15,0.62,6.56
81.6,156,09429070,2018-07-14 08:30,0.71,6.46
81.6,154,09429070,2018-07-14 08:45,0.70,6.41
81.6,148,09429070,2018-07-14 09:00,0.68,6.38
81.6,150,09429070,2018-07-14 09:15,0.70,6.34
81.7,168,09429070,2018-07-14 09:30,0.80,6.20
81.8,164,09429070,2018-07-14 09:45,0.80,6.11
82.0,157,09429070,2018-07-14 10:00,0.77,6.06
82.2,162,09429070,2018-07-14 10:15,0.80,6.01
82.3,166,09429070,2018-07-14 10:30,0.83,5.97
82.5,173,09429070,2018-07-14 10:45,0.89,5.84
82.7,162,09429070,2018-07-14 11:00,0.85,5.74
82.9,168,09429070,2018-07-14 11:15,0.89,5.68
