BatteryVoltage,Flow,site_no,datetime,Precipitation,GageHeight
,0.00,09400815,2018-06-27 00:00,0.00,-0.01
12.6,,09400815,2018-06-27 00:07,,
,0.00,09400815,2018-06-27 00:15,0.00,-0.01
,0.00,09400815,2018-06-27 00:30,0.00,-0.01
,0.00,09400815,2018-06-27 00:45,0.00,-0.01
,0.00,09400815,2018-06-27 01:00,0.00,-0.01
12.6,,09400815,2018-06-27 01:07,,
,0.00,09400815,2018-06-27 01:15,0.00,-0.01
,0.00,09400815,2018-06-27 01:30,0.00,-0.01
,0.00,09400815,2018-06-27 01:45,0.00,-0.01
,0.00,09400815,2018-06-27 02:00,0.00,-0.01
12.5,,09400815,2018-06-27 02:07,,
,0.00,09400815,2018-06-27 02:15,0.00,-0.01
,0.00,09400815,2018-06-27 02:30,0.00,-0.01
,0.00,09400815,2018-06-27 02:45,0.00,-0.01
,0.00,09400815,2018-06-27 03:00,0.00,-0.01
12.5,,09400815,2018-06-27 03:07,,
,0.00,09400815,2018-06-27 03:15,0.00,-0.01
,0.00,09400815,2018-06-27 03:30,0.00,-0.01
,0.00,09400815,2018-06-27 03:45,0.00,-0.01
,0.00,09400815,2018-06-27 04:00,0.00,-0.01
12.5,,09400815,2018-06-27 04:07,,
,0.00,09400815,2018-06-27 04:15,0.00,-0.01
,0.00,09400815,2018-06-27 04:30,0.00,-0.01
,0.00,09400815,2018-06-27 04:45,0.00,-0.01
,0.00,09400815,2018-06-27 05:00,0.00,-0.01
12.5,,09400815,2018-06-27 05:07,,
,0.00,09400815,2018-06-27 05:15,0.00,-0.01
,0.00,09400815,2018-06-27 05:30,0.00,-0.01
,0.00,09400815,2018-06-27 05:45,0.00,-0.01
,0.00,09400815,2018-06-27 06:00,0.00,-0.01
12.5,,09400815,2018-06-27 06:07,,
,0.00,09400815,2018-06-27 06:15,0.00,-0.01
,0.00,09400815,2018-06-27 06:30,0.00,-0.01
,0.00,09400815,2018-06-27 06:45,0.00,-0.01
,0.00,09400815,2018-06-27 07:00,0.00,-0.01
12.5,,09400815,2018-06-27 07:07,,
,0.00,09400815,2018-06-27 07:15,0.00,-0.01
,0.00,09400815,2018-06-27 07:30,0.00,-0.01
