Temp,Flow,site_no,datetime,Precipitation,GageHeight
81.1,0.00,09424900,2018-07-02 00:00,0.00,-0.13
80.2,0.00,09424900,2018-07-02 00:15,0.00,-0.13
79.6,0.00,09424900,2018-07-02 00:30,0.00,-0.13
78.7,0.00,09424900,2018-07-02 00:45,0.00,-0.13
77.7,0.00,09424900,2018-07-02 01:00,0.00,-0.13
77.1,0.00,09424900,2018-07-02 01:15,0.00,-0.13
76.8,0.00,09424900,2018-07-02 01:30,0.00,-0.13
76.3,0.00,09424900,2018-07-02 01:45,0.00,-0.13
75.5,0.00,09424900,2018-07-02 02:00,0.00,-0.13
74.6,0.00,09424900,2018-07-02 02:15,0.00,-0.13
75.3,0.00,09424900,2018-07-02 02:30,0.00,-0.13
73.5,0.00,09424900,2018-07-02 02:45,0.00,-0.13
73.8,0.00,09424900,2018-07-02 03:00,0.00,-0.13
73.3,0.00,09424900,2018-07-02 03:15,0.00,-0.13
72.9,0.00,09424900,2018-07-02 03:30,0.00,-0.13
71.7,0.00,09424900,2018-07-02 03:45,0.00,-0.13
71.0,0.00,09424900,2018-07-02 04:00,0.00,-0.13
71.5,0.00,09424900,2018-07-02 04:15,0.00,-0.13
72.7,0.00,09424900,2018-07-02 04:30,0.00,-0.13
71.4,0.00,09424900,2018-07-02 04:45,0.00,-0.13
70.7,0.00,09424900,2018-07-02 05:00,0.00,-0.13
71.1,0.00,09424900,2018-07-02 05:15,0.00,-0.13
71.5,0.00,09424900,2018-07-02 05:30,0.00,-0.13
71.6,0.00,09424900,2018-07-02 05:45,0.00,-0.13
71.3,0.00,09424900,2018-07-02 06:00,0.00,-0.13
73.9,0.00,09424900,2018-07-02 06:15,0.00,-0.13
72.6,0.00,09424900,2018-07-02 06:30,0.00,-0.13
75.0,0.00,09424900,2018-07-02 06:45,0.00,-0.13
78.4,0.00,09424900,2018-07-02 07:00,0.00,-0.13
83.4,0.00,09424900,2018-07-02 07:15,0.00,-0.13
87.3,0.00,09424900,2018-07-02 07:30,0.00,-0.13
91.8,0.00,09424900,2018-07-02 07:45,0.00,-0.13
