Temp,Flow,site_no,datetime,Velocity,GageHeight
82.0,151,09429070,2018-07-23 00:00,0.94,5.00
81.9,141,09429070,2018-07-23 00:15,0.87,5.04
81.9,148,09429070,2018-07-23 00:30,0.91,5.07
81.8,169,09429070,2018-07-23 00:45,1.03,5.08
81.8,159,09429070,2018-07-23 01:00,0.94,5.23
81.7,160,09429070,2018-07-23 01:15,0.93,5.30
81.7,167,09429070,2018-07-23 01:30,0.96,5.34
81.7,170,09429070,2018-07-23 01:45,0.97,5.37
81.7,171,09429070,2018-07-23 02:00,0.96,5.41
81.7,304,09429070,2018-07-23 02:15,,7.16
81.6,253,09429070,2018-07-23 02:30,1.47,5.27
81.5,167,09429070,2018-07-23 02:45,0.90,5.59
81.4,158,09429070,2018-07-23 03:00,0.86,5.60
81.4,160,09429070,2018-07-23 03:15,0.86,5.63
81.3,165,09429070,2018-07-23 03:30,0.89,5.64
81.3,165,09429070,2018-07-23 03:45,0.86,5.75
81.2,158,09429070,2018-07-23 04:00,0.82,5.80
81.2,157,09429070,2018-07-23 04:15,0.81,5.83
81.1,167,09429070,2018-07-23 04:30,0.86,5.86
81.1,180,09429070,2018-07-23 04:45,0.92,5.87
81.1,167,09429070,2018-07-23 05:00,0.83,6.00
81.0,165,09429070,2018-07-23 05:15,0.81,6.05
81.0,176,09429070,2018-07-23 05:30,0.86,6.10
81.0,172,09429070,2018-07-23 05:45,0.83,6.13
80.9,182,09429070,2018-07-23 06:00,0.88,6.15
80.9,222,09429070,2018-07-23 06:15,1.09,6.03
80.9,211,09429070,2018-07-23 06:30,1.05,5.99
80.9,224,09429070,2018-07-23 06:45,1.12,5.96
80.9,229,09429070,2018-07-23 07:00,1.13,6.00
80.9,180,09429070,2018-07-23 07:15,0.88,6.05
80.9,161,09429070,2018-07-23 07:30,0.79,6.08
80.9,166,09429070,2018-07-23 07:45,0.81,6.09
81.0,173,09429070,2018-07-23 08:00,0.84,6.11
81.0,176,09429070,2018-07-23 08:15,0.86,6.07
81.0,177,09429070,2018-07-23 08:30,0.88,5.98
81.1,175,09429070,2018-07-23 08:45,0.88,5.94
81.2,179,09429070,2018-07-23 09:00,0.91,5.91
