GageHeight2,Flow,site_no,datetime,Precipitation,GageHeight
6.63,0.17,09474000,2018-07-24 00:00,0.00,3.53
6.64,0.34,09474000,2018-07-24 00:15,0.00,3.53
6.64,0.34,09474000,2018-07-24 00:30,0.00,3.54
6.64,0.34,09474000,2018-07-24 00:45,0.00,3.54
6.64,0.34,09474000,2018-07-24 01:00,0.00,3.53
6.64,0.34,09474000,2018-07-24 01:15,0.00,3.54
6.64,0.34,09474000,2018-07-24 01:30,0.00,3.53
6.64,0.34,09474000,2018-07-24 01:45,0.00,3.54
6.64,0.34,09474000,2018-07-24 02:00,0.00,3.54
6.64,0.34,09474000,2018-07-24 02:15,0.00,3.53
6.64,0.34,09474000,2018-07-24 02:30,0.00,3.54
6.64,0.34,09474000,2018-07-24 02:45,0.00,3.54
6.64,0.34,09474000,2018-07-24 03:00,0.00,3.54
6.64,0.34,09474000,2018-07-24 03:15,0.00,3.53
6.64,0.34,09474000,2018-07-24 03:30,0.00,3.54
6.64,0.34,09474000,2018-07-24 03:45,0.00,3.54
6.64,0.34,09474000,2018-07-24 04:00,0.00,3.53
6.64,0.34,09474000,2018-07-24 04:15,0.00,3.54
6.65,0.55,09474000,2018-07-24 04:30,0.00,3.54
6.65,0.55,09474000,2018-07-24 04:45,0.00,3.53
6.65,0.55,09474000,2018-07-24 05:00,0.00,3.53
6.65,0.55,09474000,2018-07-24 05:15,0.00,3.54
6.65,0.55,09474000,2018-07-24 05:30,0.00,3.54
6.65,0.55,09474000,2018-07-24 05:45,0.00,3.55
6.65,0.55,09474000,2018-07-24 06:00,0.00,3.54
6.65,0.55,09474000,2018-07-24 06:15,0.00,3.54
6.65,0.55,09474000,2018-07-24 06:30,0.00,3.54
6.65,0.55,09474000,2018-07-24 06:45,0.00,3.55
6.65,0.55,09474000,2018-07-24 07:00,0.00,3.53
6.65,0.55,09474000,2018-07-24 07:15,0.00,3.54
6.65,0.55,09474000,2018-07-24 07:30,0.00,3.54
6.65,0.55,09474000,2018-07-24 07:45,0.00,3.54
6.66,0.80,09474000,2018-07-24 08:00,0.00,3.54
6.65,0.55,09474000,2018-07-24 08:15,0.00,3.54
6.65,0.55,09474000,2018-07-24 08:30,0.00,3.54
6.65,0.55,09474000,2018-07-24 08:45,0.00,3.54
6.66,0.80,09474000,2018-07-24 09:00,0.00,3.54
6.66,0.80,09474000,2018-07-24 09:15,0.00,3.53
6.66,0.80,09474000,2018-07-24 09:30,0.00,3.54
6.66,0.80,09474000,2018-07-24 09:45,0.00,3.53
6.65,0.55,09474000,2018-07-24 10:00,0.00,3.53
6.65,0.55,09474000,2018-07-24 10:15,0.00,3.54
6.65,0.55,09474000,2018-07-24 10:30,0.00,3.53
6.65,0.55,09474000,2018-07-24 10:45,0.00,3.54
6.65,0.55,09474000,2018-07-24 11:00,0.00,3.54
6.65,0.55,09474000,2018-07-24 11:15,0.00,3.53
6.65,0.55,09474000,2018-07-24 11:30,0.00,3.53
6.65,0.55,09474000,2018-07-24 11:45,0.00,3.53
6.65,0.55,09474000,2018-07-24 12:00,0.00,3.53
6.65,0.55,09474000,2018-07-24 12:15,0.00,3.52
6.65,0.55,09474000,2018-07-24 12:30,0.00,3.52
6.65,0.55,09474000,2018-07-24 12:45,0.00,3.53
6.65,0.55,09474000,2018-07-24 13:00,0.00,3.53
6.65,0.55,09474000,2018-07-24 13:15,0.00,3.53
6.65,0.55,09474000,2018-07-24 13:30,0.00,3.52
6.65,0.55,09474000,2018-07-24 13:45,0.00,3.52
6.65,0.55,09474000,2018-07-24 14:00,0.00,3.51
6.65,0.55,09474000,2018-07-24 14:15,0.00,3.52
6.65,0.55,09474000,2018-07-24 14:30,0.00,3.52
6.65,0.55,09474000,2018-07-24 14:45,0.00,3.51
6.64,0.34,09474000,2018-07-24 15:00,0.00,3.52
6.64,0.34,09474000,2018-07-24 15:15,0.00,3.51
6.64,0.34,09474000,2018-07-24 15:30,0.00,3.51
6.64,0.34,09474000,2018-07-24 15:45,0.00,3.50
6.64,0.34,09474000,2018-07-24 16:00,0.00,3.52
6.62,0.06,09474000,2018-07-24 16:15,0.00,3.51
6.64,0.34,09474000,2018-07-24 16:30,0.00,3.50
6.64,0.34,09474000,2018-07-24 16:45,0.00,3.52
6.64,0.34,09474000,2018-07-24 17:00,0.00,3.51
6.64,0.34,09474000,2018-07-24 17:15,0.00,3.51
6.64,0.34,09474000,2018-07-24 17:30,0.00,3.50
6.64,0.34,09474000,2018-07-24 17:45,0.00,3.50
6.61,0.00,09474000,2018-07-24 18:00,0.00,3.51
6.63,0.17,09474000,2018-07-24 18:15,0.00,3.51
6.64,0.34,09474000,2018-07-24 18:30,0.00,3.51
6.64,0.34,09474000,2018-07-24 18:45,0.00,3.51
6.64,0.34,09474000,2018-07-24 19:00,0.00,3.51
6.64,0.34,09474000,2018-07-24 19:15,0.00,3.51
6.64,0.34,09474000,2018-07-24 19:30,0.00,3.51
